Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-02-20 (Price: 200.15)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 200.15), 0.0% below",0 days,202.145,No Information,No Information,No Information,"38.2% (Price: 194.2708), 3.03% above, Upmove Bounce Back","2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",No Information,30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-09-15/2026-03-02/2027-04-08,11.53%,7.36%,4.17%,1.23,0.44,262.3366/240.5403/314.51/No Horizontal Resistance/269.2327/283.8155/No EMA 200 Target,151.14/72.05/167.5998/131.2181/194.2708/171.78/184.01,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-20 (Price: 62.08)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 62.08), 0.0% below",0 days,61.93,No Information,No Information,No Information,No Information,No Information,1.79% above/0.0% below/0.0% below,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-20/2026-02-25/2026-03-06,11.13%,4.24%,6.89%,0.97,0.2,67.7231/63.7624/64.11/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,58.87/28.5067/53.9498/50.4772/61.5164/No support/53.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2026-02-20 (Price: 370.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 370.54), 0.0% below",0 days,361.865,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-13/2026-04-01/2026-07-26,14.91%,16.6%,-1.69%,1.65,0.88,427.8255/424.3424/576.89/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,275.06/83.575/291.0528/242.5186/304.1531/257.5423/268.3,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2026-02-20 (Price: 1974.2324)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 1974.2324), 0.0% below",0 days,1965.1317,No Information,No Information,No Information,"88.6% (Price: 1793.4297), 10.08% above, Upmove Bounce Back","2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",No Information,33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-12/2026-03-02/2026-06-21,44.95%,44.58%,0.37%,1.56,1.59,2043.7254/2450.4173/4114.39/4922.7188/5483.4169/7318.9774/3505.48,1966.04/1370.4997/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2026-02-20 (Price: 151.19)",No Exit Yet,"0.0%, 0 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 151.19), 0.0% below",0 days,146.74,No Information,No Information,No Information,No Information,No Information,3.26% above/2.23% above/0.0% below,10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-29/2026-04-13/2026-09-25,8.06%,6.5%,1.56%,1.1,0.37,160.6091/161.4104/192.68/171.0825/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,130.99/127.536/No F-Stack Support/No F-Stack Support/No support/No support/136.36,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"ENZL, Long, 2026-02-20 (Price: 45.8355)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 45.8355), 0.0% below",0 days,45.29,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,2026-05-13/2026-02-28/2026-03-19,-4.35%,-2.2%,-2.15%,0.15,-0.21,46.1609/46.6514/58.65/65.1933/78.3229/93.1188/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No support/No support/45.72,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
FRACTAL TRACK,"GOOG, Long, 2026-02-19 (Price: 303.56)",No Exit Yet,"3.74%, 1 day","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 314.9), 3.74% above",1 day,302.52,No Information,No Information,No Information,"23.66% (Price: 301.0579), 4.6% above, Upmove Bounce Back","2025-04-07 (Price: 142.66), 2026-02-03 (Price: 350.15)",No Information,14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2028-12-27/2026-03-27/2026-10-11,22.02%,19.29%,2.73%,1.63,0.99,342.2335/333.916/428.05/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,302.82/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/246.5,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"0.7%, 1 day","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 24.6), 0.7% above",1 day,24.29,No Information,No Information,No Information,"50% (Price: 23.99), 2.54% above, Upmove Bounce Back","2026-01-02 (Price: 22.29), 2026-01-29 (Price: 25.69)",No Information,10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-08-03/2026-04-02/2026-05-12,7.63%,6.83%,0.8%,0.42,0.39,24.794/25.5538/26.47/28.58/60.6441/65.878/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.55,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"0.7%, 1 day","76.47%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 24.6), 0.7% above",1 day,24.29,No Information,No Information,No Information,No Information,No Information,4.28% above/0.7% above/0.7% above,5.33%/0.43%/2.56%,"7.94%, 13.15%",3.3 months/6 days/25 days,2026-07-12/2026-02-27/2026-03-27,5.47%,5.95%,-0.48%,0.25,0.32,25.1189/25.0554/26.12/28.58/60.6441/65.878/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
FRACTAL TRACK,"ENZL, Long, 2026-02-19 (Price: 46.0172)",No Exit Yet,"-0.39%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 45.8355), 0.39% below",1 day,45.78,No Information,No Information,No Information,"38.2% (Price: 44.6836), 2.58% above, Upmove Bounce Back","2025-04-07 (Price: 38.93), 2026-02-10 (Price: 48.24)",No Information,10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,2027-01-28/2026-06-07/2026-09-28,9.1%,-5.47%,14.57%,0.51,-0.57,45.7825/50.1127/51.6/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.72,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
