"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IEI, Long, 2026-01-09 (Price: 119.33)",No Exit Yet,"0.0%, 0 days","88.24%, Past 18 years, 17","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 119.33), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 119.037),0.25% above,"2025-01-19 (Price: 114.51), 2025-11-30 (Price: 120.44)",15.01%/1.09%/4.1%,"2.66%, 7.33%",9.5 years/4 months/2.4 years,2039-08-02/2026-07-01/2029-06-13,-3.74%,0.69%,-4.43%,0.36,-0.89,121.0722/124.2225/122.89/129.9625/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,119.32/113.8775/No F-Stack Support/No F-Stack Support/No support/No support/118.87,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"EFN.TO, Long, 2026-01-09 (Price: 35.19)",No Exit Yet,"0.0%, 0 days","85.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 35.19), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 33.5848),4.78% above,"2023-10-23 (Price: 18.5), 2025-10-28 (Price: 38.26)",18.43%/2.81%/10.12%,"6.91%, 23.72%",1.1 year/1.1 month/3.6 months,2027-08-05/2026-02-25/2026-06-14,27.0%,15.63%,11.37%,1.17,0.95,37.3155/38.7512/47.05/No Horizontal Resistance/48.884/73.5584/No EMA 200 Target,34.5/12.67/33.6344/24.2096/35.1227/33.1947/34.67,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BRK-B, Long, 2026-01-09 (Price: 499.1)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-09 (Price: 499.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),5.01% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-08-02/2026-11-13/2028-03-01,8.18%,7.84%,0.34%,0.89,0.47,629.415/605.4083/668.43/512.255/537.7909/627.804/No EMA 200 Target,267.02/268.082/475.0642/401.0818/475.2967/434.262/497.22,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"DIS, Long, 2026-01-09 (Price: 115.88)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-09 (Price: 115.88), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),13.17% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-08/2026-02-21/2027-05-06,7.35%,7.97%,-0.62%,0.97,0.4,132.8448/142.5556/142.63/168.455/236.8799/272.4142/No EMA 200 Target,90.95/79.415/109.0737/100.3529/113.8159/107.1333/110.55,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"MSFT, Long, 2026-01-09 (Price: 479.28)",No Exit Yet,"0.0%, 0 days","92.31%, Past 39 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 464.89 prior to 2026-01-30,"2026-01-09 (Price: 479.28), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.91% above,"2025-04-30 (Price: 344.79), 2025-07-31 (Price: 555.45)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2046-04-18/2026-05-19/2028-08-04,7.9%,16.21%,-8.31%,1.65,0.79,645.2067/586.2553/605.68/554.585/574.7462/615.9561/480.22,375.39/216.39/452.6681/384.4933/474.9779/450.12/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"GBPUSD=X, Long, 2026-01-09 (Price: 1.3404)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-09 (Price: 1.3404), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),5.46% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-01/2030-03-01/2030-03-01,4.04%,-0.96%,5.0%,0.36,-0.64,1.3475/1.3912/1.52/1.4232/2.4421/3.2078/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/1.34,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"MA, Long, 2026-01-09 (Price: 575.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 524.7 prior to 2026-01-30,"2026-01-09 (Price: 575.54), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 524.8987),9.65% above,"2022-10-31 (Price: 276.87), 2025-08-31 (Price: 601.77)",26.69%/21.1%/23.74%,"0%, 21.75%",1.9 year/6.1 months/1.1 year,2028-09-25/2026-10-01/2027-08-05,10.35%,18.74%,-8.39%,10.22,1.0,788.4898/712.1732/770.48/592.9033/716.5814/751.3605/No EMA 200 Target,284.34/305.0867/554.0572/515.4888/524.8987/477.6582/562.31,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NZDCAD=X, Long, 2026-01-09 (Price: 0.7971)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-09 (Price: 0.7971), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),0.83% below,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-02/2027-06-14/2030-08-04,0.56%,-0.19%,0.75%,0.44,-0.46,0.8436/0.8755/0.84/0.8876/No Next Fib Ext/No Next Fib Ext/0.81,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NVO, Long, 2026-01-09 (Price: 58.81)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.08 prior to 2026-01-30,"2026-01-09 (Price: 58.81), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 43.8439),34.13% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-09-25/2026-07-01/2027-11-17,10.33%,9.37%,0.96%,1.75,0.5,71.9482/74.3417/138.43/139.01/159.2295/190.9685/59.27,47.07/45.4025/55.093/52.1958/47.9075/35.154/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"ATD.TO, Long, 2026-01-08 (Price: 75.49)",No Exit Yet,"-0.91%, 1 day","91.3%, Past 5 years, 23","Daily, was CONFIRMED on 2026-01-08",Already confirmed,"2026-01-09 (Price: 74.8), 0.91% below",1 day,Upmove Bounce Back,23.66% (Price: 74.7813),0.03% above,"2025-11-07 (Price: 68.3), 2025-11-28 (Price: 76.79)",11.38%/1.13%/7.56%,"1.21%, 14.84%",5.9 months/18 days/2.5 months,2026-09-21/2026-02-03/2026-04-26,29.53%,7.89%,21.64%,0.97,0.43,75.8297/81.197/80.58/85.51/85.3936/96.14/No EMA 200 Target,73.81/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/71.84,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
