"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WMT, Long, 2025-12-29 (Price: 112.53)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 18","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-29 (Price: 112.53), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 113.0563),0.47% below,"2025-11-14 (Price: 98.88), 2025-12-15 (Price: 117.45)",12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2027-12-27/2026-01-31/2026-06-12,27.4%,11.93%,15.47%,1.3,0.75,115.7596/122.894/123.67/No Horizontal Resistance/114.6382/136.6818/No EMA 200 Target,110.9/42.9289/91.6278/82.681/108.5444/103.0715/99.8,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"AAPL, Long, 2025-12-29 (Price: 273.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-29 (Price: 273.76), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),61.71% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-03/2027-01-28/2027-04-03,12.11%,12.37%,-0.26%,1.91,0.56,392.873/371.3554/416.4/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/231.16,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"AMZN, Long, 2025-12-29 (Price: 232.07)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 220.99 prior to 2026-01-02,"2025-12-29 (Price: 232.07), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 221.462),4.79% above,"2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2029-12-26/2026-02-07/2026-11-15,13.55%,17.13%,-3.58%,1.66,0.81,273.5177/271.197/290.4/239.3/257.1563/274.1043/No EMA 200 Target,213.04/86.995/230.14/220.2419/216.6816/190.9211/216.51,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"UBER, Long, 2025-12-29 (Price: 81.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 78.31 prior to 2026-01-02,"2025-12-29 (Price: 81.5), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 78.415),3.93% above,"2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-03-08/2026-01-18/2026-02-09,23.54%,8.01%,15.53%,14.78,0.43,73.513/95.0779/109.79/82.12/103.1697/130.9341/87.87,79.31/34.6025/71.0872/No support/No support/70.6297/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"HDB, Long, 2025-12-29 (Price: 36.34)",No Exit Yet,"0.0%, 0 days","88.89%, Past 26 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-29 (Price: 36.34), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),5.14% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-14/2026-06-23/2027-12-27,8.78%,11.88%,-3.1%,0.83,0.59,42.1435/44.978/44.58/39.3812/45.6752/50.9526/No EMA 200 Target,26.75/25.6925/29.7659/26.539/No support/34.266/36.11,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"FXI, Long, 2025-12-29 (Price: 38.47)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 37.68 prior to 2026-01-02,"2025-12-29 (Price: 38.47), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 36.9983),3.98% above,"2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",20.93%/0.55%/14.72%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-02-18/2026-04-07/2028-07-24,8.74%,2.27%,6.47%,1.68,0.1,39.8318/44.1328/51.15/42.665/77.6857/94.2202/No EMA 200 Target,38.33/20.865/No F-Stack Support/No F-Stack Support/No support/No support/37.76,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TCS.NS, Long, 2025-12-29 (Price: 3251.5)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-29 (Price: 3251.5), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),15.75% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-06/2026-05-08/2026-12-24,7.28%,13.73%,-6.45%,0.82,0.62,3384.8115/3892.3707/5391.28/4543.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/3247.46,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"BABA, Long, 2025-12-29 (Price: 148.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 11 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 146.75 prior to 2026-01-02,"2025-12-29 (Price: 148.49), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 144.5227),2.75% above,"2024-01-28 (Price: 66.63), 2025-10-05 (Price: 192.67)",38.47%/16.72%/24.63%,"-0.0%, 19.88%",9.1 months/2.6 months/4.8 months,2027-01-28/2026-04-20/2026-07-25,20.27%,3.28%,16.99%,1.72,0.23,167.7046/185.0631/224.11/No Horizontal Resistance/433.8283/634.7074/No EMA 200 Target,106.72/67.495/No F-Stack Support/No F-Stack Support/No support/No support/137.51,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"FPH.NZ, Long, 2025-12-29 (Price: 37.47)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-29 (Price: 37.47), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),7.2% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-17/2026-06-20/2030-09-14,4.68%,9.29%,-4.61%,0.75,0.49,46.7026/45.4549/49.0/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.36,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"FRW.NZ, Long, 2025-12-29 (Price: 14.21)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 13.3 prior to 2026-01-02,"2025-12-29 (Price: 14.21), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 13.0889),8.57% above,"2023-11-05 (Price: 7.31), 2025-11-02 (Price: 14.88)",20.66%/2.33%/14.04%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-04-11/2026-06-07/2027-07-25,10.07%,5.08%,4.99%,2.43,0.25,14.3606/16.2051/18.75/No Horizontal Resistance/14.9925/16.4712/No EMA 200 Target,10.0/7.405/12.995/12.2806/13.0889/11.9883/12.02,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"SUM.NZ, Long, 2025-12-29 (Price: 12.35)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-29 (Price: 12.35), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.99% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-06/2027-06-03/2027-07-25,11.55%,11.73%,-0.18%,0.86,0.59,12.6785/17.9001/15.59/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.42,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"BIPC.TO, Long, 2025-12-29 (Price: 62.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 17 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 60.29 prior to 2026-01-02,"2025-12-29 (Price: 62.99), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 58.8572),7.02% above,"2025-04-13 (Price: 45.7), 2025-10-19 (Price: 66.99)",16.58%/15.85%/16.24%,"-0.0%, 8.87%",6.3 months/1.6 month/3.4 months,2026-09-28/2026-03-08/2026-05-25,16.31%,8.39%,7.92%,1.53,0.43,64.212/73.2196/75.76/66.0343/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,53.03/44.9667/No F-Stack Support/No F-Stack Support/59.4945/54.8882/56.99,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"ORCL, Long, 2025-12-29 (Price: 195.38)",No Exit Yet,"0.0%, 0 days","86.21%, Past 20 years, 29","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 177.07 prior to 2026-01-02,"2025-12-29 (Price: 195.38), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 174.323),12.08% above,"1996-01-21 (Price: 2.9259), 2025-09-14 (Price: 345.72)",24.18%/5.64%/16.61%,"12.23%, 26.99%",2.6 years/1.4 month/10.1 months,2029-09-14/2026-02-27/2027-03-12,12.55%,10.22%,2.33%,1.29,0.53,231.3495/227.8326/401.06/No Horizontal Resistance/287.7444/314.8727/214.74,189.97/82.7925/140.8739/129.2165/167.408/144.722/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TCEHY, Long, 2025-12-28 (Price: 78.08)",No Exit Yet,"-1.41%, 1 day","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2025-12-29 (Price: 76.98), 1.41% below",1 day,Upmove Bounce Back,23.66% (Price: 74.7427),2.99% above,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/72.32,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"GNE.NZ, Long, 2025-12-28 (Price: 2.4)",No Exit Yet,"1.25%, 1 day","77.78%, Past 11 years, 9","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2025-12-29 (Price: 2.43), 1.25% above",1 day,Upmove Bounce Back,38.2% (Price: 2.3652),2.74% above,"2024-06-09 (Price: 2.05), 2025-10-19 (Price: 2.56)",18.96%/17.54%/18.08%,"3.54%, 29.05%",1.2 year/3.3 months/9.6 months,2027-09-14/2026-05-20/2027-02-18,8.62%,2.18%,6.44%,0.59,0.05,2.4466/2.8339/2.71/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.35,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"ATM.NZ, Long, 2025-12-28 (Price: 10.52)",No Exit Yet,"1.24%, 1 day","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2025-12-29 (Price: 10.65), 1.24% above",1 day,Upmove Bounce Back,23.66% (Price: 9.6935),9.87% above,"2024-11-17 (Price: 5.22), 2025-11-09 (Price: 11.08)",28.57%/15.19%/20.26%,"-0.0%, 35.59%",1.4 year/7 days/4.4 months,2027-12-26/2026-01-07/2026-07-07,12.78%,17.84%,-5.06%,2.5,0.78,11.713/12.6514/14.04/10.965/21.86/25.8879/No EMA 200 Target,10.16/5.2267/9.9254/9.2893/No F-Track Level/No F-Track Level/9.48,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TRI.TO, Long, 2025-12-28 (Price: 181.76)",No Exit Yet,"0.4%, 1 day","91.67%, Past 20 years, 12","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2025-12-29 (Price: 182.48), 0.4% above",1 day,Upmove Bounce Back,88.6% (Price: 178.5402),2.21% above,"2023-10-29 (Price: 163.01), 2025-07-20 (Price: 299.24)",17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,2028-02-18/2026-03-07/2026-08-28,9.55%,6.23%,3.32%,1.2,0.33,215.6764/202.2444/263.5/240.8933/293.2329/455.2123/238.04,179.89/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"DBC, Long, 2025-12-24 (Price: 22.63)",No Exit Yet,"-0.62%, 5 days","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-24",Already confirmed,"2025-12-29 (Price: 22.49), 0.62% below",5 days,Upmove Bounce Back,38.2% (Price: 22.7333),1.07% below,"2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-06-07/2026-02-04/2026-03-16,7.63%,6.83%,0.8%,0.42,0.39,22.9672/23.671/23.74/28.58/60.6441/65.878/No EMA 200 Target,22.39/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.14,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"SJ.TO, Long, 2025-12-24 (Price: 86.47)",No Exit Yet,"-0.88%, 5 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2025-12-24",Already confirmed,"2025-12-29 (Price: 85.71), 0.88% below",5 days,Upmove Bounce Back,23.66% (Price: 84.9394),0.91% above,"2025-08-07 (Price: 73.58), 2025-12-15 (Price: 88.46)",14.92%/10.1%/11.67%,"0.73%, 33.9%",1.8 year/1 month/5.3 months,2028-07-19/2026-02-05/2026-08-11,26.35%,9.97%,16.38%,1.63,0.54,93.3098/96.561/95.4/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,85.41/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/77.29,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"CVS, Long, 2025-12-21 (Price: 77.72)",No Exit Yet,"2.96%, 8 days","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2025-12-29 (Price: 80.02), 2.96% above",8 days,Upmove Bounce Back,23.66% (Price: 75.3098),6.25% above,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-27/2026-03-22/2029-04-01,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/116.3721/144.3517/No EMA 200 Target,75.63/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/70.73,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"GILD, Long, 2025-12-12 (Price: 120.4)",2025-12-29 (Price: 124.91) (Today),"3.75%, 17 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2025-12-29 (Price: 124.91), 3.75% above",17 days,Upmove Bounce Back,38.2% (Price: 120.9683),3.26% above,"2025-10-02 (Price: 108.46), 2025-11-20 (Price: 128.7)",17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-07-07/2026-01-21/2026-08-16,29.7%,11.0%,18.7%,2.35,0.63,130.3691/132.4159/132.54/120.895/140.4376/146.167/No EMA 200 Target,119.36/57.18/104.5806/96.4152/No F-Track Level/No F-Track Level/113.59,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"5.9%, 29 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-29 (Price: 264.24), 5.9% above",29 days,Upmove Bounce Back,61.8% (Price: 232.7652),13.52% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",30.71%/20.0%/24.36%,"25.41%, 60.52%",1.9 year/5.1 months/11.6 months,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/252.1,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-1.4%, 29 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-29 (Price: 1545.6), 1.4% below",29 days,Upmove Bounce Back,23.66% (Price: 1322.8731),16.84% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/26.97%,"6.47%, 28.2%",1.6 year/2 months/7.2 months,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1419.85,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-29 (Price: 80.63) (Today),"-0.02%, 6.1 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-29 (Price: 80.63), 0.02% below",6.1 months,Upmove Bounce Back,38.2% (Price: 76.5615),5.31% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.94,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5.1 months","92.86%, Past 43 years, 14","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-29 (Price: 175.22), 24.69% above",6.1 months,Upmove Bounce Back,23.66% (Price: 108.7595),61.11% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,2032-01-22/2025-12-20/2027-08-21,8.81%,8.57%,0.24%,1.75,0.52,154.9795/170.8442/222.66/No Horizontal Resistance/188.6608/207.1743/142.97,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5.1 months","94.44%, Past 49 years, 18","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-29 (Price: 235.18), 31.04% above",6.1 months,Upmove Bounce Back,38.2% (Price: 152.7435),53.97% above,"2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",25.48%/3.95%/19.36%,"8.99%, 47.82%",3.6 years/6 months/1.7 year,2030-08-20/2026-03-17/2027-12-03,8.56%,8.11%,0.45%,1.79,0.51,201.132/214.2154/222.99/No Horizontal Resistance/221.431/339.4883/188.83,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
