Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-08-28 (Price: 509.64)",2025-10-31 (Price: 517.81) (Today),"1.6%, 46 days","100.0%, Past 5 years, 33","Daily, was CONFIRMED on 2025-08-28",Already confirmed,"2025-10-31 (Price: 517.81), 1.6% above",46 days,No Information,No Information,No Information,"38.2% (Price: 498.1958), 3.94% above, Upmove Bounce Back","2024-11-04 (Price: 405.57), 2025-07-31 (Price: 555.45)",No Information,39.36%/1.23%/16.74%,"-0.0%, 37.56%",581 days/25 days/229 days,2027-12-17/2025-10-03/2026-07-25,27.07%,19.67%,7.4%,0.49,0.76,515.6028/594.9537/599.57/No Horizontal Resistance/553.3726/615.9924,502.04/216.39/386.873/350.287/No F-Track Level/No F-Track Level,513.83/461.14,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-05-31 (Price: 172.85)",2025-10-31 (Price: 281.82) (Today),"63.04%, 109 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-10-31 (Price: 281.82), 63.04% above",109 days,No Information,No Information,No Information,No Information,No Information,63.04% above/63.04% above/63.04% above,39.1%/1.54%/23.19%,"3.21%, 17.45%",412 days/76 days/164 days,2027-01-17/2025-09-18/2026-01-23,11.85%,23.51%,-11.66%,1.08,0.83,208.1633/212.9339/233.69/No Horizontal Resistance/219.0619/240.3589,156.23/85.8978/138.1748/130.09/No F-Track Level/No F-Track Level,161.79/172.82,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"PFE, Long, 2024-12-29 (Price: 26.62)",2025-10-31 (Price: 24.65) (Today),"-7.4%, 219 days","85.71%, Past 10 years, 14","Weekly, is CONFIRMED on 2024-12-27",Already confirmed,"2025-10-31 (Price: 24.65), 7.4% below",219 days,No Information,No Information,No Information,No Information,No Information,6.49% below/7.4% below/7.4% below,20.77%/0.69%/7.46%,"6.51%, 19.5%",304 days/19 days/78 days,2026-03-14/2025-01-25/2025-04-20,8.51%,2.67%,5.84%,0.88,0.03,28.8348/28.6059/38.98/55.39/66.4672/73.1352,24.8/24.84/21.508/20.5265/No F-Track Level/No F-Track Level,26.67/27.95,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"PFE, Long, 2025-03-02 (Price: 26.43)",2025-10-31 (Price: 24.65) (Today),"-6.73%, 174 days","85.71%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-10-31 (Price: 24.65), 6.73% below",174 days,No Information,No Information,No Information,No Information,No Information,3.45% below/6.73% below/6.73% below,20.77%/0.69%/7.46%,"6.51%, 19.5%",304 days/19 days/78 days,2026-05-16/2025-03-29/2025-06-22,8.51%,2.67%,5.84%,0.88,0.03,28.629/28.4017/31.29/55.39/66.4672/73.1352,25.53/25.2625/21.508/20.5265/No F-Track Level/No F-Track Level,26.3/27.82,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2024-09-30 (Price: 73.69)",2025-10-31 (Price: 91.99) (Today),"24.83%, 284 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 91.99), 24.83% above",284 days,No Information,No Information,No Information,No Information,No Information,36.75% above/24.83% above/24.83% above,20.44%/4.28%/14.08%,"0%, 26.01%",719 days/152 days/296 days,2027-08-07/2025-05-08/2025-12-02,6.51%,5.64%,0.87%,2.46,0.16,83.675/84.0656/74.63/81.0275/92.969/100.7509,56.15/54.1533/69.3218/61.3348/No F-Track Level/No F-Track Level,66.97/65.1,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"SFTBY, Long, 2024-03-31 (Price: 29.71)",2025-10-31 (Price: 87.9) (Today),"195.86%, 414 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-10-31 (Price: 87.9), 195.86% above",414 days,No Information,No Information,No Information,No Information,No Information,306.94% above/195.86% above/195.86% above,36.66%/13.53%/21.4%,"49.17%, 64.04%",434 days/11 days/235 days,2025-12-19/2024-04-15/2025-03-06,0.6%,12.79%,-12.19%,0.1,0.43,27.3273/36.0679/32.94/33.06/52.6237/57.2421,16.86/16.82/28.6536/144.0247/No F-Track Level/No F-Track Level,27.07/23.29,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
FRACTAL TRACK,"GBPSGD=X, Long, 2025-03-31 (Price: 1.7372)",2025-10-31 (Price: 1.7098) (Today),"-1.58%, 154 days","100.0%, Past 55 years, 6","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-10-31 (Price: 1.7098), 1.58% below",154 days,No Information,No Information,No Information,"23.66% (Price: 1.6865), 1.38% above, Upmove Bounce Back","2022-09-30 (Price: 1.4895), 2024-07-31 (Price: 1.7475)",No Information,5.36%/5.36%/5.36%,"-0.0%, 7.18%",782 days/782 days/782 days,2028-05-06/2028-05-06/2028-05-06,4.4%,-2.48%,6.88%,0.41,-0.97,1.7021/1.8303/1.89/1.879/4.0285/5.5304,1.68/1.6718/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,1.73/1.73,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2022-12-31 (Price: 85.85)",2025-10-31 (Price: 119.79) (Today),"39.53%, 739 days","100.0%, Past 33 years, 5","Quarterly, is CONFIRMED on 2022-12-31",Already confirmed,"2025-10-31 (Price: 119.79), 39.53% above",739 days,No Information,No Information,No Information,No Information,No Information,94.18% above/39.53% above/39.53% above,74.14%/4.33%/34.77%,"0%, 20.08%",706 days/121 days/451 days,2025-10-18/2023-06-24/2024-10-14,8.87%,17.17%,-8.3%,1.29,0.52,104.986/115.7/90.9/No Horizontal Resistance/123.4541/140.4376,58.26/56.99/75.3922/65.1312/No F-Track Level/No F-Track Level,82.78/67.59,83.33%/6/698 days (Across ALL Assets),100.0%/1/154 days (Across ALL Assets)
SIGMASHELL,"SBUX, Long, 2025-08-01 (Price: 86.86)",2025-10-31 (Price: 80.87) (Today),"-6.9%, 65 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2025-10-31 (Price: 80.87), 6.9% below",65 days,"-3.93, 77.5",No Information,No Information,No Information,No Information,No Information,37.64%/1.22%/13.66%,"7.97%, 25.49%",163 days/30 days/91 days,2026-03-25/2025-09-13/2025-12-10,17.26%,-0.88%,18.14%,0.71,-0.02,87.5549/98.7251/142.4098/117.438/142.4098/150.3462,82.98/71.675/76.529/65.8616/No F-Track Level/No F-Track Level,84.43/91.95,83.21%/137/75 days (Across ALL Assets),76.31%/325/86 days (Across ALL Assets)
FRACTAL TRACK,"TRI.TO, Long, 2023-12-31 (Price: 193.73)",2025-10-31 (Price: 214.84) (Today),"10.9%, 479 days","100.0%, Past 23 years, 7","Monthly, was CONFIRMED on 2023-12-31",Already confirmed,"2025-10-31 (Price: 214.84), 10.9% above",479 days,No Information,No Information,No Information,"38.2% (Price: 163.4066), 31.48% above, Upmove Bounce Back","2022-05-31 (Price: 123.811), 2023-04-30 (Price: 187.8816)",No Information,73.06%/34.98%/49.34%,"-0.0%, 19.73%",804 days/478 days/630 days,2027-03-09/2025-11-22/2026-06-30,13.67%,11.09%,2.58%,0.66,0.5,218.4887/289.3164/232.17/No Horizontal Resistance/193.124/293.2329,166.11/92.7882/131.2534/93.0152/No F-Track Level/No F-Track Level,227.71/249.35,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
