"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AMZN, Long, 2026-01-02 (Price: 226.5)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 226.5), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 221.462),2.27% above,"2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2029-12-30/2026-02-11/2026-11-19,13.55%,17.13%,-3.58%,1.66,0.81,266.9529/264.6879/284.83/239.3/257.1563/274.1043/No EMA 200 Target,213.04/86.995/220.2419/194.9126/216.6816/190.9211/217.03,No Data (Across ALL Assets),No Data (Across ALL Assets)
"UBER, Long, 2026-01-02 (Price: 82.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 82.86), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 78.415),5.67% above,"2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-03-12/2026-01-22/2026-02-13,23.54%,8.01%,15.53%,14.78,0.43,74.7397/96.6645/111.15/No Horizontal Resistance/109.2759/122.511/88.02,79.31/34.6025/75.9736/63.3753/82.5663/70.6297/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"FXI, Long, 2026-01-02 (Price: 39.82)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 39.82), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 36.9983),7.63% above,"2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",20.93%/0.55%/14.72%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-02-22/2026-04-11/2028-07-28,8.74%,2.27%,6.47%,1.68,0.1,41.2296/45.6815/52.5/42.665/77.6857/94.2202/No EMA 200 Target,38.6/20.865/No F-Stack Support/No F-Stack Support/No support/No support/37.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
"FRW.NZ, Long, 2026-01-02 (Price: 14.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 14.45), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 13.0889),10.4% above,"2023-11-05 (Price: 7.31), 2025-11-02 (Price: 14.88)",20.66%/2.33%/14.04%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-04-15/2026-06-11/2027-07-29,10.07%,5.08%,4.99%,2.43,0.25,14.6032/16.4788/18.99/No Horizontal Resistance/14.9925/16.4712/No EMA 200 Target,10.0/7.405/12.995/12.2806/13.0889/11.9883/12.05,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BIPC.TO, Long, 2026-01-02 (Price: 62.15)",No Exit Yet,"0.0%, 0 days","100.0%, Past 17 years, 4","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 62.15), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 58.8572),5.59% above,"2025-04-13 (Price: 45.7), 2025-10-19 (Price: 66.99)",16.58%/15.85%/16.24%,"-0.0%, 8.87%",6.3 months/1.6 month/3.4 months,2026-10-02/2026-03-12/2026-05-29,16.31%,8.39%,7.92%,1.53,0.43,63.3557/72.2432/74.92/66.672/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,53.03/44.9667/No F-Stack Support/No F-Stack Support/59.4945/54.8882/57.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"ORCL, Long, 2026-01-02 (Price: 195.71)",No Exit Yet,"0.0%, 0 days","86.21%, Past 20 years, 29","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-02 (Price: 195.71), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 174.323),12.27% above,"1996-01-21 (Price: 2.9259), 2025-09-14 (Price: 345.72)",24.18%/5.64%/16.61%,"12.23%, 26.99%",2.6 years/1.4 month/10.1 months,2029-09-18/2026-03-03/2027-03-16,12.55%,10.22%,2.33%,1.29,0.53,231.7402/228.2174/401.39/No Horizontal Resistance/287.7444/314.8727/215.42,189.97/82.7925/140.8739/129.2165/167.408/144.722/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BRK-B, Long, 2026-01-02 (Price: 496.85)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-02 (Price: 496.85), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),4.53% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-07-26/2026-11-06/2028-02-23,8.18%,7.84%,0.34%,0.89,0.47,626.5775/602.6791/666.18/No Horizontal Resistance/537.7909/627.804/497.91,267.02/268.082/475.0642/401.0818/475.2967/434.262/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"DIS, Long, 2026-01-02 (Price: 111.85)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-02 (Price: 111.85), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),9.23% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-01/2026-02-14/2027-04-29,7.35%,7.97%,-0.62%,0.97,0.4,128.2248/137.5979/138.6/168.455/236.8799/272.4142/No EMA 200 Target,90.95/79.415/109.0737/100.3529/No support/107.1333/110.19,No Data (Across ALL Assets),No Data (Across ALL Assets)
"MSFT, Long, 2026-01-02 (Price: 472.94)",No Exit Yet,"0.0%, 0 days","92.31%, Past 39 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 464.89 prior to 2026-01-30,"2026-01-02 (Price: 472.94), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.43% below,"2025-04-30 (Price: 344.79), 2025-07-31 (Price: 555.45)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2046-04-11/2026-05-12/2028-07-28,7.9%,16.21%,-8.31%,1.65,0.79,636.6718/578.5002/599.34/554.585/574.7462/615.9561/478.03,375.39/216.39/452.6681/384.4933/No support/450.12/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"GBPUSD=X, Long, 2026-01-02 (Price: 1.3462)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-02 (Price: 1.3462), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),5.92% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-02-22/2030-02-22/2030-02-22,4.04%,-0.96%,5.0%,0.36,-0.64,1.3533/1.3972/1.53/1.4232/2.4421/3.2078/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/1.34,No Data (Across ALL Assets),No Data (Across ALL Assets)
