"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ENZL, Long, 2025-11-10 (Price: 45.6841)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 24","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-10 (Price: 45.6841), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 45.885),0.44% below,"2025-08-27 (Price: 44.43), 2025-10-03 (Price: 47.34)",5.53%/5.53%/5.53%,"-0.0%, 6.88%",169 days/169 days/169 days,2026-07-12/2026-07-12/2026-07-12,8.46%,-5.38%,13.84%,0.16,-0.44,45.6704/48.2104/47.43/65.1933/78.3229/93.1188,45.33/39.215/No F-Stack Support/No F-Stack Support/53.1262/54.7954,46.01/44.79,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"USCI, Long, 2025-11-10 (Price: 79.1348)",No Exit Yet,"0.0%, 0 days","96.3%, Past 5 years, 27","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2025-11-10 (Price: 79.1348), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 75.8866),4.28% above,"2025-04-09 (Price: 64.26), 2025-10-23 (Price: 79.49)",42.17%/8.4%/22.06%,"4.19%, 13.54%",766 days/64 days/340 days,2028-11-23/2026-02-10/2027-03-17,9.38%,20.56%,-11.19%,0.54,1.04,80.306/96.5919/88.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,76.07/38.14/No F-Stack Support/No F-Stack Support/74.5261/71.4756,77.61/73.27,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SOXX, Long, 2025-11-10 (Price: 302.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-10 (Price: 302.0), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),104.06% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-13/2028-09-13/2028-09-13,19.89%,12.73%,7.15%,0.33,0.46,315.8618/502.9206/399.23/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,278.24/231.48,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-10 (Price: 147.28)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-10 (Price: 147.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),15.98% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-06/2040-08-06/2040-08-06,8.26%,6.44%,1.82%,0.48,0.22,143.8926/599.5769/230.09/149.295/174.1807/202.706,24.21/120.178/117.2225/81.225/167.2798/171.9748,141.44/139.14,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-10 (Price: 239.84)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-10 (Price: 239.84), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),3.04% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-14/2026-10-23/2028-06-25,9.34%,22.33%,-12.98%,0.43,0.63,234.0119/474.4035/329.0/366.6625/374.6319/404.5107,239.37/187.6063/184.3156/1127.9829/347.4556/361.5012,245.5/260.62,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-10 (Price: 239.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-10 (Price: 239.84), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),6.68% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-08-02/2028-09-13/2035-10-10,6.68%,22.24%,-15.57%,0.33,0.55,273.2017/694.7685/413.98/366.6625/374.6319/404.5107,182.62/187.6063/184.3156/1127.9829/347.4556/361.5012,245.5/260.62,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-10 (Price: 1489.3)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-10 (Price: 1489.3), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),12.58% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-08-27/2026-08-19/2029-02-28,8.96%,19.65%,-10.68%,0.38,0.63,1686.0365/3818.4163/2214.39/1531.725/1617.1679/1804.6011,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1410.42/1367.39,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-10 (Price: 1489.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-10 (Price: 1489.3), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),35.27% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-24/2027-08-31/2029-09-26,30.69%,19.15%,11.54%,0.39,0.64,1517.1499/6546.516/2039.98/1531.725/1617.1679/1804.6011,158.4/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1410.42/1367.39,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-10 (Price: 1038.79)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-10 (Price: 1038.79), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),78.13% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-14/2031-04-17/2037-03-27,8.55%,20.11%,-11.56%,0.43,0.61,1318.3284/14774.814/1530.05/No Horizontal Resistance/1081.4334/1218.8523,415.35/561.385/998.2461/956.961/1235.8618/1313.1536,958.45/785.29,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BAC, Long, 2025-11-10 (Price: 53.42)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-10 (Price: 53.42), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),62.63% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-12-06/2028-03-09/2032-06-14,5.77%,4.61%,1.16%,0.41,0.21,55.7438/124.6128/80.53/No Horizontal Resistance/60.5768/64.246,27.38/29.49/50.5717/44.5293/53.8138/55.585,51.39/46.07,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
