Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ARM, Long, 2025-11-11 (Price: 149.74)",No Exit Yet,"0.0%, 0 days","91.67%, Past 2 years, 12","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 149.74), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 148.4717), 0.85% above, Upmove Bounce Back","2025-08-20 (Price: 127.03), 2025-10-27 (Price: 183.16)",No Information,24.77%/17.41%/21.09%,"2.71%, 36.96%",91 days/49 days/70 days,2026-03-22/2026-01-20/2026-02-20,51.27%,56.91%,-5.64%,0.35,1.37,145.8767/181.3202/183.42/165.49/No Next Fib Ext/No Next Fib Ext,139.62/No Horizontal Support/No F-Stack Support/No F-Stack Support/207.2214/222.1802,156.06/139.61,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 30","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 237.52), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 222.0575), 6.96% above, Upmove Bounce Back","2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",No Information,113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/269.2327/283.8155,233.54/72.6533/210.12/167.5998/216.8001/185.9012,202.48/143.77,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 3047.0), 0.0% below",0 days,No Information,No Information,No Information,"88.6% (Price: 3015.6997), 1.04% above, Upmove Bounce Back","2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",No Information,28.47%/5.12%/16.33%,"-0.0%, 25.8%",751 days/83 days/271 days,2028-11-02/2026-03-11/2026-12-08,8.59%,2.55%,6.05%,0.66,0.02,3080.8217/3544.5751/3173.84/4543.575/No Next Fib Ext/No Next Fib Ext,2990.2/2923.4601/No F-Stack Support/No F-Stack Support/4970.8692/5203.5455,3035.6/3362.93,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"JD, Long, 2025-11-11 (Price: 31.61)",No Exit Yet,"0.0%, 0 days","95.24%, Past 5 years, 21","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 31.61), 0.0% below",0 days,No Information,No Information,No Information,"78.6% (Price: 31.3894), 0.7% above, Upmove Bounce Back","2025-08-28 (Price: 29.9), 2025-10-02 (Price: 36.86)",No Information,29.87%/8.44%/18.43%,"5.3%, 37.86%",297 days/26 days/118 days,2027-01-15/2025-12-18/2026-04-30,33.16%,-17.7%,50.86%,0.32,-0.17,31.6005/37.4357/35.79/80.755/120.3515/132.0795,31.41/24.07/No F-Stack Support/No F-Stack Support/50.3595/52.7652,33.6/35.14,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-11-11 (Price: 244.24)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 244.24), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 233.5959), 4.56% above, Upmove Bounce Back","2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",No Information,13.05%/0.65%/8.32%,"-0.0%, 33.13%",1174 days/40 days/291 days,2030-07-08/2026-01-07/2027-01-06,5.91%,8.75%,-2.85%,0.5,0.32,243.434/264.5608/292.86/244.72/270.9222/282.5179,240.35/162.3167/196.8345/160.6663/233.5959/221.8127,243.08/219.74,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"NKE, Long, 2025-11-11 (Price: 63.15)",No Exit Yet,"0.0%, 0 days","80.56%, Past 6 years, 36","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-11 (Price: 63.15), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,15.63%/5.08%/8.11%,"19.92%, 22.44%",64 days/1 days/13 days,2026-02-11/2025-11-12/2025-11-29,20.81%,-5.25%,26.06%,0.08,-0.1,64.3183/68.2715/66.31/176.74/171.1647/206.9588,No Recent Minima/No Horizontal Support/60.8668/56.1303/99.6912/105.2659,69.08/68.78,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"ATD.TO, Long, 2025-11-11 (Price: 70.4)",No Exit Yet,"0.0%, 0 days","91.18%, Past 6 years, 34","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-11 (Price: 70.4), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,12.15%/5.08%/7.16%,"16.41%, 19.68%",86 days/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/100.8822/111.119,No Recent Minima/45.49/69.1528/55.4059/87.7049/90.1476,72.81/71.61,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"NOVA.F, Long, 2025-11-11 (Price: 42.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-11 (Price: 42.4), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,8.26%/6.12%/7.22%,"-0.0%, 5.26%",28 days/1 days/11 days,2025-12-21/2025-11-12/2025-11-26,317.02%,8.99%,308.03%,1.32,0.33,45.6224/45.4613/44.94/126.5/210.2335/No Next Fib Ext,No Recent Minima/40.95/36.9076/25.5985/164.0859/178.8876,46.97/58.15,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"0.0%, 0 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 3047.0), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.85% above/0.0% below/0.0% below,13.38%/0.84%/4.51%,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/No Next Fib Ext/No Next Fib Ext,2990.2/2923.4601/No F-Stack Support/No F-Stack Support/4970.8692/5203.5455,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 60427.0), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.98% above/0.0% below/0.0% below,4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/72577.1591/79594.0726,59468.6/24894.2998/51420.3721/37395.584/60987.064/61613.3813,58472.35/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
