"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"C6L.SI, Long, 2026-02-04 (Price: 6.6)",No Exit Yet,"0.0%, 0 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-04 (Price: 6.6), 0.0% below",0 days,"4, 2025-10-06 (Price: 6.56)",2026-02-03 (Price: 6.48),2026-02-04 (Price: 6.6),1/0/0 days,1.85% above/0.0% below/0.0% below,2025-10-06 (Price: 6.7888)/2026-02-04 (Price: 6.3866),8.19%/1.1%/3.7%,"5.37%, 17.3%",3.8 months/6 days/1.5 month,2026-07-19/2026-02-12/2026-04-10,9.44%,0.14%,9.3%,0.66,-0.05,6.7511/6.8442/6.62/6.826/15.4629/16.7442/6.69,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),6.48
"BYD.TO, Long, 2026-02-04 (Price: 233.78)",No Exit Yet,"0.0%, 0 days","81.82%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-04 (Price: 233.78), 0.0% below",0 days,"2, 2025-12-02 (Price: 236.35)",2026-02-02 (Price: 228.05),2026-02-04 (Price: 233.78),2/0/0 days,2.51% above/0.0% below/0.0% below,2025-12-02 (Price: 241.68)/2026-02-04 (Price: 226.2755),7.19%/1.4%/3.64%,"17.06%, 36.72%",3.3 months/4 days/20 days,2026-06-27/2026-02-09/2026-03-04,-0.16%,1.99%,-2.15%,-0.01,0.11,252.3655/242.2896/235.32/256.6133/325.4281/346.2134/No EMA 200 Target,219.14/188.685/232.1757/215.4728/No support/No support/216.53,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),227.18
"BIPC.TO, Long, 2026-02-04 (Price: 67.17)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-04 (Price: 67.17), 0.0% below",0 days,"4, 2025-10-21 (Price: 64.41)",2026-02-02 (Price: 66.72),2026-02-04 (Price: 67.17),2/0/0 days,0.67% above/0.0% below/0.0% below,2025-10-21 (Price: 66.3311)/2026-02-04 (Price: 65.7711),12.79%/0.56%/5.02%,"24.4%, 42.49%",2.6 months/8 days/19 days,2026-05-27/2026-02-15/2026-03-03,6.8%,8.6%,-1.8%,0.22,0.45,72.0801/70.5419/68.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,60.21/44.9667/No F-Stack Support/No F-Stack Support/60.2274/55.4815/58.51,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),66.71
"BNS.TO, Long, 2026-02-04 (Price: 102.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-04 (Price: 102.1), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-02-04 (Price: 102.1),127/0/0 days,13.46% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-02-04 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-15/2028-03-27/2032-02-03,6.77%,6.25%,0.52%,1.08,0.33,115.3015/111.7484/109.6/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/61.07/95.6649/90.1456/92.5303/85.4202/85.45,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),101.58
"XLE, Long, 2026-02-04 (Price: 52.83)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.36 prior to 2026-02-27,"2026-02-04 (Price: 52.83), 0.0% below",0 days,"0, 2021-02-28 (Price: 24.075)",2026-01-31 (Price: 51.05),2026-02-04 (Price: 52.83),4/0/0 days,3.49% above/0.0% below/0.0% below,2021-02-28 (Price: 47.3488)/2026-02-04 (Price: 46.3737),39.5%/5.55%/22.84%,"28.82%, 62.76%",4.8 years/10.1 months/2.4 years,2032-12-11/2027-04-18/2029-07-09,6.44%,2.81%,3.63%,0.59,0.12,58.1341/64.8964/70.08/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/43.1364/37.0994/44.01,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),50.36
"BPCL.NS, Long, 2026-02-04 (Price: 381.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 25","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 353.0 prior to 2026-02-06,"2026-02-04 (Price: 381.6), 0.0% below",0 days,"0, 2021-10-17 (Price: 229.65)",2026-01-25 (Price: 349.15),2026-02-04 (Price: 381.6),10/0/0 days,9.29% above/0.0% below/0.0% below,2021-10-17 (Price: 443.2312)/2026-02-04 (Price: 345.6375),29.59%/1.78%/10.75%,"-0.0%, 47.09%",8.2 months/28 days/2.8 months,2027-01-24/2026-03-16/2026-06-05,7.83%,8.79%,-0.96%,0.84,0.44,410.1055/422.622/472.77/No Horizontal Resistance/420.2463/457.942/No EMA 200 Target,349.15/145.35/348.542/313.3339/351.6805/329.2685/337.92,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),353.0
"DIA, Long, 2026-02-04 (Price: 494.75)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 18","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 489.11 prior to 2026-02-27,"2026-02-04 (Price: 494.75), 0.0% below",0 days,"0, 2021-02-28 (Price: 309.45)",2026-01-31 (Price: 489.03),2026-02-04 (Price: 494.75),4/0/0 days,1.17% above/0.0% below/0.0% below,2021-02-28 (Price: 343.7129)/2026-02-04 (Price: 484.37),12.39%/4.81%/9.37%,"2.58%, 49.08%",2.6 years/8.1 months/1.2 year,2029-10-21/2027-01-21/2027-10-22,0.09%,4.27%,-4.18%,1.94,0.19,535.9132/541.1081/605.93/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/326.1/398.0316/329.7358/465.6994/446.7712/454.34,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),489.11
"IWM, Long, 2026-02-04 (Price: 260.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-04 (Price: 260.52), 0.0% below",0 days,"2, 2021-09-30 (Price: 218.75)",2025-12-31 (Price: 246.16),2026-02-04 (Price: 260.52),35/0/0 days,5.83% above/0.0% below/0.0% below,2021-09-30 (Price: 244.4167)/2026-02-04 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-10 (Max),3.33%,4.39%,-1.06%,0.87,0.2,239.8087/319.0849/285.58/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,164.92/162.3167/58.0244/44.7144/247.9708/233.4497/232.03,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),247.63
"MCD, Long, 2026-02-04 (Price: 323.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 319.0 prior to 2026-02-06,"2026-02-04 (Price: 323.69), 0.0% below",0 days,"4, 2025-03-09 (Price: 321.29)",2026-02-01 (Price: 315.0),2026-02-04 (Price: 323.69),3/0/0 days,2.76% above/0.0% below/0.0% below,2025-03-09 (Price: 326.5956)/2026-02-04 (Price: 313.3668),10.85%/0.38%/4.66%,"0%, 16.82%",10.3 months/1.2 month/4.6 months,2027-04-27/2026-03-28/2026-08-22,9.08%,6.77%,2.31%,1.49,0.4,347.0604/338.774/325.13/No Horizontal Resistance/324.1568/379.6615/No EMA 200 Target,303.26/228.4467/297.9513/267.8324/307.2128/295.0836/306.48,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),319.0
"EFA, Long, 2026-02-04 (Price: 101.78)",No Exit Yet,"0.0%, 0 days","85.71%, Past 10 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 101.35 prior to 2026-02-06,"2026-02-04 (Price: 101.78), 0.0% below",0 days,"2, 2025-08-24 (Price: 93.23)",2026-01-25 (Price: 99.97),2026-02-04 (Price: 101.78),10/0/0 days,1.81% above/0.0% below/0.0% below,2025-08-24 (Price: 93.5933)/2026-02-04 (Price: 99.3578),7.21%/1.24%/3.66%,"13.66%, 23.59%",7.2 months/1.2 month/3.1 months,2026-12-13/2026-03-28/2026-06-18,2.99%,2.36%,0.63%,0.4,0.03,104.9962/105.5051/106.91/No Horizontal Resistance/98.2071/106.1972/No EMA 200 Target,75.02/66.265/86.3568/75.1989/89.198/80.9189/92.16,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),101.35
"EWJ, Long, 2026-02-04 (Price: 87.49)",No Exit Yet,"0.0%, 0 days","76.92%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 85.97 prior to 2026-02-27,"2026-02-04 (Price: 87.49), 0.0% below",0 days,"4, 2023-06-30 (Price: 61.9)",2026-01-31 (Price: 85.72),2026-02-04 (Price: 87.49),4/0/0 days,2.06% above/0.0% below/0.0% below,2023-06-30 (Price: 64.7632)/2026-02-04 (Price: 84.9372),18.23%/6.32%/9.72%,"17.76%, 22.9%",2.7 years/5 months/1.9 year,2029-12-12/2026-09-09/2028-10-21,4.57%,1.79%,2.78%,0.47,-0.04,88.6186/95.994/102.84/No Horizontal Resistance/83.8122/88.5172/No EMA 200 Target,67.1/53.915/77.2272/70.9122/78.634/72.7308/78.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),85.97
"CEN.NZ, Long, 2026-02-02 (Price: 9.48)",No Exit Yet,"0.95%, 2 days","88.89%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-04 (Price: 9.57), 0.95% above",2 days,"2, 2025-11-20 (Price: 9.39)",2026-02-02 (Price: 9.48),2026-02-02 (Price: 9.48),2/2/2 days,0.95% above/0.95% above/0.95% above,2025-11-20 (Price: 9.9246)/2026-02-02 (Price: 9.2842),7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,2026-07-12/2026-02-12/2026-03-26,-0.65%,3.46%,-4.11%,0.55,0.15,9.6393/9.7834/9.53/9.85/11.2606/15.4512/No EMA 200 Target,9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),9.35
"ASML, Long, 2026-02-01 (Price: 1423.0)",No Exit Yet,"-5.89%, 3 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 1339.13), 5.89% below",3 days,"2, 2025-07-20 (Price: 734.58)",2026-01-18 (Price: 1358.5699),2026-02-01 (Price: 1423.0),17/3/3 days,1.43% below/5.89% below/5.89% below,2025-07-20 (Price: 838.5197)/2026-02-01 (Price: 1290.8753),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-22/2026-03-25/2026-07-03,11.7%,15.27%,-3.57%,1.0,0.74,1574.6918/1597.3175/1836.05/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/907.93,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),1385.87
"^BVSP, Long, 2026-02-01 (Price: 181364.0)",No Exit Yet,"0.19%, 3 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 181708.0), 0.19% above",3 days,"2, 2025-05-25 (Price: 137824.0)",2026-01-25 (Price: 178859.0),2026-02-01 (Price: 181364.0),10/3/3 days,1.59% above/0.19% above/0.19% above,2025-05-25 (Price: 137058.4603)/2026-02-01 (Price: 167924.5662),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-28/2026-03-13/2026-06-28,7.52%,4.03%,3.49%,2.1,0.18,189779.2896/191538.5204/207488.0/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),178859.0
"BTI, Long, 2026-02-01 (Price: 60.68)",No Exit Yet,"1.57%, 3 days","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 61.63), 1.57% above",3 days,"2, 2025-08-17 (Price: 57.15)",2026-02-01 (Price: 60.68),2026-02-01 (Price: 60.68),3/3/3 days,1.57% above/1.57% above/1.57% above,2025-08-17 (Price: 59.3094)/2026-02-01 (Price: 58.8444),17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-11/2026-03-25/2026-06-28,-1.73%,1.97%,-3.7%,0.5,0.04,64.7274/66.032/62.8/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,55.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),59.3
