"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"JPY=X, Long, 2025-12-25 (Price: 156.176)",No Exit Yet,"0.0%, 0 days","73.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 155.887 prior to 2025-12-31,"2025-12-24 (Price: 156.176), 0.0% below",0 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-22 (Price: 157.676),24/2/1 days,0.07% below/0.95% below/0.0% below,2024-06-30 (Price: 162.4562)/2025-12-25 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-21/2026-07-30/2027-01-28,-1.08%,0.88%,-1.96%,0.37,-0.3,171.9966/173.246/158.88/160.2533/175.8568/187.2285/No EMA 200 Target,142.3/109.702/138.2059/No support/No support/No support/148.62,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"GLD, Long, 2025-12-25 (Price: 411.93)",No Exit Yet,"0.0%, 0 days","85.19%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 406.98 prior to 2025-12-26,"2025-12-24 (Price: 411.93), 0.0% below",0 days,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-22 (Price: 408.23),3/2/1 days,3.24% above/0.91% above/0.0% below,2024-08-11 (Price: 229.74)/2025-12-25 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-26/2026-02-03/2026-05-17,4.9%,5.02%,-0.12%,1.33,0.26,438.8702/436.7694/524.35/No Horizontal Resistance/408.5544/581.2346/No EMA 200 Target,236.59/150.8/288.3021/225.9189/351.4892/313.2214/329.53,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-25 (Price: 306.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-24 (Price: 306.14), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-25 (Price: 306.14),2025-11-21 (Price: 270.83),1/33/1 days,0.0% below/13.04% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-25 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-10/2027-11-02/2028-09-10,16.0%,8.74%,7.26%,0.66,0.45,408.5132/452.3218/471.41/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/244.12,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"^NSEI, Long, 2025-12-25 (Price: 26142.0996)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 26107.0735 prior to 2025-12-26,"2025-12-24 (Price: 26142.0996), 0.0% below",0 days,"0, 2021-09-05 (Price: 17323.5996)",2025-12-21 (Price: 25966.4004),2025-12-24 (Price: 26142.0996),3/0/1 days,0.68% above/0.0% below/0.0% below,2021-09-05 (Price: 23206.6463)/2025-12-25 (Price: 25977.1875),8.4%/1.59%/4.23%,"-0.0%, 12.99%",8.6 months/1.2 month/3.3 months,2027-01-02/2026-02-15/2026-05-17,8.66%,7.17%,1.49%,1.5,0.46,27843.9503/27247.9104/31433.2/No Horizontal Resistance/31657.0022/45908.3871/No EMA 200 Target,24363.3/15428.8669/22849.1349/17405.6173/25241.664/24575.4193/24862.13,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"GS, Long, 2025-12-25 (Price: 910.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 896.52 prior to 2025-12-26,"2025-12-24 (Price: 910.78), 0.0% below",0 days,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-22 (Price: 899.0),10/2/1 days,2.57% above/1.31% above/0.0% below,2024-08-11 (Price: 536.6316)/2025-12-25 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-15/2026-02-23/2026-09-16,9.45%,7.78%,1.67%,2.03,0.4,933.8227/990.3822/1163.09/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,470.81/288.555/818.1554/728.9736/732.6/617.9885/698.94,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MAR, Long, 2025-12-25 (Price: 315.16)",No Exit Yet,"0.0%, 0 days","81.48%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 310.74 prior to 2025-12-26,"2025-12-24 (Price: 315.16), 0.0% below",0 days,"2, 2025-05-18 (Price: 273.23)",2025-12-21 (Price: 310.16),2025-12-22 (Price: 313.75),3/2/1 days,1.61% above/0.45% above/0.0% below,2025-05-18 (Price: 276.02)/2025-12-25 (Price: 306.94),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-04-03/2026-02-03/2026-04-12,11.8%,10.04%,1.76%,0.46,0.51,361.8037/339.1122/340.32/No Horizontal Resistance/313.5051/355.3234/No EMA 200 Target,260.2/129.12/297.0775/283.8827/272.7581/245.7602/265.81,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-25 (Price: 3.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-24 (Price: 3.63), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),54/26/1 days,11.35% above/8.36% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-25 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-16/2026-07-30/2026-08-12,5.5%,0.69%,4.81%,1.23,0.0,4.2413/4.3879/5.81/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.22,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-25 (Price: 69.01)",No Exit Yet,"0.0%, 0 days","90.91%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 68.29 prior to 2025-12-26,"2025-12-24 (Price: 69.01), 0.0% below",0 days,"4, 2024-06-16 (Price: 69.0)",2025-12-21 (Price: 68.26),2025-12-24 (Price: 69.01),3/0/1 days,1.1% above/0.0% below/0.0% below,2024-06-16 (Price: 78.9982)/2025-12-25 (Price: 66.4602),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-09-11/2026-02-03/2026-07-04,9.15%,10.41%,-1.26%,1.17,0.61,74.3169/73.054/69.02/85.45/101.7951/111.6887/No EMA 200 Target,58.66/55.185/65.1894/42.5658/No support/No support/63.83,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-25 (Price: 69.01)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-24 (Price: 69.01), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-25 (Price: 69.01),2025-12-24 (Price: 69.01),1/0/1 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-25 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-20/2026-07-30/2026-12-29,9.96%,11.66%,-1.7%,0.82,0.67,106.9931/78.1745/69.3/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-25 (Price: 74.83)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-24 (Price: 74.83), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-24 (Price: 74.83),85/0/1 days,21.91% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-25 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-20/2027-11-02/2028-04-07,16.49%,8.5%,7.99%,0.7,0.42,154.3518/193.6825/100.73/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/54.96,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
