Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,29.78,2001-08-19,25.3037,Buy,194 Days,29.16,Rise by -12.42%,-15.03%,-15.03%,
2000-12-24,26.0806,2000-12-31,28.5468,Sell,4 Days,-20.0,Fall by -4.09%,-9.46%,-24.49%,
2001-03-25,27.4444,2001-04-22,30.9366,Sell,19 Days,-19.44,Fall by 13.34%,-12.72%,-37.21%,
2001-09-23,17.6288,2001-10-07,18.9408,Sell,9 Days,-13.51,Fall by -34.3%,-7.44%,-44.65%,
2001-11-11,18.6942,2001-11-18,20.4797,Sell,4 Days,-7.69,Fall by -21.79%,-9.55%,-54.21%,
2002-05-12,22.8375,2002-05-19,24.5145,Sell,4 Days,-10.53,Fall by 16.85%,-7.34%,-61.55%,
2003-01-12,17.905,2003-01-26,16.8692,Sell,9 Days,-4.76,Fall by 13.39%,5.78%,-55.76%,
2004-03-28,24.7612,2004-05-02,22.7191,Sell,24 Days,-11.11,Fall by 10.56%,8.25%,-47.52%,
2004-05-16,22.9263,2004-06-13,24.3863,Sell,19 Days,-10.53,Fall by 10.11%,-6.37%,-53.88%,
2005-03-27,27.3754,2005-05-01,26.0436,Sell,24 Days,-18.71,Fall by 4.86%,4.86%,-49.02%,
2005-05-29,27.5036,2005-09-25,22.9065,Buy,84 Days,20.72,Rise by -10.01%,-16.71%,-65.73%,
2005-08-21,25.6194,2005-09-04,24.4257,Sell,9 Days,-11.11,Fall by 10.59%,4.66%,-61.07%,
2006-01-08,24.406,2006-02-12,26.3198,Sell,24 Days,-10.87,Fall by -9.22%,-7.84%,-68.92%,
2006-04-23,26.6552,2006-05-07,28.6973,Sell,9 Days,-7.1,Fall by -7.77%,-7.66%,-76.58%,
2008-03-30,31.0,2008-10-12,23.04,Buy,139 Days,8.0,Rise by 12.61%,-25.68%,-102.25%,
2009-03-22,17.45,2009-05-03,21.94,Buy,29 Days,6.79,Rise by 45.9%,25.73%,-76.52%,
2011-03-20,41.23,2011-06-05,39.38,Sell,54 Days,-11.63,Fall by 8.85%,4.49%,-72.04%,
2012-04-15,41.85,2012-05-13,45.56,Sell,19 Days,-13.42,Fall by -18.21%,-8.86%,-80.9%,
2013-05-12,67.2,2014-03-02,80.81,Buy,209 Days,13.36,Rise by -0.33%,20.25%,-60.65%,
2013-08-25,61.73,2013-09-15,66.69,Sell,14 Days,-13.9,Fall by -17.63%,-8.03%,-68.68%,
2015-08-02,120.0,2015-08-09,109.35,Sell,4 Days,-19.6,Fall by 15.86%,8.88%,-59.81%,
2016-01-17,93.9,2016-04-24,103.77,Sell,69 Days,-27.63,Fall by -2.68%,-10.51%,-70.32%,
2016-11-20,98.24,2018-10-21,118.9,Buy,499 Days,20.08,Rise by 10.93%,21.03%,-49.29%,
2018-04-15,100.35,2018-06-17,108.85,Sell,44 Days,-16.67,Fall by -8.88%,-8.47%,-57.76%,
2021-01-24,172.78,2021-12-05,146.22,Buy,224 Days,8.07,Rise by 14.11%,-15.37%,-73.13%,
2021-10-03,176.01,2021-10-24,169.42,Sell,14 Days,-12.57,Fall by 12.5%,3.74%,-69.39%,
2023-06-11,91.93,2024-02-18,111.6,Buy,179 Days,20.25,Rise by -3.17%,21.4%,-47.99%,
2025-01-19,107.02,2025-03-02,113.8,Sell,29 Days,-15.14,Fall by 21.95%,-6.34%,-54.33%,
2025-07-06,124.0,2025-07-06,124.0,Buy,0 Days,11.9,Rise by 0%,0.0%,-54.33%,
