Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2004-10-31,14.3,2007-09-30,10.95,759 days,2004-09-30/11.83,-23.43%,-23.43%,Rise by 22.38%,-23.43%,
Buy,2009-09-30,8.45,2011-02-28,13.75,368 days,2009-08-31/7.82,62.72%,62.72%,Rise by 28.64%,39.30%,
Buy,2011-03-31,14.25,2011-09-30,10.35,131 days,2011-02-28/13.75,-27.37%,-27.37%,Rise by -27.37%,11.93%,
Buy,2012-01-31,16.2,2014-07-31,27.57,652 days,2011-05-31/15.7,70.19%,70.19%,Rise by 36.73%,82.11%,
Buy,2014-08-31,27.99,2016-01-31,21.0,369 days,2014-07-31/27.57,-24.97%,-24.97%,Rise by 8.93%,57.14%,
Buy,2016-07-31,25.59,2018-07-31,43.2,521 days,2015-10-31/25.58,68.82%,68.82%,Rise by 37.63%,125.95%,
Buy,2018-08-31,48.44,2018-12-31,35.3,86 days,2018-07-31/43.2,-27.13%,-27.13%,Rise by -20.15%,98.83%,
Buy,2020-06-30,48.19,2021-01-31,84.94,153 days,2019-12-31/43.77,76.26%,76.26%,Rise by 195.81%,175.09%,
Buy,2021-02-28,88.89,2021-08-31,142.55,131 days,2021-01-31/84.94,60.37%,60.37%,Rise by 60.37%,235.46%,
Buy,2022-11-30,146.0,2025-03-31,111.42,608 days,2021-08-31/142.55,-23.68%,-23.68%,Rise by 26.11%,211.77%,
