Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2004-08-31,15.25,2005-06-30,17.57,Sell,216 days,Fall by -5.010000%,-15.26,
2007-05-31,21.5,2010-08-31,13.72,Buy,847 days,Rise by -20.620000%,-36.18,
2007-09-30,22.49,2010-08-31,13.72,Buy,760 days,Rise by -25.620000%,-38.99,
2008-02-29,16.73,2008-12-31,9.46,Sell,217 days,Fall by 19.230000%,43.47,
2008-10-31,11.13,2009-03-31,10.38,Sell,106 days,Fall by -23.300000%,6.74,
2011-01-31,19.83,2012-07-31,17.4,Buy,390 days,Rise by -11.800000%,-12.27,
2011-06-30,18.5,2011-11-30,16.84,Sell,108 days,Fall by 10.990000%,8.96,
2013-02-28,19.35,2013-08-31,20.8,Buy,131 days,Rise by 51.460000%,7.49,
2013-04-30,20.08,2013-09-30,22.22,Buy,108 days,Rise by 45.960000%,10.62,
2015-08-31,27.67,2016-04-30,29.13,Sell,174 days,Fall by -122.690000%,-5.25,
2016-12-31,40.91,2017-05-31,49.33,Buy,106 days,Rise by 20.590000%,20.59,
2018-10-31,54.32,2019-03-31,63.18,Sell,107 days,Fall by -25.930000%,-16.31,
2019-04-30,70.52,2020-02-29,77.26,Buy,218 days,Rise by 18.690000%,9.56,
2024-01-31,195.35,2024-06-30,246.63,Buy,107 days,Rise by 26.250000%,26.25,
2025-04-30,183.84,2025-06-30,238.7,Sell,42 days,Fall by -66.750000%,-29.84,
2025-09-30,271.12,2025-09-30,271.12,Buy,0 days,Rise by 13.070000%,0.0,
