Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,11.7663,2001-03-18,9.5821,Buy,84 Days,29.16,Rise by 2.99%,-18.56%,-18.56%,
2000-12-24,11.6958,2001-01-14,11.0617,Sell,14 Days,-20.0,Fall by 11.45%,5.42%,-13.14%,
2001-03-25,9.4412,2001-04-08,8.6662,Sell,9 Days,-19.44,Fall by 5.97%,8.21%,-4.93%,
2001-09-23,5.249,2001-09-30,5.6013,Sell,4 Days,-13.51,Fall by -10.74%,-6.71%,-11.64%,
2001-11-11,5.8127,2001-11-18,6.7991,Sell,4 Days,-7.69,Fall by -63.64%,-16.97%,-28.61%,
2002-05-12,9.4412,2002-06-02,8.948,Sell,14 Days,-10.53,Fall by 6.72%,5.22%,-23.39%,
2003-01-12,7.1866,2003-02-02,6.7991,Sell,14 Days,-4.76,Fall by 7.35%,5.39%,-18.0%,
2004-03-28,7.6798,2004-05-09,7.398,Sell,29 Days,-11.11,Fall by 9.63%,3.67%,-14.33%,
2004-05-16,6.94,2004-05-23,7.398,Sell,4 Days,-10.53,Fall by -7.61%,-6.6%,-20.93%,
2005-03-27,8.3844,2005-04-17,8.0321,Sell,14 Days,-18.71,Fall by 5.88%,4.2%,-16.73%,
2005-05-29,8.1025,2006-01-29,10.0049,Buy,174 Days,20.72,Rise by 3.48%,23.48%,6.75%,
2005-08-21,8.2435,2005-10-30,7.8912,Sell,49 Days,-11.11,Fall by 2.56%,4.27%,11.03%,
2006-01-08,9.0185,2006-01-29,10.0049,Sell,14 Days,-10.87,Fall by -7.03%,-10.94%,0.09%,
2006-04-23,9.9344,2006-05-21,9.4412,Sell,19 Days,-7.1,Fall by 11.35%,4.96%,5.05%,
2008-03-30,10.9208,2008-10-12,8.4548,Buy,139 Days,8.0,Rise by 5.16%,-22.58%,-17.53%,
2009-03-22,6.8414,2009-05-10,8.8353,Buy,34 Days,6.79,Rise by 29.14%,29.14%,11.62%,
2011-03-20,9.2298,2011-04-17,9.9203,Sell,19 Days,-11.63,Fall by -6.11%,-7.48%,4.14%,
2012-04-15,7.3768,2012-06-10,7.1161,Sell,39 Days,-13.42,Fall by 3.53%,3.53%,7.67%,
2013-05-12,8.025,2013-09-01,6.6723,Buy,79 Days,13.36,Rise by -10.36%,-16.86%,-9.19%,
2013-08-25,6.8695,2013-09-22,7.3557,Sell,19 Days,-13.9,Fall by -3.08%,-7.08%,-16.26%,
2015-08-02,7.5671,2015-08-09,7.3346,Sell,4 Days,-19.6,Fall by 8.19%,3.07%,-13.19%,
2016-01-17,7.7784,2016-05-22,7.4684,Sell,89 Days,-27.63,Fall by -2.54%,3.99%,-9.21%,
2016-11-20,6.8414,2018-05-27,8.2364,Buy,394 Days,20.08,Rise by 3.4%,20.39%,11.18%,
2018-04-15,7.6305,2018-05-20,8.1448,Sell,24 Days,-16.67,Fall by 6.09%,-6.74%,4.44%,
2021-01-24,4.24,2021-03-07,5.15,Buy,29 Days,8.07,Rise by 34.43%,21.46%,25.91%,
2021-10-03,4.98,2021-10-17,5.55,Sell,9 Days,-12.57,Fall by 2.21%,-11.45%,14.46%,
2023-06-11,7.25,2023-10-22,5.97,Buy,94 Days,20.25,Rise by 4.55%,-17.66%,-3.19%,
2025-01-19,6.35,2025-03-02,6.81,Sell,29 Days,-15.14,Fall by 2.99%,-7.24%,-10.44%,
2025-07-06,7.03,2025-07-06,7.03,Buy,0 Days,11.9,Rise by 0%,0.0%,-10.44%,
