Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,34022.0391,2022-04-26,33240.1797,Buy,104 Days,-3.71,Rise by 5.73%,-2.3%,-2.3%
2022-03-01,33294.9492,2022-08-19,33706.7383,Buy,123 Days,-6.54,Rise by 4.54%,1.24%,-1.06%
2022-05-02,33061.5,2022-08-19,33706.7383,Buy,79 Days,-3.91,Rise by -1.23%,1.95%,0.89%
2022-05-12,31730.3008,2022-08-04,32726.8203,Buy,60 Days,-3.42,Rise by 4.67%,3.14%,4.03%
2022-09-26,29260.8105,2022-11-18,33745.6914,Buy,39 Days,-3.32,Rise by 3.61%,15.33%,19.36%
2022-10-10,29202.8809,2022-12-06,33596.3398,Buy,41 Days,-3.63,Rise by 4.52%,15.04%,34.4%
2023-03-01,32661.8398,2023-04-19,33897.0117,Buy,35 Days,-3.42,Rise by -0.31%,3.78%,38.18%
2023-10-03,33002.3789,2023-12-26,37545.3281,Buy,60 Days,-3.24,Rise by 2.43%,13.77%,51.95%
2025-03-13,40813.5703,2025-05-22,41859.0898,Buy,50 Days,-3.28,Rise by 4.35%,2.56%,54.51%
2025-04-01,41989.9609,2025-06-16,42515.0898,Buy,54 Days,-5.38,Rise by -10.35%,1.25%,55.76%
