Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1997-11-30,16.62,1998-12-31,27.5,283 days,1997-10-31/15.3281,65.41%,65.41%,Rise by 65.41%,65.41%
Buy,2000-09-30,23.16,2001-07-31,18.0,216 days,2000-04-30/21.75,-22.25%,-22.25%,Rise by 31.71%,43.17%
Buy,2003-07-31,15.0,2005-02-28,24.92,412 days,2002-08-31/14.695,66.16%,66.16%,Rise by 40.11%,109.32%
Buy,2005-03-31,26.31,2008-05-31,42.79,826 days,2005-02-28/24.915,62.64%,62.64%,Rise by 13.53%,171.96%
Buy,2009-08-31,37.52,2010-06-30,29.32,217 days,2008-08-31/36.6,-21.86%,-21.86%,Rise by -13.73%,150.11%
Buy,2011-05-31,38.69,2013-10-31,62.26,632 days,2011-04-30/36.22,60.92%,60.92%,Rise by 16.57%,211.03%
Buy,2013-11-30,66.96,2015-07-31,112.47,434 days,2013-10-31/62.26,67.97%,67.97%,Rise by 16.97%,278.99%
Buy,2018-11-30,80.2,2019-02-28,57.83,64 days,2018-09-30/78.72,-27.89%,-27.89%,Rise by -32.19%,251.10%
Buy,2021-01-31,71.65,2024-08-31,57.24,934 days,2020-12-31/68.3,-20.11%,-20.11%,Rise by 48.65%,230.99%
Buy,2025-06-30,68.98,2025-06-30,68.98,0 days,2025-03-31/67.75,0.00%,0.00%,Rise by 0%,230.99%
