Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1991-04-30,0.21,1991-10-31,0.34,132 days,1991-01-31/0.2031,63.84%,63.84%,Rise by 173.96%,63.84%
Buy,1991-11-30,0.34,1992-02-29,0.57,64 days,1991-10-31/0.3385,64.63%,64.63%,Rise by 115.62%,128.47%
Buy,1992-05-31,0.64,1992-11-30,1.04,130 days,1992-02-29/0.566,63.39%,63.39%,Rise by 139.35%,191.87%
Buy,1992-12-31,1.09,1993-12-31,1.8,261 days,1992-11-30/1.0382,64.39%,64.39%,Rise by 39.27%,256.25%
Buy,1994-01-31,2.01,1994-05-31,1.38,86 days,1993-12-31/1.7951,-31.72%,-31.72%,Rise by -35.52%,224.53%
Buy,1995-03-31,2.12,1995-08-31,3.65,109 days,1994-02-28/2.0486,72.13%,72.13%,Rise by 120.65%,296.65%
Buy,1995-09-30,3.83,1996-06-30,6.29,194 days,1995-08-31/3.6458,64.13%,64.13%,Rise by 64.13%,360.79%
Buy,1996-09-30,6.9,1997-03-31,5.35,130 days,1996-06-30/6.2917,-22.46%,-22.46%,Rise by -10.37%,338.33%
Buy,1997-07-31,8.84,1998-06-30,15.34,238 days,1997-01-31/7.75,73.57%,73.57%,Rise by 80.52%,411.90%
Buy,1998-07-31,15.96,1999-01-31,27.89,130 days,1998-06-30/15.3438,74.77%,74.77%,Rise by 74.77%,486.67%
Buy,1999-04-30,28.52,1999-12-31,53.56,175 days,1999-01-31/27.8906,87.84%,87.84%,Rise by 171.12%,574.50%
Buy,2000-01-31,54.75,2000-12-31,38.25,239 days,1999-12-31/53.5625,-30.14%,-30.14%,Rise by -12.56%,544.37%
Buy,2003-05-31,16.41,2006-11-30,26.91,913 days,2002-05-31/15.78,63.99%,63.99%,Rise by 56.67%,608.35%
Buy,2006-12-31,27.33,2008-10-31,17.77,479 days,2006-11-30/26.91,-34.98%,-34.98%,Rise by 21.22%,573.37%
Buy,2009-09-30,23.54,2011-02-28,18.56,368 days,2008-09-30/22.56,-21.16%,-21.16%,Rise by 14.4%,552.22%
Buy,2012-02-29,19.88,2017-02-28,34.18,1304 days,2012-01-31/19.65,71.93%,71.93%,Rise by -19.77%,624.15%
Buy,2017-11-30,37.3,2021-12-31,63.37,1066 days,2017-02-28/34.18,69.89%,69.89%,Rise by 30.43%,694.04%
Buy,2023-08-31,57.35,2023-08-31,57.35,0 days,2023-03-31/52.28,0.00%,0.00%,Rise by 0%,694.04%
