Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2007-12-16,143.67,2008-09-28,119.85,Buy,204 Days,11.91,Rise by -4.01%,-16.58%,-16.58%,
2007-12-23,143.79,2008-01-20,137.79,Sell,19 Days,-11.32,Fall by 5.34%,4.17%,-12.41%,
2008-03-30,134.25,2008-10-05,112.8,Buy,134 Days,8.0,Rise by 2.73%,-15.98%,-28.38%,
2009-03-22,87.75,2009-06-07,105.42,Buy,54 Days,6.79,Rise by 21.74%,20.14%,-8.25%,
2011-03-20,120.69,2011-08-07,115.02,Sell,99 Days,-11.63,Fall by 2.11%,4.7%,-3.55%,
2012-04-15,117.21,2012-06-03,112.77,Sell,34 Days,-13.42,Fall by 3.79%,3.79%,0.24%,
2013-05-12,124.92,2015-10-04,105.99,Buy,624 Days,13.36,Rise by -2.23%,-15.15%,-14.92%,
2013-08-25,118.95,2014-12-14,112.89,Sell,339 Days,-13.9,Fall by -3.38%,5.09%,-9.82%,
2015-08-02,113.91,2015-08-23,110.16,Sell,14 Days,-19.6,Fall by 6.95%,3.29%,-6.53%,
2016-01-17,98.19,2016-04-24,105.12,Sell,69 Days,-27.63,Fall by -10.11%,-7.06%,-13.59%,
2016-11-20,106.86,2020-03-22,86.14,Buy,869 Days,20.08,Rise by 3.87%,-19.39%,-32.98%,
2018-04-15,108.48,2018-11-18,103.83,Sell,154 Days,-16.67,Fall by 1.8%,4.29%,-28.69%,
2021-01-24,108.94,2022-06-19,91.64,Buy,364 Days,8.07,Rise by 0.25%,-15.88%,-44.57%,
2021-10-03,109.2,2022-01-30,105.58,Sell,84 Days,-12.57,Fall by 2.33%,3.32%,-41.26%,
2023-06-11,91.6,2023-06-11,91.6,Buy,0 Days,20.25,Rise by 0%,0.0%,-41.26%,
2025-01-19,96.45,2025-04-06,92.45,Sell,54 Days,-15.14,Fall by 4.21%,4.15%,-37.11%,
2025-07-06,96.91,2025-07-06,96.91,Buy,0 Days,11.9,Rise by 0%,0.0%,-37.11%,
