Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2007-05-13,6.8075,2007-07-22,5.78,Buy,49 Days,0.0,Rise by 2.64%,-15.09%,-15.09%,
2008-03-30,6.5175,2008-05-04,7.9625,Buy,24 Days,8.0,Rise by 25.12%,22.17%,7.08%,
2009-03-22,3.625,2009-04-19,4.355,Buy,19 Days,6.79,Rise by 36.83%,20.14%,27.22%,
2011-03-20,3.945,2011-05-01,4.385,Sell,29 Days,-11.63,Fall by 3.87%,-11.15%,16.06%,
2012-04-15,4.1525,2012-04-22,3.7875,Sell,4 Days,-13.42,Fall by 15.17%,8.79%,24.85%,
2013-05-12,3.945,2013-10-06,4.88,Buy,104 Days,13.36,Rise by 6.15%,23.7%,48.55%,
2013-08-25,4.36,2013-09-01,4.195,Sell,4 Days,-13.9,Fall by -21.56%,3.78%,52.34%,
2015-08-02,10.0375,2015-08-09,10.685,Sell,4 Days,-19.6,Fall by 6.63%,-6.45%,45.89%,
2016-01-17,8.525,2016-01-31,8.0675,Sell,9 Days,-27.63,Fall by -10.35%,5.37%,51.25%,
2016-11-20,9.5075,2017-10-08,11.8625,Buy,229 Days,20.08,Rise by -10.65%,24.77%,76.02%,
2018-04-15,17.7925,2018-05-13,19.925,Sell,19 Days,-16.67,Fall by 14.58%,-11.99%,64.04%,
2021-01-24,17.2125,2022-05-08,13.7375,Buy,334 Days,8.07,Rise by 14.57%,-20.19%,43.85%,
2021-10-03,16.13,2021-10-10,17.915,Sell,4 Days,-12.57,Fall by -2.09%,-11.07%,32.78%,
2023-06-11,19.95,2024-02-04,24.0325,Buy,169 Days,20.25,Rise by 18.37%,20.46%,53.25%,
2025-01-19,47.5225,2025-01-26,54.7475,Sell,4 Days,-15.14,Fall by 11.56%,-15.2%,38.04%,
2025-07-06,57.98,2025-10-05,70.36,Buy,64 Days,11.9,Rise by 13.68%,21.35%,59.39%,
