Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,3.9062,2000-12-24,3.0625,Buy,24 Days,29.16,Rise by -21.6%,-21.6%,-21.6%,
2000-12-24,3.0625,2000-12-31,2.8828,Sell,4 Days,-20.0,Fall by 25.51%,5.87%,-15.73%,
2001-03-25,2.1328,2001-04-01,2.0469,Sell,4 Days,-19.44,Fall by 15.33%,4.03%,-11.7%,
2001-09-23,1.0625,2001-10-07,1.1691,Sell,9 Days,-13.51,Fall by -66.2%,-10.03%,-21.74%,
2001-11-11,1.5594,2001-11-18,1.7134,Sell,4 Days,-7.69,Fall by -13.24%,-9.88%,-31.61%,
2002-05-12,1.9109,2002-05-19,2.0934,Sell,4 Days,-10.53,Fall by 13.01%,-9.55%,-41.16%,
2003-01-12,2.1562,2003-01-26,1.9678,Sell,9 Days,-4.76,Fall by 10.44%,8.74%,-32.43%,
2004-03-28,2.6159,2004-05-02,2.5231,Sell,24 Days,-11.11,Fall by 10.82%,3.55%,-28.88%,
2004-05-16,2.3328,2004-05-23,2.5303,Sell,4 Days,-10.53,Fall by -81.94%,-8.47%,-37.34%,
2005-03-27,4.6887,2005-04-10,4.2663,Sell,9 Days,-18.71,Fall by 21.09%,9.01%,-28.33%,
2005-05-29,4.4062,2006-08-20,5.4763,Buy,319 Days,20.72,Rise by 10.51%,24.29%,-4.05%,
2005-08-21,4.3856,2005-10-30,4.1962,Sell,49 Days,-11.11,Fall by 4.32%,4.32%,0.27%,
2006-01-08,5.0887,2006-01-15,4.5906,Sell,4 Days,-10.87,Fall by 13.63%,9.79%,10.06%,
2006-04-23,5.0869,2006-04-30,4.9156,Sell,4 Days,-7.1,Fall by 12.15%,3.37%,13.43%,
2008-03-30,4.5375,2008-05-04,5.6175,Buy,24 Days,8.0,Rise by 35.29%,23.8%,37.23%,
2009-03-22,3.2362,2009-05-10,3.895,Buy,34 Days,6.79,Rise by 45.46%,20.36%,57.58%,
2011-03-20,8.0688,2011-03-27,8.655,Sell,4 Days,-11.63,Fall by 4.49%,-7.27%,50.32%,
2012-04-15,6.1438,2012-04-22,5.8313,Sell,4 Days,-13.42,Fall by 12.78%,5.09%,55.41%,
2013-05-12,5.3587,2013-10-13,6.675,Buy,109 Days,13.36,Rise by 16.28%,24.56%,79.97%,
2013-08-25,5.9513,2013-10-13,6.675,Sell,34 Days,-13.9,Fall by -15.42%,-12.16%,67.81%,
2015-08-02,8.455,2015-08-16,8.985,Sell,9 Days,-19.6,Fall by 4.14%,-6.27%,61.54%,
2016-01-17,8.66,2016-02-14,8.05,Sell,19 Days,-27.63,Fall by -4.39%,7.04%,68.58%,
2016-11-20,6.945,2018-01-14,8.405,Buy,299 Days,20.08,Rise by 13.75%,21.02%,89.61%,
2018-04-15,8.31,2018-04-29,8.81,Sell,9 Days,-16.67,Fall by -19.49%,-6.02%,83.59%,
2021-01-24,18.18,2021-08-01,22.12,Buy,134 Days,8.07,Rise by 4.02%,21.67%,105.26%,
2021-10-03,22.33,2021-11-14,23.7,Sell,29 Days,-12.57,Fall by 0.58%,-6.14%,99.13%,
2023-06-11,15.45,2023-12-17,18.67,Buy,134 Days,20.25,Rise by 10.29%,20.84%,119.97%,
2025-01-19,21.19,2025-03-02,20.1,Sell,29 Days,-15.14,Fall by 13.17%,5.14%,125.11%,
2025-07-06,18.96,2025-08-10,15.99,Buy,24 Days,11.9,Rise by -15.66%,-15.66%,109.45%,
