Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2003-10-19,8.45,2004-01-18,10.26,Buy,64 Days,46.55,Rise by 11.83%,21.42%,21.42%
2004-03-28,10.75,2004-04-18,10.4,Sell,14 Days,-11.11,Fall by 11.53%,3.26%,24.68%
2004-05-16,9.85,2004-06-13,10.45,Sell,19 Days,-10.53,Fall by -41.42%,-6.09%,18.58%
2005-03-27,15.75,2005-04-24,16.95,Sell,19 Days,-18.71,Fall by 2.67%,-7.62%,10.97%
2005-05-29,17.1,2005-10-23,13.85,Buy,104 Days,20.72,Rise by -10.35%,-19.01%,-8.04%
2005-08-21,16.9,2005-09-25,15.36,Sell,24 Days,-11.11,Fall by 12.78%,9.11%,1.07%
2006-01-08,17.0,2006-01-22,18.15,Sell,9 Days,-10.87,Fall by -2.0%,-6.76%,-5.69%
2006-04-23,18.45,2006-05-07,17.73,Sell,9 Days,-7.1,Fall by 9.21%,3.9%,-1.79%
2008-03-30,7.53,2008-09-28,6.13,Buy,129 Days,8.0,Rise by 12.22%,-18.59%,-20.38%
2009-03-22,3.75,2009-04-26,4.67,Buy,24 Days,6.79,Rise by 45.87%,24.53%,4.15%
2011-03-20,13.47,2011-04-17,12.92,Sell,19 Days,-11.63,Fall by 5.27%,4.08%,8.23%
2012-04-15,17.0,2012-05-06,18.15,Sell,14 Days,-13.42,Fall by 0.06%,-6.76%,1.47%
2013-05-12,20.05,2013-11-10,24.15,Buy,129 Days,13.36,Rise by 3.24%,20.45%,21.92%
2013-08-25,21.75,2013-09-01,20.79,Sell,4 Days,-13.9,Fall by -12.64%,4.41%,26.33%
2015-08-02,24.99,2015-08-23,22.18,Sell,14 Days,-19.6,Fall by 2.48%,11.24%,37.58%
2016-01-17,21.6,2016-02-07,20.15,Sell,14 Days,-27.63,Fall by -8.84%,6.71%,44.29%
2016-11-20,32.95,2017-05-14,27.97,Buy,124 Days,20.08,Rise by 8.59%,-15.11%,29.18%
2018-04-15,33.95,2018-04-29,36.75,Sell,9 Days,-16.67,Fall by -28.16%,-8.25%,20.93%
2021-01-24,65.09,2021-01-31,84.94,Buy,4 Days,8.07,Rise by 77.91%,30.5%,51.42%
2021-10-03,129.39,2021-10-24,146.25,Sell,14 Days,-12.57,Fall by -2.5%,-13.03%,38.39%
2023-06-11,140.15,2023-07-30,168.7,Buy,34 Days,20.25,Rise by 27.16%,20.37%,58.77%
2025-01-19,194.23,2025-02-09,184.68,Sell,14 Days,-15.14,Fall by 30.6%,4.92%,63.68%
2025-07-06,127.38,2025-07-06,127.38,Buy,0 Days,11.9,Rise by 0%,0.0%,63.68%
