Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2011-03-20,9.75,2011-04-24,10.5,Sell,24 Days,-11.63,Fall by 5.23%,-7.69%,-7.69%
2011-04-03,9.875,2011-08-21,8.355,Buy,99 Days,10.74,Rise by 2.68%,-15.39%,-23.08%
2012-04-15,6.98,2012-04-29,7.435,Sell,9 Days,-13.42,Fall by -11.03%,-6.52%,-29.6%
2013-05-12,13.715,2013-08-04,17.225,Buy,59 Days,13.36,Rise by 25.59%,25.59%,-4.01%
2013-08-25,16.03,2013-09-29,17.505,Sell,24 Days,-13.9,Fall by -13.23%,-9.2%,-13.21%
2015-08-02,13.795,2015-08-09,14.775,Sell,4 Days,-19.6,Fall by 12.14%,-7.1%,-20.32%
2016-01-17,11.55,2016-01-24,10.615,Sell,4 Days,-27.63,Fall by -5.67%,8.1%,-12.22%
2016-11-20,15.37,2017-01-29,19.405,Buy,49 Days,20.08,Rise by 26.25%,26.25%,14.03%
2018-04-15,18.54,2018-05-06,19.745,Sell,14 Days,-16.67,Fall by 2.91%,-6.5%,7.53%
2021-01-24,42.55,2021-06-20,35.21,Buy,104 Days,8.07,Rise by 10.11%,-17.25%,-9.72%
2021-10-03,29.1,2021-10-10,27.5,Sell,4 Days,-12.57,Fall by 20.07%,5.5%,-4.22%
2023-06-11,21.29,2024-02-11,26.76,Buy,174 Days,20.25,Rise by 19.26%,25.69%,21.47%
2025-01-19,29.52,2025-01-26,33.55,Sell,4 Days,-15.14,Fall by 10.06%,-13.65%,7.82%
2025-07-06,37.0,2025-08-10,47.15,Buy,24 Days,11.9,Rise by 50.54%,27.43%,35.25%
