Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2012-02-12,26.01,2012-05-13,21.92,Buy,64 Days,31.46,Rise by -13.84%,-15.72%,-15.72%,
2012-04-15,23.88,2012-05-06,22.41,Sell,14 Days,-13.42,Fall by 11.31%,6.16%,-9.57%,
2013-05-12,26.58,2013-08-11,22.37,Buy,64 Days,13.36,Rise by -14.22%,-15.84%,-25.41%,
2013-08-25,20.95,2013-09-15,22.75,Sell,14 Days,-13.9,Fall by -11.5%,-8.59%,-34.0%,
2015-08-02,31.07,2015-08-23,28.61,Sell,14 Days,-19.6,Fall by 13.94%,7.92%,-26.08%,
2016-01-17,25.18,2016-02-14,24.04,Sell,19 Days,-27.63,Fall by 5.6%,4.53%,-21.55%,
2016-11-20,26.11,2017-04-02,31.49,Buy,94 Days,20.08,Rise by 22.41%,20.61%,-0.95%,
2018-04-15,34.69,2018-05-20,32.93,Sell,24 Days,-16.67,Fall by 5.07%,5.07%,4.12%,
2021-01-24,41.35,2021-09-05,49.7,Buy,159 Days,8.07,Rise by 9.75%,20.19%,24.32%,
2021-10-03,49.15,2021-11-28,47.17,Sell,39 Days,-12.57,Fall by 4.03%,4.03%,28.35%,
2023-06-11,42.11,2024-02-11,50.72,Buy,174 Days,20.25,Rise by 5.68%,20.45%,48.79%,
2025-01-19,51.18,2025-02-16,49.59,Sell,19 Days,-15.14,Fall by 6.02%,3.11%,51.9%,
2025-07-06,55.79,2025-07-06,55.79,Buy,0 Days,11.9,Rise by 0%,0.0%,51.9%,
