Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1994-03-31,20.45,1994-06-30,14.97,65 days,1992-03-31/16.18,-26.80%,-26.80%,Rise by -35.45%,-26.80%,
Buy,1996-12-31,20.92,1998-09-30,40.95,456 days,1996-03-31/18.88,95.75%,95.75%,Rise by 11.19%,68.95%,
Buy,2000-12-31,26.85,2001-06-30,19.06,129 days,1999-09-30/25.41,-29.01%,-29.01%,Rise by 18.92%,39.94%,
Buy,2001-09-30,31.93,2001-12-31,23.8,65 days,2001-03-31/28.64,-25.46%,-25.46%,Rise by -20.45%,14.47%,
Buy,2002-09-30,39.69,2002-12-31,28.62,66 days,2001-09-30/31.93,-27.89%,-27.89%,Rise by -50.82%,-13.42%,
Buy,2007-03-31,14.64,2008-03-31,25.61,260 days,2005-03-31/14.02,74.93%,74.93%,Rise by 79.99%,61.51%,
Buy,2008-09-30,39.39,2009-06-30,26.35,195 days,2008-03-31/25.61,-33.10%,-33.10%,Rise by -33.1%,28.41%,
Buy,2011-09-30,42.96,2011-12-31,23.4,65 days,2010-06-30/34.54,-45.53%,-45.53%,Rise by -60.24%,-17.12%,
Buy,2014-12-31,19.2,2015-03-31,15.29,64 days,2012-12-31/18.02,-20.36%,-20.36%,Rise by 27.6%,-37.49%,
Buy,2015-09-30,24.5,2015-12-31,18.21,66 days,2014-12-31/19.2,-25.67%,-25.67%,Rise by -36.2%,-63.16%,
Buy,2018-03-31,19.97,2018-09-30,12.12,129 days,2016-06-30/15.63,-39.31%,-39.31%,Rise by 27.29%,-102.47%,
Buy,2018-12-31,25.42,2019-03-31,13.71,64 days,2018-03-31/19.97,-46.07%,-46.07%,Rise by -36.11%,-148.53%,
Buy,2020-03-31,53.54,2020-06-30,30.43,65 days,2009-03-31/44.14,-43.16%,-43.16%,Rise by -57.51%,-191.70%,
Buy,2022-09-30,31.62,2022-12-31,21.67,65 days,2022-06-30/28.71,-31.47%,-31.47%,Rise by -57.02%,-223.17%,
Buy,2025-03-31,22.28,2025-06-30,16.73,65 days,2023-03-31/18.7,-24.91%,-24.91%,Rise by -21.72%,-248.08%,
