Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1993-11-30,13.76,1994-01-31,10.63,44 days,1993-05-31/13.47,-22.75%,-22.75%,Rise by -19.11%,-22.75%,
Buy,1994-02-28,14.87,1994-07-31,11.13,109 days,1993-11-30/13.76,-25.15%,-25.15%,Rise by -25.15%,-47.90%,
Buy,1996-02-29,17.04,1997-10-31,35.09,436 days,1995-10-31/13.83,105.93%,105.93%,Rise by 14.2%,58.03%,
Buy,1998-08-31,44.28,1998-10-31,28.05,44 days,1997-10-31/35.09,-36.65%,-36.65%,Rise by -40.72%,21.38%,
Buy,2000-04-30,26.2,2000-06-30,19.54,44 days,1999-09-30/25.41,-25.42%,-25.42%,Rise by -21.49%,-4.04%,
Buy,2000-11-30,29.65,2001-01-31,22.02,44 days,2000-04-30/26.2,-25.73%,-25.73%,Rise by -14.06%,-29.78%,
Buy,2001-09-30,31.93,2001-11-30,23.84,44 days,2000-11-30/29.65,-25.34%,-25.34%,Rise by -32.38%,-55.11%,
Buy,2002-09-30,39.69,2002-10-31,31.14,23 days,2001-10-31/33.56,-21.54%,-21.54%,Rise by -25.35%,-76.66%,
Buy,2006-05-31,16.44,2006-06-30,13.08,22 days,2005-10-31/15.32,-20.44%,-20.44%,Rise by -32.48%,-97.09%,
Buy,2007-06-30,16.23,2008-01-31,26.2,153 days,2007-02-28/15.42,61.43%,61.43%,Rise by 63.52%,-35.66%,
Buy,2008-02-29,26.54,2008-04-30,20.79,43 days,2008-01-31/26.2,-21.67%,-21.67%,Rise by -13.56%,-57.33%,
Buy,2008-09-30,39.39,2009-05-31,28.92,173 days,2008-02-29/26.54,-26.58%,-26.58%,Rise by -26.58%,-83.91%,
Buy,2010-05-31,32.07,2010-07-31,23.5,44 days,2009-10-31/30.69,-26.72%,-26.72%,Rise by -33.89%,-110.63%,
Buy,2011-08-31,31.62,2011-12-31,23.4,87 days,2010-08-31/26.05,-26.00%,-26.00%,Rise by -38.52%,-136.63%,
Buy,2014-01-31,18.41,2014-02-28,14.0,20 days,2013-08-31/17.01,-23.95%,-23.95%,Rise by -37.15%,-160.58%,
Buy,2014-12-31,19.2,2015-02-28,13.34,42 days,2014-01-31/18.41,-30.52%,-30.52%,Rise by -27.92%,-191.10%,
Buy,2015-08-31,28.43,2015-10-31,15.07,44 days,2015-01-31/20.97,-46.99%,-46.99%,Rise by -28.95%,-238.10%,
Buy,2018-01-31,13.54,2018-12-31,25.42,238 days,2017-02-28/12.92,87.74%,87.74%,Rise by -10.49%,-150.36%,
Buy,2020-02-29,40.11,2020-05-31,27.51,64 days,2019-08-31/18.98,-31.41%,-31.41%,Rise by -39.02%,-181.77%,
Buy,2022-02-28,30.15,2022-03-31,20.56,23 days,2021-02-28/27.95,-31.81%,-31.81%,Rise by -29.25%,-213.58%,
Buy,2022-04-30,33.4,2022-05-31,26.19,21 days,2022-02-28/30.15,-21.59%,-21.59%,Rise by -22.51%,-235.17%,
Buy,2024-10-31,23.16,2024-11-30,13.51,21 days,2023-10-31/18.14,-41.67%,-41.67%,Rise by 6.65%,-276.83%,
Buy,2025-04-30,24.7,2025-05-31,18.57,22 days,2024-10-31/23.16,-24.82%,-24.82%,Rise by -29.39%,-301.65%,
