Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2003-10-12,1.79,2003-12-21,2.21,Buy,49 Days,34.35,Rise by 23.46%,23.46%,23.46%,
2004-03-28,2.23,2004-06-27,2.37,Sell,64 Days,-11.11,Fall by -1.35%,-6.28%,17.19%,
2004-05-16,2.3,2004-07-04,2.44,Sell,34 Days,-10.53,Fall by -6.52%,-6.09%,11.1%,
2005-03-27,2.98,2005-04-17,2.8,Sell,14 Days,-18.71,Fall by 10.07%,6.04%,17.14%,
2005-05-29,2.85,2005-09-18,3.5,Buy,79 Days,20.72,Rise by 10.53%,22.81%,39.95%,
2005-08-21,3.28,2005-09-18,3.5,Sell,19 Days,-11.11,Fall by 11.59%,-6.71%,33.24%,
2006-01-08,3.36,2006-01-22,3.25,Sell,9 Days,-10.87,Fall by 4.46%,3.27%,36.51%,
2006-04-23,3.7,2006-05-07,4.0,Sell,9 Days,-7.1,Fall by 0.0%,-8.11%,28.4%,
2008-03-30,3.39,2009-01-18,2.82,Buy,209 Days,8.0,Rise by -13.57%,-16.81%,11.59%,
2009-03-22,2.87,2011-05-15,3.52,Buy,559 Days,6.79,Rise by 8.71%,22.65%,34.24%,
2011-03-20,3.05,2011-04-03,3.24,Sell,9 Days,-11.63,Fall by -6.89%,-6.23%,28.01%,
2012-04-15,3.94,2012-05-06,4.18,Sell,14 Days,-13.42,Fall by 4.82%,-6.09%,21.92%,
2013-05-12,4.47,2014-11-02,5.7,Buy,384 Days,13.36,Rise by -0.22%,27.52%,49.43%,
2013-08-25,4.16,2013-11-10,4.45,Sell,54 Days,-13.9,Fall by -9.37%,-6.97%,42.46%,
2015-08-02,5.78,2015-08-16,5.55,Sell,9 Days,-19.6,Fall by 6.57%,3.98%,46.44%,
2016-01-17,6.3,2016-02-14,6.1,Sell,19 Days,-27.63,Fall by 6.03%,3.17%,49.62%,
2016-11-20,6.8,2018-06-10,8.2,Buy,404 Days,20.08,Rise by 10.15%,20.59%,70.21%,
2018-04-15,7.62,2018-06-10,8.2,Sell,39 Days,-16.67,Fall by -1.57%,-7.61%,62.59%,
2021-01-24,10.55,2021-07-04,12.92,Buy,114 Days,8.07,Rise by 6.73%,22.46%,85.06%,
2021-10-03,12.8,2021-11-21,12.37,Sell,34 Days,-12.57,Fall by 3.36%,3.36%,88.42%,
2023-06-11,8.75,2024-11-03,10.5,Buy,364 Days,20.25,Rise by -1.49%,20.0%,108.42%,
2025-01-19,10.55,2025-02-23,11.19,Sell,24 Days,-15.14,Fall by 5.21%,-6.07%,102.35%,
2025-07-06,11.31,2025-10-05,13.95,Buy,64 Days,11.9,Rise by 23.34%,23.34%,125.69%,
