Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1994-12-31,0.86,1996-03-31,1.46,324 days,1993-09-30/0.8555,69.54%,69.54%,Rise by 115.45%,69.54%
Buy,1996-06-30,1.77,1998-03-31,2.83,456 days,1996-03-31/1.457,60.40%,60.40%,Rise by 28.1%,129.94%
Buy,1998-06-30,3.34,1998-09-30,2.26,66 days,1998-03-31/2.832,-32.28%,-32.28%,Rise by 40.59%,97.66%
Buy,1998-12-31,3.51,2001-06-30,5.75,651 days,1998-06-30/3.3398,63.92%,63.92%,Rise by -11.69%,161.58%
Buy,2002-03-31,5.78,2004-03-31,9.47,522 days,2001-06-30/5.75,63.73%,63.73%,Rise by -11.89%,225.30%
Buy,2004-06-30,10.87,2006-03-31,18.82,457 days,2004-03-31/9.4675,73.05%,73.05%,Rise by 56.59%,298.35%
Buy,2006-06-30,18.88,2007-06-30,13.12,260 days,2006-03-31/18.815,-30.51%,-30.51%,Rise by -16.95%,267.85%
Buy,2009-12-31,11.53,2011-03-31,18.48,325 days,2009-09-30/10.325,60.23%,60.23%,Rise by 142.37%,328.08%
Buy,2011-06-30,19.74,2013-06-30,32.76,521 days,2006-06-30/18.88,65.89%,65.89%,Rise by 41.53%,393.97%
Buy,2013-09-30,38.48,2018-12-31,64.4,1370 days,2013-06-30/32.755,67.34%,67.34%,Rise by 55.98%,461.31%
Buy,2019-03-31,74.34,2019-03-31,74.34,0 days,2018-12-31/64.4,0.00%,0.00%,Rise by 0%,461.31%
