Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1994-04-30,1708.4,1994-06-30,3623.2,43 days,1994-03-31/1515.6,112.08%,112.08%,Rise by 221.0%,112.08%
Buy,1994-07-31,4201.3,1995-02-28,3270.9,151 days,1994-06-30/3623.2,-22.15%,-22.15%,Rise by -22.15%,89.94%
Buy,1996-01-31,5151.5,1997-02-28,8828.7,282 days,1995-09-30/4670.1001,71.38%,71.38%,Rise by 149.87%,161.32%
Buy,1997-03-31,9044.0,1998-08-31,6472.0,370 days,1997-02-28/8828.7002,-28.44%,-28.44%,Rise by 32.1%,132.88%
Buy,1999-06-30,11627.0,2002-09-30,8623.0,848 days,1999-04-30/11351.0,-25.84%,-25.84%,Rise by 53.26%,107.04%
Buy,2003-05-31,13422.0,2003-12-31,22236.0,152 days,2002-05-31/12861.0,65.67%,65.67%,Rise by 65.67%,172.71%
Buy,2004-07-31,22337.0,2006-01-31,38383.0,391 days,2003-12-31/22236.0,71.84%,71.84%,Rise by 25.97%,244.55%
Buy,2006-02-28,38610.0,2007-10-31,65318.0,436 days,2006-01-31/38383.0,69.17%,69.17%,Rise by 69.17%,313.72%
Buy,2008-04-30,67868.0,2008-09-30,49541.0,109 days,2007-10-31/65318.0,-27.00%,-27.00%,Rise by -27.0%,286.72%
Buy,2009-08-31,56489.0,2015-09-30,45059.0,1587 days,2008-08-31/55680.0,-20.23%,-20.23%,Rise by 24.58%,266.48%
Buy,2016-07-31,57308.0,2019-01-31,97394.0,653 days,2016-04-30/53911.0,69.95%,69.95%,Rise by 16.32%,336.43%
Buy,2019-06-30,100967.0,2020-03-31,73020.0,196 days,2019-01-31/97394.0,-27.68%,-27.68%,Rise by 14.85%,308.75%
Buy,2020-12-31,119306.0,2020-12-31,119306.0,0 days,2019-12-31/115964.0,0.00%,0.00%,Rise by 0%,308.75%
