Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2011-12-18,3.04,2012-04-01,3.7,Buy,74 Days,6.54,Rise by 9.54%,21.71%,21.71%,
2012-04-15,3.43,2012-05-06,3.25,Sell,14 Days,-13.42,Fall by 7.87%,5.25%,26.96%,
2013-05-12,2.69,2013-11-10,2.0,Buy,129 Days,13.36,Rise by -11.15%,-25.65%,1.31%,
2013-08-25,2.97,2013-09-15,2.88,Sell,14 Days,-13.9,Fall by 10.77%,3.03%,4.34%,
2015-08-02,2.87,2015-08-09,2.78,Sell,4 Days,-19.6,Fall by 12.89%,3.14%,7.47%,
2016-01-17,3.78,2016-02-14,3.62,Sell,19 Days,-27.63,Fall by -4.37%,4.23%,11.71%,
2016-11-20,3.62,2017-04-30,4.49,Buy,114 Days,20.08,Rise by 16.71%,24.03%,35.74%,
2018-04-15,4.04,2018-07-15,4.38,Sell,64 Days,-16.67,Fall by -19.31%,-8.42%,27.32%,
2021-01-24,8.31,2021-04-04,6.95,Buy,49 Days,8.07,Rise by -12.15%,-16.37%,10.96%,
2021-10-03,6.725,2021-10-10,6.5,Sell,4 Days,-12.57,Fall by 6.47%,3.35%,14.3%,
2023-06-11,8.48,2024-04-28,7.195,Buy,229 Days,20.25,Rise by 1.18%,-15.15%,-0.85%,
2025-01-19,8.83,2025-03-02,8.36,Sell,29 Days,-15.14,Fall by 9.51%,5.32%,4.47%,
2025-07-06,8.63,2025-07-06,8.63,Buy,0 Days,11.9,Rise by 0%,0.0%,4.47%,
