Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2012-02-12,1.1,2012-04-29,0.87,54 days,2011-07-31/1.0867,-21.30%,-21.30%,Rise by -16.46%,-21.30%
Buy,2013-05-19,1.46,2013-06-30,1.09,29 days,2013-02-17/1.3633,-25.03%,-25.03%,Rise by -16.68%,-46.33%
Buy,2013-09-15,1.48,2014-09-07,2.44,254 days,2013-05-19/1.4583,64.38%,64.38%,Rise by 17.31%,18.05%
Buy,2015-05-24,2.34,2015-07-05,1.85,29 days,2014-10-26/2.23,-21.19%,-21.19%,Rise by -28.09%,-3.14%
Buy,2016-07-03,2.01,2017-10-08,3.5,329 days,2016-06-05/1.9483,74.17%,74.17%,Rise by 17.19%,71.03%
Buy,2020-02-23,2.24,2020-03-22,1.51,19 days,2019-07-28/2.1517,-32.36%,-32.36%,Rise by -23.41%,38.67%
Buy,2020-06-21,2.52,2020-09-20,4.7,64 days,2020-02-23/2.235,85.94%,85.94%,Rise by 237.1%,124.61%
Buy,2021-01-03,8.8,2021-05-02,6.9,84 days,2020-11-08/8.5117,-21.49%,-21.49%,Rise by -13.97%,103.12%
Buy,2021-08-08,11.62,2022-03-06,8.94,149 days,2021-02-14/11.4017,-23.06%,-23.06%,Rise by -11.5%,80.05%
Buy,2022-06-12,13.05,2022-09-04,9.14,59 days,2021-11-14/12.8583,-29.93%,-29.93%,Rise by -10.9%,50.12%
Buy,2023-06-18,11.42,2023-12-03,8.82,119 days,2023-02-05/10.735,-22.79%,-22.79%,Rise by -17.92%,27.33%
Buy,2024-06-23,10.06,2025-02-23,16.82,174 days,2023-11-26/9.9,67.08%,67.08%,Rise by 28.81%,94.41%
Buy,2025-03-23,16.86,2025-09-07,13.41,119 days,2025-02-23/16.8167,-20.46%,-20.46%,Rise by 16.91%,73.95%
