Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2012-01-01,4.8,2012-05-06,5.94,Buy,89 Days,9.77,Rise by 14.38%,23.75%,23.75%
2012-04-15,5.75,2012-05-20,5.4,Sell,24 Days,-13.42,Fall by 11.65%,6.09%,29.84%
2013-05-12,9.89,2013-06-30,11.97,Buy,34 Days,13.36,Rise by 34.68%,21.03%,50.87%
2013-08-25,12.09,2013-09-08,13.11,Sell,9 Days,-13.9,Fall by -5.96%,-8.44%,42.43%
2015-08-02,19.82,2015-08-23,18.22,Sell,14 Days,-19.6,Fall by 8.53%,8.07%,50.5%
2016-01-17,15.21,2016-02-07,13.5,Sell,14 Days,-27.63,Fall by 9.86%,11.24%,61.75%
2016-11-20,11.5,2017-02-19,13.92,Buy,64 Days,20.08,Rise by 24.26%,21.04%,82.79%
2018-04-15,4.62,2018-04-22,5.02,Sell,4 Days,-16.67,Fall by -31.17%,-8.66%,74.13%
2021-01-24,12.3,2021-05-02,15.05,Buy,69 Days,8.07,Rise by 14.8%,22.36%,96.49%
2021-10-03,12.76,2021-10-17,13.57,Sell,9 Days,-12.57,Fall by 2.04%,-6.35%,90.14%
2023-06-11,19.96,2024-05-19,24.38,Buy,244 Days,20.25,Rise by 7.36%,22.14%,112.29%
2025-01-19,28.44,2025-03-16,27.54,Sell,39 Days,-15.14,Fall by 3.16%,3.16%,115.45%
2025-07-06,34.69,2025-07-06,34.69,Buy,0 Days,11.9,Rise by 0%,0.0%,115.45%
