Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2007-01-21,99.8,2011-08-07,119.76,Buy,1184 Days,30.51,Rise by 1.28%,20.0%,20.0%,
2007-03-11,100.69,2008-01-13,107.18,Sell,219 Days,-9.09,Fall by 0.48%,-6.45%,13.55%,
2008-03-30,110.42,2020-03-29,133.06,Buy,3129 Days,8.0,Rise by -1.68%,20.5%,34.06%,
2009-03-22,114.52,2009-03-22,114.52,Buy,0 Days,6.79,Rise by 0%,0.0%,34.06%,
2011-03-20,115.62,2012-05-13,122.71,Sell,299 Days,-11.63,Fall by -0.98%,-6.13%,27.93%,
2012-04-15,122.04,2018-10-07,118.26,Sell,1689 Days,-13.42,Fall by -0.54%,3.1%,31.02%,
2013-05-12,123.41,2013-05-12,123.41,Buy,0 Days,13.36,Rise by 0%,0.0%,31.02%,
2013-08-25,119.77,2016-07-03,127.41,Sell,744 Days,-13.9,Fall by -0.19%,-6.38%,24.64%,
2015-08-02,123.65,2018-04-22,119.4,Sell,709 Days,-19.6,Fall by 0.82%,3.44%,28.08%,
2016-01-17,124.44,2018-02-04,120.14,Sell,534 Days,-27.63,Fall by 0.13%,3.46%,31.54%,
2016-11-20,123.0,2016-11-20,123.0,Buy,0 Days,20.08,Rise by 0%,0.0%,31.54%,
2018-04-15,120.04,2019-08-18,127.63,Sell,349 Days,-16.67,Fall by 0.9%,-6.32%,25.21%,
2021-01-24,132.55,2023-10-08,112.33,Buy,704 Days,8.07,Rise by -1.31%,-15.25%,9.96%,
2021-10-03,130.42,2022-02-06,125.82,Sell,89 Days,-12.57,Fall by 1.23%,3.53%,13.49%,
2023-06-11,115.94,2023-06-11,115.94,Buy,0 Days,20.25,Rise by 0%,0.0%,13.49%,
2025-01-19,115.56,2025-01-19,115.56,Sell,0 Days,-15.14,Fall by 0%,-0.0%,13.49%,
2025-07-06,118.08,2025-07-06,118.08,Buy,0 Days,11.9,Rise by 0%,0.0%,13.49%,
