Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1978-04-30,0.6,1980-11-30,0.98,674 days,1977-03-31/0.5609,63.64%,63.64%,Rise by 17.36%,63.64%
Buy,1980-12-31,1.05,1983-06-30,1.73,651 days,1980-11-30/0.9784,64.56%,64.56%,Rise by -11.73%,128.20%
Buy,1984-11-30,1.54,1986-05-31,2.49,390 days,1984-10-31/1.5121,61.22%,61.22%,Rise by 28.21%,189.42%
Buy,1986-06-30,2.83,1987-10-31,2.08,349 days,1986-05-31/2.4856,-26.40%,-26.40%,Rise by -14.69%,163.03%
Buy,1988-10-31,2.26,1991-02-28,4.15,608 days,1988-03-31/2.1792,83.81%,83.81%,Rise by 8.31%,246.83%
Buy,1991-03-31,4.23,1995-03-31,6.78,1044 days,1991-02-28/4.1509,60.28%,60.28%,Rise by 57.01%,307.11%
Buy,1995-04-30,6.85,1996-05-31,11.19,284 days,1995-03-31/6.7797,63.35%,63.35%,Rise by 58.15%,370.46%
Buy,1996-06-30,11.29,1997-06-30,18.9,260 days,1996-05-31/11.1875,67.43%,67.43%,Rise by 29.6%,437.89%
Buy,1997-09-30,19.01,1998-03-31,31.53,130 days,1997-06-30/18.8963,65.80%,65.80%,Rise by 89.29%,503.69%
Buy,1998-04-30,35.99,2002-09-30,27.53,1152 days,1998-03-31/31.5267,-23.51%,-23.51%,Rise by 21.91%,480.18%
Buy,2003-12-31,33.52,2004-11-30,26.35,239 days,2003-06-30/32.4004,-21.40%,-21.40%,Rise by -13.39%,458.78%
Buy,2006-08-31,26.15,2008-03-31,19.86,412 days,2006-02-28/24.8482,-24.06%,-24.06%,Rise by -0.25%,434.73%
Buy,2009-11-30,17.24,2010-06-30,13.53,152 days,2008-12-31/16.8027,-21.52%,-21.52%,Rise by -16.18%,413.21%
Buy,2011-02-28,18.25,2013-11-30,30.1,719 days,2011-01-31/17.2865,64.92%,64.92%,Rise by 12.47%,478.12%
Buy,2014-02-28,30.46,2021-11-30,53.73,2022 days,2013-11-30/30.1044,76.37%,76.37%,Rise by -10.62%,554.49%
Buy,2021-12-31,59.05,2022-02-28,46.94,41 days,2021-11-30/53.73,-20.51%,-20.51%,Rise by -10.18%,533.98%
