Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-02-27,40.63,2011-06-12,32.11,74 days,2010-12-05/39.31,-20.97%,-20.97%,Rise by -11.84%,-20.97%
Buy,2012-09-16,39.33,2013-03-10,30.84,124 days,2012-02-26/38.75,-21.59%,-21.59%,Rise by 2.7%,-42.56%
Buy,2014-07-13,27.25,2014-09-21,21.39,49 days,2014-03-16/26.72,-21.50%,-21.50%,Rise by -11.45%,-64.06%
Buy,2016-02-14,15.24,2016-07-03,24.78,99 days,2015-10-11/14.46,62.60%,62.60%,Rise by 37.47%,-1.46%
Buy,2017-11-26,21.24,2018-09-09,15.93,204 days,2017-05-21/21.08,-25.00%,-25.00%,Rise by 4.33%,-26.46%
Buy,2019-07-21,26.73,2020-05-10,43.38,209 days,2019-03-24/24.5,62.29%,62.29%,Rise by 4.49%,35.83%
Buy,2020-07-12,46.64,2021-02-28,35.74,164 days,2020-05-17/45.64,-23.37%,-23.37%,Rise by -11.45%,12.46%
Buy,2022-03-06,46.73,2022-07-03,37.07,84 days,2021-09-05/46.6,-20.67%,-20.67%,Rise by -15.13%,-8.22%
Buy,2023-01-08,43.3,2025-03-09,70.49,564 days,2022-06-12/42.26,62.79%,62.79%,Rise by 20.3%,54.58%
Buy,2025-07-27,93.98,2025-07-27,93.98,0 days,2025-06-15/91.7,0.00%,0.00%,Rise by 0%,54.58%
