Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,5.5209,2002-07-28,4.4431,Buy,439 Days,29.16,Rise by 4.58%,-19.52%,-19.52%,
2000-12-24,5.6639,2001-04-01,6.2908,Sell,69 Days,-20.0,Fall by -2.91%,-11.07%,-30.59%,
2001-03-25,5.9828,2001-07-01,5.7189,Sell,69 Days,-19.44,Fall by 4.41%,4.41%,-26.18%,
2001-09-23,4.839,2001-10-07,5.3889,Sell,9 Days,-13.51,Fall by -11.36%,-11.36%,-37.54%,
2001-11-11,5.5979,2001-12-23,5.3889,Sell,29 Days,-7.69,Fall by 3.73%,3.73%,-33.81%,
2002-05-12,5.3669,2002-06-16,5.125,Sell,24 Days,-10.53,Fall by 10.45%,4.51%,-29.3%,
2003-01-12,2.4525,2003-01-19,2.2546,Sell,4 Days,-4.76,Fall by 12.11%,8.07%,-21.23%,
2004-03-28,1.6937,2004-04-18,1.8476,Sell,14 Days,-11.11,Fall by 1.95%,-9.09%,-30.32%,
2004-05-16,1.6607,2004-06-06,1.7817,Sell,14 Days,-10.53,Fall by -42.38%,-7.29%,-37.61%,
2005-03-27,2.0566,2005-04-03,1.9356,Sell,4 Days,-18.71,Fall by -7.49%,5.88%,-31.72%,
2005-05-29,2.2546,2005-11-06,1.9135,Buy,114 Days,20.72,Rise by 6.34%,-15.13%,-46.85%,
2005-08-21,2.2106,2005-09-04,2.3535,Sell,9 Days,-11.11,Fall by 13.44%,-6.46%,-53.32%,
2006-01-08,2.1144,2006-01-22,2.2729,Sell,9 Days,-10.87,Fall by -65.5%,-7.5%,-60.81%,
2006-04-23,2.8332,2006-05-14,3.0658,Sell,14 Days,-7.1,Fall by -18.29%,-8.21%,-69.02%,
2008-03-30,1.9029,2008-05-18,2.2835,Buy,34 Days,8.0,Rise by 23.89%,20.0%,-49.02%,
2009-03-22,1.332,2009-05-10,1.7232,Buy,34 Days,6.79,Rise by 43.66%,29.37%,-19.65%,
2011-03-20,1.946,2011-04-03,2.0795,Sell,9 Days,-11.63,Fall by -0.57%,-6.86%,-26.51%,
2012-04-15,1.8793,2012-05-20,1.8015,Sell,24 Days,-13.42,Fall by 8.28%,4.14%,-22.37%,
2013-05-12,1.5397,2014-12-14,1.8819,Buy,414 Days,13.36,Rise by 12.78%,22.23%,-0.15%,
2013-08-25,1.4713,2013-09-22,1.591,Sell,19 Days,-13.9,Fall by 4.07%,-8.14%,-8.28%,
2015-08-02,1.8305,2015-08-30,1.7749,Sell,19 Days,-19.6,Fall by 5.14%,3.04%,-5.25%,
2016-01-17,1.6039,2016-01-24,1.5226,Sell,4 Days,-27.63,Fall by 14.93%,5.07%,-0.18%,
2016-11-20,0.6587,2017-02-12,0.9623,Buy,59 Days,20.08,Rise by 71.41%,46.09%,45.91%,
2018-04-15,0.8554,2018-06-03,0.8126,Sell,34 Days,-16.67,Fall by 5.0%,5.0%,50.92%,
2021-01-24,0.7889,2021-04-18,0.9556,Buy,59 Days,8.07,Rise by 4.93%,21.13%,72.05%,
2021-10-03,0.7167,2021-11-28,0.7667,Sell,39 Days,-12.57,Fall by -4.65%,-6.98%,65.07%,
2023-06-11,0.6667,2024-04-21,0.9167,Buy,224 Days,20.25,Rise by 4.99%,37.5%,102.57%,
2025-01-19,1.4111,2025-02-09,1.5444,Sell,14 Days,-15.14,Fall by 4.33%,-9.45%,93.12%,
2025-07-06,1.6,2025-07-06,1.6,Buy,0 Days,11.9,Rise by 0%,0.0%,93.12%,
