Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1963-05-31,0.09,1965-05-31,0.15,521 days,1963-03-31/0.087,61.40%,61.40%,Rise by 27.47%,61.40%,
Buy,1965-12-31,0.15,1966-08-31,0.11,173 days,1965-05-31/0.1451,-27.00%,-27.00%,Rise by -13.47%,34.40%,
Buy,1966-11-30,0.17,1967-10-31,0.28,239 days,1966-01-31/0.1548,70.29%,70.29%,Rise by 53.7%,104.69%,
Buy,1967-11-30,0.32,1968-02-29,0.24,65 days,1967-10-31/0.2832,-24.44%,-24.44%,Rise by -11.1%,80.25%,
Buy,1968-05-31,0.34,1969-10-31,0.58,370 days,1967-11-30/0.3179,71.77%,71.77%,Rise by 29.78%,152.02%,
Buy,1969-11-30,0.64,1971-03-31,1.04,347 days,1969-10-31/0.578,62.91%,62.91%,Rise by -17.14%,214.93%,
Buy,1971-04-30,1.16,1972-05-31,1.9,283 days,1971-03-31/1.0379,63.93%,63.93%,Rise by 68.47%,278.86%,
Buy,1972-06-30,1.92,1973-10-31,1.46,348 days,1972-05-31/1.9036,-24.00%,-24.00%,Rise by 26.94%,254.87%,
Buy,1975-04-30,0.99,1977-02-28,0.78,478 days,1975-03-31/0.9351,-21.44%,-21.44%,Rise by 25.58%,233.42%,
Buy,1978-08-31,0.88,1979-05-31,0.7,195 days,1977-11-30/0.8786,-20.35%,-20.35%,Rise by -13.66%,213.08%,
Buy,1979-12-31,0.92,1983-02-28,1.54,825 days,1979-01-31/0.8503,66.57%,66.57%,Rise by 18.11%,279.65%,
Buy,1983-03-31,1.57,1983-08-31,1.21,109 days,1983-02-28/1.5363,-22.92%,-22.92%,Rise by -22.92%,256.73%,
Buy,1985-01-31,1.53,1986-02-28,2.86,281 days,1984-03-31/1.3744,87.22%,87.22%,Rise by 26.21%,343.96%,
Buy,1986-03-31,3.08,1987-03-31,5.13,261 days,1986-02-28/2.8619,66.33%,66.33%,Rise by 113.34%,410.29%,
Buy,1987-04-30,5.28,1989-07-31,8.84,587 days,1987-03-31/5.1277,67.31%,67.31%,Rise by -14.01%,477.60%,
Buy,1989-08-31,9.66,1990-09-30,7.45,281 days,1989-07-31/8.8374,-22.87%,-22.87%,Rise by -11.38%,454.73%,
Buy,1992-01-31,11.22,1995-04-30,18.21,845 days,1990-05-31/10.6049,62.27%,62.27%,Rise by 33.7%,517.00%,
Buy,1995-05-31,18.25,1997-11-30,31.22,652 days,1995-04-30/18.2091,71.06%,71.06%,Rise by 18.02%,588.06%,
Buy,1997-12-31,32.55,1998-09-30,25.03,195 days,1997-11-30/31.2186,-23.11%,-23.11%,Rise by -16.86%,564.95%,
Buy,2000-01-31,35.82,2000-11-30,28.55,218 days,1999-02-28/34.7125,-20.31%,-20.31%,Rise by -20.31%,544.64%,
Buy,2003-07-31,21.62,2007-01-31,34.7,914 days,2002-11-30/19.5524,60.45%,60.45%,Rise by 21.03%,605.09%,
Buy,2007-05-31,34.96,2008-10-31,25.91,371 days,2007-01-31/34.6952,-25.89%,-25.89%,Rise by -14.65%,579.20%,
Buy,2009-11-30,30.22,2012-06-30,48.5,674 days,2009-09-30/27.46,60.49%,60.49%,Rise by 21.91%,639.69%,
Buy,2012-07-31,49.14,2014-02-28,80.81,413 days,2012-06-30/48.5,64.45%,64.45%,Rise by 31.56%,704.14%,
Buy,2014-05-31,84.01,2019-04-30,136.97,1281 days,2014-02-28/80.81,63.04%,63.04%,Rise by 42.84%,767.18%,
Buy,2019-06-30,139.64,2020-03-31,96.6,196 days,2019-04-30/136.97,-30.82%,-30.82%,Rise by 8.55%,736.36%,
Buy,2020-12-31,181.18,2021-11-30,144.9,238 days,2019-11-30/151.58,-20.02%,-20.02%,Rise by -20.02%,716.33%,
Buy,2024-02-29,111.58,2024-02-29,111.58,0 days,2023-04-30/102.5,0.00%,0.00%,Rise by 0%,716.33%,
