Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1967-12-31,0.28,1969-12-31,0.69,522 days,1966-12-31/0.2036,142.51%,142.51%,Rise by 756.96%,142.51%,
Buy,1970-12-31,0.73,1971-12-31,1.41,261 days,1969-12-31/0.6885,94.52%,94.52%,Rise by -39.52%,237.04%,
Buy,1972-12-31,2.43,1973-12-31,0.97,260 days,1971-12-31/1.413,-60.08%,-60.08%,Rise by -57.87%,176.95%,
Buy,1980-12-31,1.05,1985-12-31,2.32,1304 days,1975-12-31/1.025,120.24%,120.24%,Rise by 774.14%,297.19%,
Buy,1986-12-31,3.55,1989-12-31,9.21,782 days,1972-12-31/2.4329,159.71%,159.71%,Rise by 446.09%,456.90%,
Buy,1991-12-31,9.41,1994-12-31,15.13,783 days,1989-12-31/9.2073,60.70%,60.70%,Rise by 245.85%,517.60%,
Buy,1995-12-31,19.36,1997-12-31,32.55,522 days,1994-12-31/15.1263,68.15%,68.15%,Rise by 41.66%,585.75%,
Buy,2006-12-31,33.81,2008-12-31,22.69,522 days,1997-12-31/32.5545,-32.88%,-32.88%,Rise by 210.82%,552.87%,
Buy,2010-12-31,37.51,2013-12-31,76.4,782 days,2006-12-31/33.8074,103.68%,103.68%,Rise by 285.58%,656.55%,
Buy,2014-12-31,94.19,2020-12-31,181.18,1566 days,2013-12-31/76.4,92.36%,92.36%,Rise by 92.36%,748.90%,
