Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1982-10-31,0.11,1983-01-31,0.18,65 days,1981-12-31/0.0988,61.08%,61.08%,Rise by 127.54%,61.08%,
Buy,1983-02-28,0.2,1983-07-31,0.16,109 days,1983-01-31/0.1825,-23.56%,-23.56%,Rise by -23.56%,37.51%,
Buy,1986-02-28,0.11,1986-11-30,0.18,195 days,1985-02-28/0.1105,60.04%,60.04%,Rise by 48.03%,97.55%,
Buy,1986-12-31,0.18,1987-02-28,0.31,42 days,1986-11-30/0.1786,72.84%,72.84%,Rise by 179.04%,170.39%,
Buy,1987-04-30,0.35,1990-09-30,0.26,891 days,1987-02-28/0.3125,-26.82%,-26.82%,Rise by 42.59%,143.57%,
Buy,1991-01-31,0.5,1991-06-30,0.37,106 days,1990-06-30/0.3996,-25.23%,-25.23%,Rise by -25.23%,118.34%,
Buy,1994-10-31,0.39,1995-12-31,0.28,304 days,1994-02-28/0.3259,-26.19%,-26.19%,Rise by -18.39%,92.15%,
Buy,1998-02-28,0.21,1998-09-30,0.34,152 days,1997-08-31/0.1942,61.40%,61.40%,Rise by 61.4%,153.55%,
Buy,1998-12-31,0.37,1999-10-31,0.72,216 days,1998-09-30/0.3404,95.73%,95.73%,Rise by 231.76%,249.28%,
Buy,1999-11-30,0.87,2000-09-30,0.46,218 days,1999-10-31/0.7154,-47.39%,-47.39%,Rise by -14.18%,201.90%,
Buy,2003-06-30,0.34,2004-06-30,0.58,262 days,2003-05-31/0.3205,70.71%,70.71%,Rise by 370.65%,272.61%,
Buy,2004-08-31,0.62,2004-11-30,1.2,65 days,2004-06-30/0.5811,94.40%,94.40%,Rise by 160.12%,367.01%,
Buy,2005-01-31,1.37,2005-11-30,2.42,217 days,2000-03-31/1.2126,76.38%,76.38%,Rise by 96.39%,443.39%,
Buy,2005-12-31,2.57,2006-06-30,2.05,129 days,2005-11-30/2.4221,-20.33%,-20.33%,Rise by -16.86%,423.06%,
Buy,2006-09-30,2.75,2007-07-31,4.71,216 days,2006-01-31/2.6968,71.16%,71.16%,Rise by 157.31%,494.22%,
Buy,2007-08-31,4.95,2008-10-31,3.84,305 days,2007-07-31/4.7057,-22.31%,-22.31%,Rise by -17.92%,471.91%,
Buy,2009-09-30,6.62,2010-10-31,10.75,282 days,2009-08-31/6.0075,62.39%,62.39%,Rise by 40.86%,534.30%,
Buy,2010-11-30,11.11,2012-02-29,19.37,326 days,2010-10-31/10.7493,74.33%,74.33%,Rise by 25.5%,608.63%,
Buy,2012-03-31,21.41,2013-01-31,16.27,218 days,2012-02-29/19.3729,-24.03%,-24.03%,Rise by 11.27%,584.60%,
Buy,2013-12-31,20.04,2015-02-28,32.12,303 days,2013-11-30/19.8596,60.28%,60.28%,Rise by 48.39%,644.89%,
Buy,2015-05-31,32.57,2016-01-31,24.34,174 days,2015-02-28/32.115,-25.28%,-25.28%,Rise by -19.2%,619.60%,
Buy,2016-12-31,28.96,2018-05-31,46.72,368 days,2016-10-31/28.385,61.35%,61.35%,Rise by 31.89%,680.95%,
Buy,2018-07-31,47.57,2020-01-31,77.38,393 days,2018-05-31/46.7175,62.65%,62.65%,Rise by -17.11%,743.60%,
Buy,2020-05-31,79.48,2020-08-31,129.04,65 days,2020-01-31/77.3775,62.35%,62.35%,Rise by 66.94%,805.94%,
Buy,2020-12-31,132.69,2024-07-31,222.08,934 days,2020-08-31/129.04,67.37%,67.37%,Rise by 14.42%,873.31%,
Buy,2024-08-31,229.0,2024-08-31,229.0,0 days,2024-07-31/222.08,0.00%,0.00%,Rise by 0%,873.31%,
