Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,20.1562,2001-01-14,24.5312,Buy,39 Days,29.16,Rise by 32.96%,21.71%,21.71%
2000-12-24,23.0625,2001-01-14,24.5312,Sell,14 Days,-20.0,Fall by -6.34%,-6.37%,15.34%
2001-03-25,26.39,2001-04-08,24.795,Sell,9 Days,-19.44,Fall by 3.37%,6.04%,21.38%
2001-09-23,25.5,2001-09-30,29.2,Sell,4 Days,-13.51,Fall by -19.22%,-14.51%,6.87%
2001-11-11,31.525,2002-01-13,30.45,Sell,44 Days,-7.69,Fall by 3.57%,3.41%,10.28%
2002-05-12,36.925,2002-06-09,35.485,Sell,19 Days,-10.53,Fall by 4.86%,3.9%,14.18%
2003-01-12,35.9,2003-01-26,34.81,Sell,9 Days,-4.76,Fall by 6.25%,3.04%,17.22%
2004-03-28,40.05,2004-08-01,42.505,Sell,89 Days,-11.11,Fall by 1.94%,-6.13%,11.09%
2004-05-16,40.1,2004-08-22,44.25,Sell,69 Days,-10.53,Fall by -4.63%,-10.35%,0.74%
2005-03-27,43.75,2005-05-22,46.57,Sell,39 Days,-18.71,Fall by -2.81%,-6.45%,-5.71%
2005-05-29,46.65,2008-01-13,38.5,Buy,684 Days,20.72,Rise by -6.37%,-17.47%,-23.18%
2005-08-21,43.62,2005-09-25,42.23,Sell,24 Days,-11.11,Fall by 3.6%,3.19%,-19.99%
2006-01-08,46.57,2006-01-22,44.19,Sell,9 Days,-10.87,Fall by -1.8%,5.11%,-14.88%
2006-04-23,46.87,2006-04-30,49.92,Sell,4 Days,-7.1,Fall by -1.15%,-6.51%,-21.39%
2008-03-30,38.07,2008-06-08,30.5,Buy,49 Days,8.0,Rise by 4.52%,-19.88%,-41.27%
2009-03-22,6.19,2009-04-05,7.6,Buy,9 Days,6.79,Rise by 128.92%,22.78%,-18.49%
2011-03-20,14.04,2011-03-27,13.34,Sell,4 Days,-11.63,Fall by 12.32%,4.99%,-13.51%
2012-04-15,8.68,2012-04-22,8.36,Sell,4 Days,-13.42,Fall by 19.12%,3.69%,-9.82%
2013-05-12,13.02,2013-11-24,15.64,Buy,139 Days,13.36,Rise by 13.98%,20.12%,10.3%
2013-08-25,14.57,2013-09-01,14.12,Sell,4 Days,-13.9,Fall by 4.6%,3.09%,13.39%
2015-08-02,17.88,2015-08-23,16.1,Sell,14 Days,-19.6,Fall by 12.47%,9.96%,23.35%
2016-01-17,14.46,2016-01-24,13.56,Sell,4 Days,-27.63,Fall by 16.11%,6.22%,29.57%
2016-11-20,20.0,2017-02-19,24.52,Buy,64 Days,20.08,Rise by 16.8%,22.6%,52.17%
2018-04-15,29.8,2018-07-01,28.19,Sell,54 Days,-16.67,Fall by 5.94%,5.4%,57.57%
2021-01-24,31.55,2021-03-14,37.94,Buy,34 Days,8.07,Rise by 26.75%,20.25%,77.83%
2021-10-03,43.08,2021-10-17,46.37,Sell,9 Days,-12.57,Fall by -1.83%,-7.64%,70.19%
2023-06-11,29.27,2024-03-10,35.6,Buy,194 Days,20.25,Rise by 9.26%,21.63%,91.81%
2025-01-19,46.53,2025-02-23,44.81,Sell,24 Days,-15.14,Fall by 11.03%,3.7%,95.51%
2025-07-06,48.93,2025-07-06,48.93,Buy,0 Days,11.9,Rise by 0%,0.0%,95.51%
