Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,33.5312,2001-10-28,28.26,Buy,244 Days,29.16,Rise by -4.51%,-15.72%,-15.72%
2000-12-24,32.1719,2001-01-07,31.1875,Sell,9 Days,-20.0,Fall by 3.25%,3.06%,-12.66%
2001-03-25,28.95,2001-04-01,31.29,Sell,4 Days,-19.44,Fall by -5.66%,-8.08%,-20.74%
2001-09-23,29.13,2001-11-04,28.06,Sell,29 Days,-13.51,Fall by 3.67%,3.67%,-17.07%
2001-11-11,28.64,2001-12-02,27.37,Sell,14 Days,-7.69,Fall by 5.2%,4.43%,-12.64%
2002-05-12,25.55,2002-06-23,24.6,Sell,29 Days,-10.53,Fall by 17.34%,3.72%,-8.92%
2003-01-12,20.28,2003-01-26,18.98,Sell,9 Days,-4.76,Fall by 13.31%,6.41%,-2.51%
2004-03-28,23.98,2004-05-09,22.74,Sell,29 Days,-11.11,Fall by 6.01%,5.17%,2.66%
2004-05-16,22.55,2004-07-18,24.08,Sell,44 Days,-10.53,Fall by -20.0%,-6.78%,-4.12%
2005-03-27,28.72,2005-06-05,30.48,Sell,49 Days,-18.71,Fall by -10.17%,-6.13%,-10.25%
2005-05-29,30.04,2006-11-26,36.2,Buy,389 Days,20.72,Rise by 7.42%,20.51%,10.26%
2005-08-21,31.64,2005-09-18,33.59,Sell,19 Days,-11.11,Fall by 4.08%,-6.16%,4.09%
2006-01-08,32.18,2006-04-02,30.83,Sell,59 Days,-10.87,Fall by 6.03%,4.2%,8.29%
2006-04-23,31.25,2006-07-23,33.46,Sell,64 Days,-7.1,Fall by -7.36%,-7.07%,1.22%
2008-03-30,37.63,2008-10-12,25.76,Buy,139 Days,8.0,Rise by 9.01%,-31.54%,-30.33%
2009-03-22,25.35,2009-12-06,30.64,Buy,184 Days,6.79,Rise by 7.5%,20.87%,-9.46%
2011-03-20,30.88,2011-05-01,33.16,Sell,29 Days,-11.63,Fall by -6.22%,-7.38%,-16.84%
2012-04-15,34.33,2012-06-10,36.82,Sell,39 Days,-13.42,Fall by -5.88%,-7.25%,-24.1%
2013-05-12,39.83,2014-12-28,48.55,Buy,424 Days,13.36,Rise by -0.73%,21.89%,-2.2%
2013-08-25,37.66,2014-02-16,40.28,Sell,124 Days,-13.9,Fall by 0.4%,-6.96%,-9.16%
2015-08-02,43.99,2015-09-06,40.96,Sell,24 Days,-19.6,Fall by 6.89%,6.89%,-2.27%
2016-01-17,43.41,2016-02-07,46.57,Sell,14 Days,-27.63,Fall by -9.08%,-7.28%,-9.55%
2016-11-20,46.29,2017-11-19,55.81,Buy,259 Days,20.08,Rise by 5.49%,20.57%,11.01%
2018-04-15,49.79,2018-07-08,53.17,Sell,59 Days,-16.67,Fall by 1.61%,-6.79%,4.23%
2021-01-24,62.84,2022-04-03,75.5,Buy,309 Days,8.07,Rise by 6.95%,20.15%,24.37%
2021-10-03,63.88,2021-12-12,69.15,Sell,49 Days,-12.57,Fall by -3.66%,-8.25%,16.12%
2023-06-11,66.39,2024-09-22,80.08,Buy,334 Days,20.25,Rise by 3.12%,20.62%,36.74%
2025-01-19,78.84,2025-04-06,74.53,Sell,54 Days,-15.14,Fall by 1.97%,5.47%,42.21%
2025-07-06,81.84,2025-07-06,81.84,Buy,0 Days,11.9,Rise by 0%,0.0%,42.21%
