Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2020-02-21 - 2020-03-20,20 days,2020-04-07,1.0804,2022-09-26,0.969,644 days,-10.3%,Rise by 1.44%,-10.3%,
Sell,2020-03-05 - 2020-03-09,2 days,2020-03-12,1.1262,2020-03-16,1.1155,2 days,1.0%,Fall by 4.31%,-9.4%,
Sell,2020-07-30 - 2020-07-31,1 days,2020-08-10,1.1783,2020-08-19,1.1948,7 days,-1.4%,Fall by 1.26%,-10.8%,
Sell,2020-12-15 - 2020-12-18,3 days,2020-12-24,1.2191,2021-01-07,1.2341,10 days,-1.2%,Fall by 1.01%,-12.0%,
Buy,2021-03-29 - 2021-03-31,2 days,2021-04-02,1.178,2022-04-28,1.0555,279 days,-10.4%,Rise by 3.98%,-22.4%,
Sell,2021-04-16 - 2021-04-20,2 days,2021-05-03,1.2028,2021-05-06,1.2008,3 days,0.2%,Fall by 2.12%,-22.2%,
Sell,2021-05-21 - 2021-05-25,2 days,2021-05-28,1.2193,2021-05-31,1.219,1 days,0.0%,Fall by 3.44%,-22.2%,
Buy,2021-07-05 - 2021-07-07,2 days,2021-07-09,1.1848,2022-04-27,1.0644,208 days,-10.2%,Rise by 0.38%,-32.4%,
Buy,2021-11-03 - 2021-11-05,2 days,2021-11-09,1.1592,2022-05-13,1.038,133 days,-10.5%,Rise by -2.12%,-42.8%,
Sell,2022-02-08 - 2022-02-10,2 days,2022-02-18,1.1366,2022-02-23,1.1329,3 days,0.3%,Fall by 4.41%,-42.5%,
Buy,2022-04-08 - 2022-04-13,3 days,2022-04-15,1.0821,2022-09-26,0.969,116 days,-10.5%,Rise by -0.43%,-52.9%,
Buy,2022-05-03 - 2022-05-13,8 days,2022-05-17,1.0439,2025-04-14,1.1343,759 days,8.7%,Rise by -1.17%,-44.3%,
Buy,2022-08-29 - 2022-09-06,6 days,2022-09-08,0.9996,2022-12-14,1.0627,69 days,6.3%,Rise by 0.96%,-38.0%,
Sell,2022-12-06 - 2022-12-12,4 days,2022-12-19,1.0585,2023-01-04,1.0547,12 days,0.4%,Fall by 0.6%,-37.6%,
Sell,2023-01-26 - 2023-02-02,5 days,2023-02-07,1.0731,2023-02-08,1.073,1 days,0.0%,Fall by 1.69%,-37.6%,
Sell,2023-04-06 - 2023-04-14,6 days,2023-04-28,1.1032,2023-05-01,1.1011,1 days,0.2%,Fall by 3.05%,-37.4%,
Buy,2023-05-17 - 2023-05-23,4 days,2023-05-29,1.0723,2025-04-14,1.1343,490 days,5.8%,Rise by 2.52%,-31.6%,
Buy,2023-05-30 - 2023-05-31,1 days,2023-06-07,1.0698,2023-07-18,1.1238,29 days,5.0%,Rise by 5.05%,-26.6%,
Sell,2023-06-20 - 2023-06-22,2 days,2023-06-29,1.0916,2023-07-03,1.0908,2 days,0.1%,Fall by 4.07%,-26.5%,
Buy,2023-08-17 - 2023-08-25,6 days,2023-08-30,1.0869,2025-06-13,1.16,467 days,6.7%,Rise by 1.26%,-19.8%,
Buy,2023-09-08 - 2023-09-15,5 days,2023-09-29,1.0562,2023-12-28,1.1109,64 days,5.2%,Rise by 4.2%,-14.6%,
Sell,2023-12-26 - 2023-12-28,2 days,2024-01-02,1.1039,2024-01-04,1.0928,2 days,1.0%,Fall by 2.99%,-13.6%,
Buy,2024-01-19 - 2024-01-26,5 days,2024-01-30,1.0834,2025-04-17,1.1397,317 days,5.2%,Rise by 1.12%,-8.4%,
Buy,2024-02-08 - 2024-02-14,4 days,2024-02-16,1.0774,2025-04-14,1.1343,301 days,5.3%,Rise by 1.68%,-3.1%,
Sell,2024-07-18 - 2024-08-05,12 days,2024-08-16,1.0973,2024-08-21,1.1128,3 days,-1.4%,Fall by -0.35%,-4.5%,
Sell,2024-08-22 - 2024-08-26,2 days,2024-08-30,1.108,2024-09-04,1.1049,3 days,0.3%,Fall by 2.7%,-4.3%,
Buy,2024-10-16 - 2024-10-17,1 days,2024-10-24,1.0781,2025-04-14,1.1343,122 days,5.2%,Rise by -2.9%,1.0%,
Buy,2024-10-24 - 2024-11-14,15 days,2024-11-25,1.048,2024-11-25,1.048,0 days,0.0%,Rise by -0.11%,1.0%,
Sell,2025-02-18 - 2025-02-27,7 days,2025-03-20,1.0912,2025-03-28,1.0801,6 days,1.0%,Fall by -1.69%,2.0%,
Sell,2025-06-03 - 2025-06-05,2 days,2025-06-18,1.1483,2025-06-26,1.1684,6 days,-1.8%,Fall by 0.51%,0.2%,
Sell,2025-06-17 - 2025-06-24,5 days,2025-07-09,1.1725,2025-07-11,1.1703,2 days,0.2%,Fall by 2.57%,0.4%,
Sell,2025-08-18 - 2025-08-25,5 days,2025-09-03,1.1636,2025-09-17,1.1871,10 days,-2.0%,Fall by 0.6%,-1.6%,
Sell,2025-09-02 - 2025-09-05,3 days,2025-09-11,1.1703,2025-09-17,1.1871,4 days,-1.4%,Fall by 1.17%,-3.0%,
Buy,2025-09-30 - 2025-10-08,6 days,2025-10-10,1.1566,2025-10-10,1.1566,0 days,0.0%,Rise by -0.2%,-3.0%,
