Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1997-06-30,0.67,1997-07-31,1.22,23 days,1996-04-30/0.6625,80.82%,80.82%,Rise by 1008.85%,80.82%
Buy,1997-08-31,1.38,1998-02-28,2.25,129 days,1997-07-31/1.2155,63.13%,63.13%,Rise by 440.71%,143.95%
Buy,1998-03-31,2.78,1998-04-30,5.17,22 days,1998-02-28/2.2487,86.39%,86.39%,Rise by 808.41%,230.34%
Buy,1998-05-31,6.94,1999-01-31,13.93,174 days,1998-04-30/5.1727,100.57%,100.57%,Rise by 263.07%,330.92%
Buy,1999-03-31,15.02,1999-09-30,25.21,131 days,1999-01-31/13.9273,67.86%,67.86%,Rise by 67.86%,398.77%
Buy,1999-12-31,47.3,2000-02-29,124.06,42 days,1999-09-30/25.2103,162.32%,162.32%,Rise by -25.95%,561.09%
Buy,2002-03-31,31.89,2002-07-31,21.3,87 days,2001-05-31/31.3781,-33.21%,-33.21%,Rise by -25.46%,527.88%
Buy,2003-12-31,32.55,2004-03-31,25.52,65 days,2002-12-31/30.5878,-21.59%,-21.59%,Rise by -12.23%,506.29%
Buy,2004-09-30,33.57,2006-01-31,59.59,348 days,2003-12-31/32.5509,77.51%,77.51%,Rise by 28.4%,583.81%
Buy,2006-03-31,62.97,2008-01-31,47.56,479 days,2006-01-31/59.5913,-24.47%,-24.47%,Rise by 9.57%,559.34%
Buy,2009-07-31,55.14,2010-12-31,92.11,370 days,2008-08-31/48.645,67.04%,67.04%,Rise by 38.73%,626.38%
Buy,2013-07-31,82.12,2019-01-31,138.45,1436 days,2013-03-31/81.9656,68.58%,68.58%,Rise by 36.36%,694.96%
Buy,2019-04-30,149.28,2019-11-30,118.85,153 days,2019-01-31/138.45,-20.38%,-20.38%,Rise by -19.68%,674.58%
Buy,2020-07-31,140.48,2021-04-30,246.38,195 days,2019-07-31/132.65,75.39%,75.39%,Rise by 48.75%,749.97%
Buy,2021-05-31,269.52,2022-06-30,208.02,283 days,2021-04-30/246.375,-22.82%,-22.82%,Rise by 32.71%,727.15%
Buy,2023-11-30,206.52,2023-11-30,206.52,0 days,2023-08-31/204.2,0.00%,0.00%,Rise by 0%,727.15%
