Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1983-09-30,0.34,1984-03-31,0.24,130 days,1983-06-30/0.3144,-27.84%,-27.84%,Rise by -33.6%,-27.84%,
Buy,1987-03-31,0.19,1987-09-30,0.15,131 days,1986-06-30/0.1656,-22.15%,-22.15%,Rise by -44.29%,-49.99%,
Buy,1989-03-31,0.21,1991-09-30,0.38,651 days,1987-06-30/0.1975,80.15%,80.15%,Rise by 18.99%,30.16%,
Buy,1991-12-31,0.45,1996-09-30,0.79,1239 days,1991-09-30/0.3794,76.54%,76.54%,Rise by 4.76%,106.70%,
Buy,1996-12-31,0.94,1998-03-31,1.67,325 days,1996-09-30/0.79,78.61%,78.61%,Rise by 78.61%,185.31%,
Buy,2000-06-30,1.69,2002-09-30,1.35,586 days,1998-03-31/1.67,-20.06%,-20.06%,Rise by 33.14%,165.25%,
Buy,2003-12-31,2.05,2006-09-30,3.73,717 days,2001-12-31/2.005,81.93%,81.93%,Rise by 36.28%,247.18%,
Buy,2006-12-31,4.18,2008-03-31,6.92,325 days,2006-09-30/3.726,65.59%,65.59%,Rise by 65.59%,312.77%,
Buy,2010-03-31,7.71,2011-03-31,12.52,261 days,2008-03-31/6.924,62.38%,62.38%,Rise by 62.45%,375.15%,
Buy,2011-06-30,12.53,2011-09-30,9.95,66 days,2011-03-31/12.523,-20.56%,-20.56%,Rise by 30.28%,354.59%,
Buy,2012-03-31,13.87,2014-03-31,22.82,520 days,2011-06-30/12.528,64.55%,64.55%,Rise by 17.66%,419.14%,
Buy,2014-06-30,23.1,2016-12-31,17.93,654 days,2014-03-31/22.825,-22.36%,-22.36%,Rise by 25.74%,396.78%,
Buy,2019-12-31,28.94,2021-09-30,48.0,457 days,2017-12-31/26.835,65.88%,65.88%,Rise by 91.86%,462.66%,
Buy,2021-12-31,56.0,2023-09-30,90.94,455 days,2021-09-30/48.005,62.39%,62.39%,Rise by -11.04%,525.05%,
Buy,2023-12-31,103.45,2025-03-31,69.44,325 days,2023-09-30/90.94,-32.88%,-32.88%,Rise by -16.85%,492.17%,
