Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1998-06-30,0.83,1998-11-30,1.6,109 days,1998-04-30/0.3823,92.47%,92.47%,Rise by 417.83%,92.47%
Buy,1998-12-31,2.68,1999-03-31,4.3,64 days,1998-11-30/1.6,60.80%,60.80%,Rise by 58.87%,153.27%
Buy,2002-05-31,0.91,2002-07-31,0.72,43 days,2001-05-31/0.8345,-20.74%,-20.74%,Rise by 28.09%,132.53%
Buy,2002-10-31,0.97,2003-05-31,1.79,151 days,2002-05-31/0.9115,85.38%,85.38%,Rise by 181.15%,217.91%
Buy,2003-06-30,1.82,2006-07-31,1.34,805 days,2003-05-31/1.7945,-25.96%,-25.96%,Rise by 49.78%,191.95%
Buy,2007-04-30,3.07,2008-11-30,2.13,414 days,2006-11-30/2.017,-30.38%,-30.38%,Rise by 51.88%,161.57%
Buy,2009-06-30,4.18,2009-11-30,6.8,109 days,2008-08-31/4.0405,62.46%,62.46%,Rise by 62.46%,224.03%
Buy,2010-04-30,6.86,2010-06-30,5.46,43 days,2009-11-30/6.7955,-20.31%,-20.31%,Rise by 31.29%,203.72%
Buy,2010-09-30,7.85,2012-09-30,12.72,521 days,2010-04-30/6.855,61.93%,61.93%,Rise by 41.68%,265.65%
Buy,2013-01-31,13.28,2015-05-31,21.46,606 days,2012-09-30/12.716,61.67%,61.67%,Rise by 50.2%,327.32%
Buy,2015-06-30,21.7,2016-05-31,36.14,240 days,2015-05-31/21.4615,66.51%,66.51%,Rise by 55.7%,393.82%
Buy,2016-07-31,37.94,2018-01-31,72.54,392 days,2016-05-31/36.1395,91.21%,91.21%,Rise by 31.08%,485.03%
Buy,2018-02-28,75.62,2020-04-30,123.7,566 days,2018-01-31/72.5445,63.58%,63.58%,Rise by 33.08%,548.60%
Buy,2020-06-30,137.94,2022-06-30,106.21,522 days,2020-04-30/123.7,-23.00%,-23.00%,Rise by 25.68%,525.60%
Buy,2023-08-31,138.01,2025-01-31,237.68,371 days,2023-07-31/133.68,72.22%,72.22%,Rise by 30.7%,597.82%
Buy,2025-10-31,244.22,2025-10-31,244.22,0 days,2025-01-31/237.68,0.00%,0.00%,Rise by 0%,597.82%
