Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-02-13,9.46,2013-07-14,15.38,629 days,2011-01-16/9.4375,62.51%,62.51%,Rise by 7.03%,62.51%
Buy,2013-09-22,15.82,2015-07-26,26.47,479 days,2013-07-28/15.6005,67.36%,67.36%,Rise by 27.14%,129.87%
Buy,2015-09-20,27.01,2017-04-02,44.33,399 days,2015-08-02/26.8075,64.10%,64.10%,Rise by 24.62%,193.96%
Buy,2017-07-23,51.28,2018-06-03,82.08,224 days,2017-06-04/50.3365,60.05%,60.05%,Rise by 15.63%,254.01%
Buy,2018-07-15,90.65,2018-12-23,68.87,114 days,2018-06-17/85.7985,-24.02%,-24.02%,Rise by 11.01%,229.98%
Buy,2019-07-14,100.55,2020-08-23,164.24,289 days,2019-05-05/98.123,63.34%,63.34%,Rise by -11.67%,293.32%
Buy,2021-04-11,168.61,2022-05-01,124.28,274 days,2021-02-07/167.6075,-26.29%,-26.29%,Rise by 10.29%,267.03%
Buy,2023-09-17,140.39,2024-12-08,227.03,319 days,2023-08-06/139.57,61.71%,61.71%,Rise by 33.54%,328.74%
Buy,2025-01-26,234.85,2025-04-06,171.0,49 days,2024-12-15/227.46,-27.19%,-27.19%,Rise by -15.71%,301.56%
Buy,2025-09-07,232.33,2025-09-07,232.33,0 days,2025-07-27/231.44,0.00%,0.00%,Rise by 0%,301.56%
