Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1996-09-30,10.8,1998-11-30,8.55,565 days,1996-01-31/10.75,-20.83%,-20.83%,Rise by 18.98%,-20.83%
Buy,2000-07-31,5.8,2000-12-31,9.65,109 days,2000-06-30/4.95,66.38%,66.38%,Rise by 66.38%,45.55%
Buy,2001-03-31,12.64,2001-06-30,8.34,64 days,2000-12-31/9.65,-34.02%,-34.02%,Rise by -19.3%,11.53%
Buy,2002-05-31,13.64,2004-12-31,21.91,675 days,2002-04-30/12.0,60.63%,60.63%,Rise by 3.01%,72.16%
Buy,2005-02-28,22.3,2005-09-30,17.22,154 days,2004-12-31/21.91,-22.78%,-22.78%,Rise by -10.76%,49.38%
Buy,2006-01-31,24.57,2008-10-31,13.69,718 days,2005-03-31/23.31,-44.28%,-44.28%,Rise by -11.88%,5.10%
Buy,2009-12-31,20.53,2012-04-30,34.78,607 days,2009-08-31/19.6,69.41%,69.41%,Rise by 47.35%,74.51%
Buy,2013-01-31,35.87,2013-10-31,60.47,195 days,2012-04-30/34.78,68.58%,68.58%,Rise by 116.34%,143.09%
Buy,2013-11-30,64.99,2015-09-30,44.22,477 days,2013-10-31/60.47,-31.96%,-31.96%,Rise by 15.03%,111.13%
Buy,2016-11-30,59.13,2018-08-31,95.22,457 days,2015-11-30/52.46,61.04%,61.04%,Rise by 7.91%,172.16%
Buy,2018-09-30,101.96,2018-11-30,73.62,44 days,2018-08-31/95.22,-27.80%,-27.80%,Rise by -27.35%,144.37%
Buy,2020-11-30,54.36,2021-01-31,42.36,44 days,2019-12-31/50.15,-22.08%,-22.08%,Rise by -17.44%,122.29%
Buy,2022-02-28,65.99,2022-06-30,49.17,88 days,2021-09-30/58.37,-25.49%,-25.49%,Rise by -27.81%,96.80%
Buy,2023-02-28,68.83,2023-06-30,54.74,88 days,2022-03-31/68.17,-20.47%,-20.47%,Rise by -13.66%,76.33%
Buy,2024-04-30,65.92,2025-03-31,50.46,239 days,2023-12-31/62.68,-23.45%,-23.45%,Rise by -15.23%,52.88%
