Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2010-12-05,4.81,2011-06-26,3.79,144 days,2010-11-07/4.77,-21.15%,-21.15%,Rise by -13.2%,-21.15%
Buy,2013-05-05,3.92,2014-09-14,6.32,354 days,2012-12-02/3.8225,61.29%,61.29%,Rise by 6.82%,40.13%
Buy,2014-10-26,6.48,2015-06-28,10.6,174 days,2014-09-21/6.425,63.78%,63.78%,Rise by 25.6%,103.92%
Buy,2017-07-30,9.99,2018-01-28,16.05,129 days,2017-01-15/9.695,60.58%,60.58%,Rise by 52.93%,164.50%
Buy,2018-04-22,18.45,2018-09-16,14.66,104 days,2018-03-11/18.44,-20.56%,-20.56%,Rise by -10.68%,143.94%
Buy,2020-02-16,13.78,2020-03-22,9.48,24 days,2019-09-29/13.3475,-31.27%,-31.27%,Rise by -22.58%,112.68%
Buy,2020-11-15,13.4,2023-02-12,21.55,584 days,2020-08-30/13.32,60.90%,60.90%,Rise by 47.22%,173.58%
Buy,2023-08-06,22.32,2024-10-06,36.96,304 days,2023-03-05/22.3075,65.57%,65.57%,Rise by -10.2%,239.14%
Buy,2025-01-26,54.75,2025-03-16,42.03,34 days,2024-11-24/47.905,-23.23%,-23.23%,Rise by -23.23%,215.91%
Buy,2025-07-13,58.6,2025-07-13,58.6,0 days,2025-02-16/58.53,0.00%,0.00%,Rise by 0%,215.91%
