Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2003-05-31,29.28,2003-12-31,32.9,Buy,151 days,Rise by 20.920000%,12.38,
2008-01-31,48.19,2008-09-30,48.0,Sell,172 days,Fall by 16.600000%,0.39,
2008-02-29,47.79,2008-09-30,48.0,Sell,151 days,Fall by 15.900000%,-0.44,
2008-03-31,46.55,2009-02-28,28.71,Sell,239 days,Fall by 13.660000%,38.32,
2008-10-31,40.19,2009-03-31,31.07,Sell,106 days,Fall by 22.690000%,22.69,
2009-01-31,29.67,2009-04-30,33.94,Sell,62 days,Fall by -51.100000%,-14.39,
2010-04-30,51.78,2011-01-31,56.46,Buy,195 days,Rise by 6.060000%,9.04,
2010-10-31,54.67,2011-04-30,57.69,Buy,129 days,Rise by 2.210000%,5.52,
2011-07-31,54.18,2012-02-29,53.35,Sell,151 days,Fall by 6.180000%,1.53,
2012-08-31,52.25,2013-01-31,58.65,Sell,108 days,Fall by -7.600000%,-12.25,
2012-12-31,57.46,2013-12-31,66.43,Buy,260 days,Rise by 15.610000%,15.61,
2013-12-31,66.43,2014-09-30,69.27,Buy,194 days,Rise by 11.410000%,4.28,
2014-06-30,71.14,2017-03-31,77.8,Buy,718 days,Rise by -14.170000%,9.36,
2015-01-31,61.06,2015-10-31,61.49,Sell,194 days,Fall by 3.650000%,-0.7,
2015-09-30,58.83,2016-03-31,63.47,Sell,130 days,Fall by 6.920000%,-7.89,
2017-10-31,83.28,2020-03-31,57.47,Buy,629 days,Rise by -10.610000%,-30.99,
2018-03-31,79.36,2018-09-30,76.99,Sell,129 days,Fall by 10.980000%,2.99,
2019-10-31,75.54,2021-07-31,77.87,Buy,456 days,Rise by -23.920000%,3.08,
2021-03-31,78.62,2022-02-28,91.85,Buy,237 days,Rise by 16.830000%,16.83,
2022-01-31,91.56,2024-07-31,64.47,Buy,651 days,Rise by -16.800000%,-29.59,
2023-10-31,56.15,2023-12-31,64.5,Sell,43 days,Fall by -11.450000%,-14.87,
2023-12-31,64.5,2024-12-31,77.19,Buy,260 days,Rise by 23.800000%,19.67,
2024-09-30,73.69,2025-10-31,91.99,Buy,283 days,Rise by 24.830000%,24.83,
2025-10-31,91.99,2025-10-31,91.99,Buy,0 days,Rise by 0.000000%,0.0,
