Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2011-11-13,0.79,2012-01-15,0.81,Sell,44 days,Fall by 2.060000%,-2.25
2012-04-29,0.8,2012-06-03,0.78,Sell,24 days,Fall by 1.820000%,2.91
2012-07-01,0.81,2013-02-03,0.84,Buy,154 days,Rise by 1.390000%,2.9
2012-09-30,0.81,2013-02-03,0.84,Buy,89 days,Rise by 1.940000%,2.8
2012-11-04,0.82,2013-02-17,0.85,Buy,74 days,Rise by 3.380000%,3.29
2013-04-14,0.87,2014-02-02,0.91,Buy,209 days,Rise by -0.010000%,4.66
2013-09-01,0.82,2013-09-22,0.86,Sell,14 days,Fall by -5.030000%,-5.3
2014-01-26,0.92,2014-03-30,0.96,Buy,44 days,Rise by 4.130000%,3.75
2014-03-23,0.96,2015-04-26,0.92,Buy,284 days,Rise by -2.210000%,-3.94
2014-07-27,0.92,2014-09-21,0.89,Sell,39 days,Fall by 4.800000%,3.23
2014-12-21,0.9,2015-02-08,0.92,Buy,34 days,Rise by 5.740000%,2.18
2015-01-18,0.94,2016-01-31,0.91,Buy,269 days,Rise by 1.610000%,-3.02
2015-02-22,0.94,2016-01-31,0.91,Buy,244 days,Rise by 1.470000%,-3.15
2015-05-03,0.92,2015-05-31,0.89,Sell,19 days,Fall by 8.160000%,2.81
2015-06-21,0.85,2015-10-11,0.87,Sell,79 days,Fall by 1.280000%,-2.45
2015-09-06,0.84,2015-10-11,0.87,Sell,24 days,Fall by -7.870000%,-2.75
2015-12-20,0.93,2016-09-25,0.95,Buy,199 days,Rise by 0.710000%,2.21
2016-04-03,0.9,2016-07-17,0.92,Buy,74 days,Rise by 4.600000%,2.86
2016-09-18,0.96,2018-04-15,0.93,Buy,409 days,Rise by 1.920000%,-3.58
2017-05-21,0.94,2017-06-11,0.97,Sell,14 days,Fall by 6.430000%,-3.74
2017-06-04,0.95,2018-04-15,0.93,Buy,224 days,Rise by -0.570000%,-2.67
2017-07-09,0.95,2017-08-06,0.94,Sell,19 days,Fall by 7.150000%,0.99
2017-08-13,0.93,2017-09-17,0.88,Sell,24 days,Fall by 5.620000%,5.11
2017-08-20,0.92,2017-09-17,0.88,Sell,19 days,Fall by 5.330000%,4.81
2018-08-12,0.86,2018-11-04,0.87,Sell,59 days,Fall by 2.850000%,-0.95
2018-11-18,0.9,2018-12-30,0.91,Buy,29 days,Rise by 2.350000%,1.5
2019-09-01,0.84,2019-12-08,0.86,Sell,69 days,Fall by 0.610000%,-2.83
2019-12-01,0.85,2019-12-29,0.87,Buy,19 days,Rise by 0.160000%,2.58
2020-08-23,0.86,2020-09-20,0.89,Sell,19 days,Fall by -1.960000%,-3.25
2020-10-18,0.87,2020-11-22,0.9,Sell,24 days,Fall by -0.620000%,-3.54
2020-11-22,0.9,2021-01-31,0.92,Buy,49 days,Rise by 1.970000%,1.83
2021-09-12,0.9,2023-01-15,0.85,Buy,349 days,Rise by -2.530000%,-5.01
2022-01-30,0.84,2022-03-13,0.88,Sell,29 days,Fall by 4.530000%,-4.48
2022-12-11,0.87,2024-07-14,0.83,Buy,414 days,Rise by -3.370000%,-4.27
2023-03-05,0.85,2024-07-14,0.83,Buy,354 days,Rise by -0.900000%,-1.82
2023-07-02,0.8,2023-07-16,0.84,Sell,9 days,Fall by 0.730000%,-4.27
2023-10-22,0.8,2023-11-26,0.83,Sell,24 days,Fall by -2.670000%,-3.46
2023-11-26,0.83,2024-06-16,0.85,Buy,144 days,Rise by 0.820000%,2.21
2024-03-31,0.81,2024-05-19,0.83,Sell,34 days,Fall by -0.680000%,-3.13
2024-06-16,0.85,2024-06-16,0.85,Buy,0 days,Rise by 0.770000%,0.0
2024-09-22,0.85,2024-09-22,0.85,Buy,0 days,Rise by -2.460000%,0.0
2024-09-29,0.85,2024-09-29,0.85,Buy,0 days,Rise by -3.290000%,0.0
2024-11-24,0.82,2025-01-19,0.81,Sell,39 days,Fall by 1.660000%,1.4
2024-12-29,0.81,2025-04-27,0.83,Sell,84 days,Fall by 1.070000%,-2.36
2025-02-09,0.81,2025-04-27,0.83,Sell,54 days,Fall by 1.220000%,-2.21
2025-03-16,0.82,2025-03-16,0.82,Buy,0 days,Rise by 0.470000%,0.0
2025-08-31,0.81,2025-08-31,0.81,Sell,0 days,Fall by 0.900000%,0.0
2025-09-28,0.8,2025-09-28,0.8,Sell,0 days,Fall by 0.200000%,0.0
