Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2001-09-30,7.67,2001-12-31,8.82,2000-03-31-2001-06-30,2.33-13.95,Sell,65 days,-14.99%,Fall by -65.99%,-14.99%,
2003-09-30,12.6,2003-12-31,14.53,2000-03-31-2003-06-30,2.33-16.27,Sell,66 days,-15.32%,Fall by -64.49%,-30.31%,
2005-09-30,17.22,2005-12-31,21.86,2000-03-31-2005-03-31,2.33-24.58,Sell,65 days,-26.95%,Fall by -23.51%,-57.26%,
2006-06-30,23.53,2009-06-30,14.11,2000-03-31-2005-03-31,2.33-24.58,Buy,782 days,-40.03%,Rise by 54.71%,-97.29%,
2007-03-31,25.73,2008-06-30,28.82,2000-03-31-2007-03-31,2.33-34.87,Sell,325 days,-12.01%,Fall by 65.82%,-109.3%,
2008-03-31,27.0,2008-09-30,20.85,2005-12-31-2007-03-31,16.46-34.87,Sell,131 days,22.78%,Fall by 32.33%,-86.52%,
2008-06-30,28.82,2008-09-30,20.85,1997-03-31-2000-03-31,4.9-11.6,Sell,66 days,27.65%,Fall by 32.33%,-58.87%,
2012-03-31,32.48,2019-09-30,47.01,2005-12-31-2007-03-31,16.46-34.87,Buy,1955 days,44.74%,Rise by -47.88%,-14.13%,
2014-06-30,65.97,2014-09-30,74.76,2009-03-31-2014-03-31,7.26-81.24,Sell,66 days,-13.32%,Fall by 40.85%,-27.46%,
2014-12-31,53.37,2015-03-31,67.81,2000-03-31-2014-03-31,2.33-81.24,Sell,64 days,-27.06%,Fall by 32.61%,-54.51%,
2015-06-30,69.72,2015-09-30,44.22,2005-03-31-2009-03-31,14.33-19.0,Sell,66 days,36.57%,Fall by 14.99%,-17.94%,
2018-12-31,65.66,2019-03-31,75.9,2009-03-31-2018-12-31,7.26-107.07,Sell,64 days,-15.6%,Fall by 33.93%,-33.53%,
2020-09-30,32.47,2023-06-30,54.74,2000-03-31-2003-06-30,2.33-16.27,Buy,717 days,68.59%,Rise by 31.22%,35.05%,
2024-03-31,60.37,2024-09-30,55.88,2020-03-31-2023-03-31,13.24-74.68,Sell,130 days,7.44%,Fall by 1.22%,42.49%,
2025-03-31,50.46,2025-06-30,45.09,2020-03-31-2025-03-31,13.24-78.18,Sell,65 days,10.64%,Fall by -22.42%,53.13%,
2025-11-03,55.2,2025-11-03,55.2,2020-03-31-2023-03-31,13.24-74.68,Buy,0 days,0.0%,Rise by 0%,53.13%,
