Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1975-06-30,0.02,1977-12-31,0.03,654 days,1973-09-30/0.0146,66.04%,66.04%,Rise by 33.96%,66.04%
Buy,1978-06-30,0.03,1980-06-30,0.05,521 days,1977-12-31/0.0264,64.47%,64.47%,Rise by 114.14%,130.51%
Buy,1980-09-30,0.07,1981-12-31,0.11,327 days,1980-06-30/0.05,70.05%,70.05%,Rise by 299.08%,200.56%
Buy,1982-03-31,0.12,1982-12-31,0.26,197 days,1981-12-31/0.1107,118.14%,118.14%,Rise by 257.51%,318.69%
Buy,1983-03-31,0.3,1985-06-30,0.57,586 days,1982-12-31/0.2598,88.79%,88.79%,Rise by 88.79%,407.48%
Buy,1985-12-31,0.66,1986-06-30,1.08,129 days,1985-06-30/0.569,62.73%,62.73%,Rise by 76.46%,470.21%
Buy,1987-03-31,1.2,1990-03-31,1.97,783 days,1986-06-30/1.0807,64.35%,64.35%,Rise by 32.61%,534.56%
Buy,1990-06-30,2.6,1991-12-31,4.91,391 days,1990-03-31/1.9688,88.77%,88.77%,Rise by 88.77%,623.34%
Buy,1992-09-30,4.93,1994-09-30,3.9,522 days,1991-12-31/4.9062,-20.93%,-20.93%,Rise by -11.21%,602.41%
Buy,1995-06-30,4.46,1998-03-31,8.47,717 days,1993-06-30/4.375,89.96%,89.96%,Rise by -14.02%,692.36%
Buy,1998-06-30,10.12,1999-12-31,23.04,393 days,1998-03-31/8.4688,127.57%,127.57%,Rise by 127.57%,819.93%
Buy,2002-03-31,20.43,2005-06-30,16.07,848 days,2000-06-30/19.2083,-21.37%,-21.37%,Rise by -17.6%,798.56%
Buy,2008-03-31,17.56,2014-12-31,28.63,1762 days,2006-09-30/16.44,63.02%,63.02%,Rise by -8.75%,861.59%
Buy,2017-06-30,25.23,2020-09-30,46.64,848 days,2016-06-30/24.34,84.87%,84.87%,Rise by 56.82%,946.46%
Buy,2020-12-31,48.05,2024-09-30,80.75,977 days,2020-09-30/46.6367,68.05%,68.05%,Rise by 3.31%,1014.51%
Buy,2024-12-31,90.35,2024-12-31,90.35,0 days,2024-09-30/80.75,0.00%,0.00%,Rise by 0%,1014.51%
