Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1982-07-31,4.21,1983-01-31,9.0,130 days,1982-04-30/4.1667,113.86%,113.86%,Rise by 283.17%,113.86%,
Buy,1983-02-28,9.12,1983-06-30,16.12,88 days,1983-01-31/9.0,76.71%,76.71%,Rise by 86.3%,190.58%,
Buy,1983-11-30,17.0,1985-05-31,13.25,392 days,1983-06-30/16.125,-22.06%,-22.06%,Rise by 1.1%,168.52%,
Buy,1990-05-31,5.25,1990-07-31,3.5,43 days,1989-05-31/5.1875,-33.33%,-33.33%,Rise by -63.1%,135.18%,
Buy,1991-04-30,6.12,1991-09-30,4.69,109 days,1990-05-31/5.25,-23.47%,-23.47%,Rise by -23.47%,111.71%,
Buy,1991-11-30,7.19,1992-06-30,4.38,151 days,1991-05-31/6.75,-39.13%,-39.13%,Rise by -39.13%,72.58%,
Buy,1993-02-28,10.88,1995-04-30,18.0,564 days,1993-01-31/9.375,65.52%,65.52%,Rise by 48.85%,138.10%,
Buy,1995-06-30,18.25,1995-09-30,14.56,65 days,1995-04-30/18.0,-20.21%,-20.21%,Rise by -43.84%,117.90%,
Buy,1996-11-30,12.12,1997-03-31,20.75,85 days,1995-11-30/10.25,71.13%,71.13%,Rise by 75.26%,189.03%,
Buy,1997-04-30,21.25,1997-09-30,16.28,109 days,1997-03-31/20.75,-23.38%,-23.38%,Rise by -23.38%,165.65%,
Buy,2000-01-31,18.0,2000-03-31,29.5,44 days,1999-12-31/14.4688,63.89%,63.89%,Rise by -15.28%,229.54%,
Buy,2000-04-30,43.75,2000-09-30,24.0,109 days,2000-03-31/29.5,-45.14%,-45.14%,Rise by -45.14%,184.39%,
Buy,2003-08-31,11.29,2004-11-30,21.28,326 days,2002-11-30/9.0,88.49%,88.49%,Rise by 95.04%,272.88%,
Buy,2004-12-31,22.02,2005-01-31,15.8,21 days,2004-11-30/21.28,-28.25%,-28.25%,Rise by -25.52%,244.63%,
Buy,2005-09-30,25.2,2006-01-31,41.8,87 days,2004-12-31/22.02,65.87%,65.87%,Rise by -23.06%,310.50%,
Buy,2009-09-30,5.66,2009-12-31,9.68,66 days,2008-09-30/5.25,71.02%,71.02%,Rise by 62.72%,381.53%,
Buy,2014-04-30,4.09,2014-10-31,2.8,132 days,2013-06-30/4.08,-31.54%,-31.54%,Rise by -16.63%,349.99%,
Buy,2016-04-30,3.55,2016-07-31,6.86,64 days,2015-12-31/2.87,93.24%,93.24%,Rise by 309.86%,443.23%,
Buy,2016-08-31,7.4,2017-02-28,14.46,129 days,2016-07-31/6.86,95.41%,95.41%,Rise by 96.62%,538.63%,
Buy,2017-03-31,14.55,2017-05-31,11.19,43 days,2017-02-28/14.46,-23.09%,-23.09%,Rise by -10.65%,515.54%,
Buy,2018-06-30,14.99,2018-08-31,25.17,44 days,2018-01-31/13.74,67.91%,67.91%,Rise by 213.54%,583.45%,
Buy,2018-09-30,30.89,2018-10-31,18.21,22 days,2018-08-31/25.17,-41.05%,-41.05%,Rise by -23.83%,542.40%,
Buy,2019-08-31,31.45,2020-04-30,52.39,173 days,2018-09-30/30.89,66.58%,66.58%,Rise by 49.44%,608.99%,
Buy,2020-05-31,53.8,2020-08-31,90.82,65 days,2020-04-30/52.39,68.81%,68.81%,Rise by 72.23%,677.80%,
Buy,2020-11-30,92.66,2021-11-30,158.37,261 days,2020-08-31/90.82,70.92%,70.92%,Rise by -11.91%,748.71%,
Buy,2023-05-31,118.21,2024-02-29,192.53,196 days,2022-05-31/101.86,62.87%,62.87%,Rise by -16.67%,811.58%,
Buy,2025-07-31,176.31,2025-07-31,176.31,0 days,2024-09-30/164.08,0.00%,0.00%,Rise by 0%,811.58%,
