Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1982-12-31,6.28,1983-06-30,16.12,129 days,1980-12-31/5.75,156.72%,156.72%,Rise by 167.66%,156.72%,
Buy,1983-12-31,16.81,1985-06-30,13.0,389 days,1983-06-30/16.125,-22.68%,-22.68%,Rise by 3.35%,134.04%,
Buy,1991-03-31,5.25,1991-12-31,8.75,196 days,1989-06-30/4.875,66.67%,66.67%,Rise by 69.05%,200.71%,
Buy,1992-03-31,8.88,1992-06-30,4.38,65 days,1991-12-31/8.75,-50.70%,-50.70%,Rise by 40.85%,150.00%,
Buy,1992-12-31,9.06,1994-03-31,15.62,325 days,1992-03-31/8.875,72.41%,72.41%,Rise by 72.41%,222.42%,
Buy,1995-03-31,16.94,1995-12-31,8.25,195 days,1994-03-31/15.625,-51.29%,-51.29%,Rise by -51.29%,171.13%,
Buy,1997-03-31,20.75,1997-09-30,16.28,131 days,1995-06-30/18.25,-21.54%,-21.54%,Rise by -57.23%,149.59%,
Buy,2000-03-31,29.5,2000-12-31,13.81,195 days,1997-03-31/20.75,-53.18%,-53.18%,Rise by -53.18%,96.41%,
Buy,2004-03-31,16.23,2005-12-31,30.6,457 days,2003-12-31/14.9,88.54%,88.54%,Rise by 35.67%,184.95%,
Buy,2006-03-31,33.16,2006-06-30,24.42,65 days,2005-12-31/30.6,-26.36%,-26.36%,Rise by -38.63%,158.59%,
Buy,2009-12-31,9.68,2010-06-30,7.32,129 days,2007-12-31/7.5,-24.38%,-24.38%,Rise by -26.55%,134.21%,
Buy,2016-06-30,5.14,2016-12-31,11.34,131 days,2014-06-30/4.19,120.62%,120.62%,Rise by 183.07%,254.84%,
Buy,2017-03-31,14.55,2017-12-31,10.28,195 days,2016-12-31/11.34,-29.35%,-29.35%,Rise by -29.35%,225.49%,
Buy,2018-06-30,14.99,2018-09-30,30.89,64 days,2017-03-31/14.55,106.07%,106.07%,Rise by 446.96%,331.56%,
Buy,2019-12-31,45.86,2020-09-30,81.99,196 days,2000-06-30/38.625,78.78%,78.78%,Rise by 138.42%,410.34%,
Buy,2020-12-31,91.71,2022-09-30,63.36,456 days,2020-09-30/81.99,-30.91%,-30.91%,Rise by 56.91%,379.43%,
Buy,2023-12-31,147.41,2025-03-31,102.74,325 days,2021-12-31/143.9,-30.30%,-30.30%,Rise by -18.06%,349.13%,
Buy,2025-11-03,256.12,2025-11-03,256.12,0 days,2024-03-31/180.49,0.00%,0.00%,Rise by 0%,349.13%,
