Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2003-05-31,22.28,2003-12-31,37.53,Buy,151 days,Rise by 79.230000%,68.44,
2006-03-31,35.44,2008-05-31,29.74,Buy,565 days,Rise by -14.990000%,-16.08,
2007-05-31,30.1,2009-09-30,47.84,Buy,608 days,Rise by 44.980000%,58.93,
2007-12-31,43.64,2010-05-31,48.43,Buy,629 days,Rise by -31.840000%,10.98,
2009-12-31,52.96,2010-11-30,56.25,Buy,237 days,Rise by 19.780000%,6.22,
2011-11-30,44.83,2012-01-31,47.68,Sell,43 days,Fall by -24.490000%,-6.36,
2011-12-31,39.82,2012-01-31,47.68,Sell,20 days,Fall by -40.160000%,-19.75,
2013-07-31,53.96,2013-09-30,55.21,Sell,42 days,Fall by -175.880000%,-2.32,
2013-08-31,45.5,2013-09-30,55.21,Sell,19 days,Fall by -181.780000%,-21.34,
2014-03-31,76.68,2014-09-30,109.23,Buy,130 days,Rise by 101.450000%,42.46,
2014-11-30,124.38,2015-09-30,141.78,Buy,216 days,Rise by 24.190000%,14.0,
2016-08-31,200.87,2017-04-30,239.75,Buy,172 days,Rise by 13.120000%,19.36,
2018-02-28,214.78,2018-08-31,181.05,Sell,131 days,Fall by 15.700000%,15.7,
2018-03-31,213.72,2018-10-31,137.55,Sell,151 days,Fall by 15.290000%,35.64,
2019-10-31,263.3,2022-01-31,198.52,Buy,586 days,Rise by -39.820000%,-24.6,
2021-10-31,208.85,2022-03-31,179.68,Sell,107 days,Fall by 13.970000%,13.97,
2022-06-30,154.2,2023-06-30,182.35,Sell,260 days,Fall by -10.420000%,-18.26,
2022-10-31,151.82,2023-06-30,182.35,Sell,173 days,Fall by -12.150000%,-20.11,
2023-12-31,225.32,2024-05-31,313.9,Buy,108 days,Rise by 64.190000%,39.31,
2025-11-03,367.3,2025-11-03,367.3,Buy,0 days,Rise by 0.000000%,0.0,
