Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2005-10-09,3805.8,2006-03-12,4623.5,Buy,109 Days,22.58,Rise by 16.31%,21.49%,21.49%,
2005-10-16,3679.3,2005-10-23,3537.8501,Sell,4 Days,-9.09,Fall by -42.73%,3.84%,25.33%,
2006-01-08,4203.25,2006-03-05,4550.75,Sell,39 Days,-10.87,Fall by 11.33%,-8.27%,17.06%,
2006-04-23,4972.6499,2006-05-21,4581.3501,Sell,19 Days,-7.1,Fall by 10.44%,7.87%,24.93%,
2008-03-30,6353.3501,2008-07-06,5149.1001,Buy,69 Days,8.0,Rise by 11.59%,-18.95%,5.98%,
2009-03-22,3200.45,2009-04-19,3863.8,Buy,19 Days,6.79,Rise by 77.57%,20.73%,26.7%,
2011-03-20,7592.25,2011-04-03,8129.1001,Sell,9 Days,-11.63,Fall by -3.7%,-7.07%,19.63%,
2012-04-15,7579.6001,2012-05-06,7215.4502,Sell,14 Days,-13.42,Fall by 10.48%,4.8%,24.44%,
2013-05-12,8009.4502,2013-08-04,6702.2002,Buy,59 Days,13.36,Rise by -11.09%,-16.32%,8.12%,
2013-08-25,6640.5498,2013-09-22,7085.3501,Sell,19 Days,-13.9,Fall by -13.0%,-6.7%,1.42%,
2015-08-02,13728.6504,2015-08-30,13134.2998,Sell,19 Days,-19.6,Fall by 8.28%,4.33%,5.75%,
2016-01-17,12480.5996,2016-02-14,11485.7998,Sell,19 Days,-27.63,Fall by -3.92%,7.97%,13.72%,
2016-11-20,14363.0,2017-04-09,17398.1504,Buy,99 Days,20.08,Rise by 27.0%,21.13%,34.85%,
2018-04-15,19676.1992,2018-05-20,18891.8008,Sell,24 Days,-16.67,Fall by 5.29%,3.99%,38.84%,
2021-01-24,21659.0508,2021-06-06,26551.5996,Buy,94 Days,8.07,Rise by 11.34%,22.59%,61.42%,
2021-10-03,30396.8496,2021-10-17,32503.5,Sell,9 Days,-12.57,Fall by 1.57%,-6.93%,54.49%,
2023-06-11,34153.0508,2023-11-19,41811.25,Buy,114 Days,20.25,Rise by 19.98%,22.42%,76.92%,
2025-01-19,54607.6484,2025-02-16,49654.1484,Sell,19 Days,-15.14,Fall by 12.26%,9.07%,85.99%,
2025-07-06,59677.75,2025-07-06,59677.75,Buy,0 Days,11.9,Rise by 0%,0.0%,85.99%,
