Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,1.4909,2001-03-11,1.7891,Buy,79 Days,29.16,Rise by 20.97%,20.0%,20.0%,
2000-12-24,1.4771,2001-02-11,1.6455,Sell,34 Days,-20.0,Fall by -12.1%,-11.4%,8.6%,
2001-03-25,1.7588,2001-05-06,1.6558,Sell,29 Days,-19.44,Fall by 5.86%,5.86%,14.46%,
2001-09-23,1.7039,2001-10-14,1.8069,Sell,14 Days,-13.51,Fall by 3.63%,-6.04%,8.41%,
2001-11-11,1.7794,2001-11-25,1.8894,Sell,9 Days,-7.69,Fall by 0.58%,-6.18%,2.23%,
2002-05-12,2.3456,2002-06-09,2.5613,Sell,19 Days,-10.53,Fall by -0.88%,-9.2%,-6.97%,
2003-01-12,2.2714,2003-02-02,2.0611,Sell,14 Days,-4.76,Fall by 10.8%,9.26%,2.29%,
2004-03-28,3.5286,2004-04-18,3.3507,Sell,14 Days,-11.11,Fall by 9.46%,5.04%,7.33%,
2004-05-16,3.3754,2004-05-23,3.6121,Sell,4 Days,-10.53,Fall by -9.58%,-7.01%,0.32%,
2005-03-27,4.5705,2005-05-22,4.8591,Sell,39 Days,-18.71,Fall by -4.19%,-6.31%,-5.99%,
2005-05-29,4.9549,2005-12-25,5.9927,Buy,149 Days,20.72,Rise by 12.61%,20.94%,14.95%,
2005-08-21,4.7818,2005-09-18,5.1466,Sell,19 Days,-11.11,Fall by -33.62%,-7.63%,7.32%,
2006-01-08,6.0453,2006-02-05,6.4977,Sell,19 Days,-10.87,Fall by -15.66%,-7.48%,-0.16%,
2006-04-23,7.0058,2006-08-06,7.5128,Sell,74 Days,-7.1,Fall by 2.34%,-7.24%,-7.4%,
2008-03-30,6.3325,2008-05-04,8.0415,Buy,24 Days,8.0,Rise by 33.65%,26.99%,19.59%,
2009-03-22,3.6938,2009-04-12,4.4891,Buy,14 Days,6.79,Rise by 33.21%,21.53%,41.12%,
2011-03-20,7.1534,2011-08-07,6.4693,Sell,99 Days,-11.63,Fall by 0.91%,9.56%,50.68%,
2012-04-15,7.1557,2012-06-10,7.6426,Sell,39 Days,-13.42,Fall by 0.58%,-6.8%,43.88%,
2013-05-12,9.2362,2014-04-20,11.1021,Buy,244 Days,13.36,Rise by 1.56%,20.2%,64.08%,
2013-08-25,8.8146,2013-10-13,9.5356,Sell,34 Days,-13.9,Fall by -7.85%,-8.18%,55.9%,
2015-08-02,16.4053,2015-08-23,15.119,Sell,14 Days,-19.6,Fall by 10.97%,7.84%,63.74%,
2016-01-17,14.4974,2016-03-13,15.7154,Sell,39 Days,-27.63,Fall by -5.08%,-8.4%,55.34%,
2016-11-20,16.3694,2017-12-10,20.0377,Buy,274 Days,20.08,Rise by 0.99%,22.41%,77.75%,
2018-04-15,17.7167,2018-05-27,18.8125,Sell,29 Days,-16.67,Fall by -11.84%,-6.19%,71.57%,
2021-01-24,26.3595,2021-05-23,31.7812,Buy,84 Days,8.07,Rise by 17.19%,20.57%,92.13%,
2021-10-03,37.2083,2021-10-24,40.6683,Sell,14 Days,-12.57,Fall by -3.1%,-9.3%,82.84%,
2023-06-11,28.14,2023-12-17,34.3333,Buy,134 Days,20.25,Rise by 11.13%,22.01%,104.84%,
2025-01-19,56.0867,2025-03-09,49.9133,Sell,34 Days,-15.14,Fall by 11.01%,11.01%,115.85%,
2025-07-06,58.26,2025-07-06,58.26,Buy,0 Days,11.9,Rise by 0%,0.0%,115.85%,
