Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1999-03-31,0.43,2001-06-30,0.75,587 days,1998-03-31/0.4219,75.60%,75.60%,Rise by 34.14%,75.60%,
Buy,2001-09-30,1.06,2002-03-31,2.13,129 days,2001-06-30/0.75,100.20%,100.20%,Rise by 123.53%,175.80%,
Buy,2002-06-30,2.38,2002-09-30,1.85,65 days,2002-03-31/2.1271,-21.93%,-21.93%,Rise by -47.37%,153.87%,
Buy,2004-09-30,2.52,2006-03-31,4.7,391 days,2002-06-30/2.375,86.58%,86.58%,Rise by 86.58%,240.45%,
Buy,2009-12-31,3.47,2012-06-30,7.43,651 days,2009-09-30/3.125,114.42%,114.42%,Rise by 59.18%,354.87%,
Buy,2012-09-30,7.54,2013-12-31,13.42,326 days,2012-06-30/7.4333,78.02%,78.02%,Rise by 233.3%,432.89%,
Buy,2014-03-31,15.09,2014-12-31,25.12,197 days,2013-12-31/13.4167,66.49%,66.49%,Rise by 106.09%,499.38%,
Buy,2015-03-31,25.95,2020-06-30,42.9,1370 days,2014-12-31/25.12,65.32%,65.32%,Rise by 23.51%,564.69%,
Buy,2020-09-30,46.41,2023-12-31,78.03,847 days,2020-06-30/42.9,68.13%,68.13%,Rise by 21.35%,632.83%,
Buy,2024-12-31,79.72,2024-12-31,79.72,0 days,2023-12-31/78.03,0.00%,0.00%,Rise by 0%,632.83%,
