Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,59.25,2001-09-23,49.7,Buy,219 Days,29.16,Rise by 3.12%,-16.12%,-16.12%,
2000-12-24,56.5,2001-01-07,60.625,Sell,9 Days,-20.0,Fall by 4.11%,-7.3%,-23.42%,
2001-03-25,55.25,2001-05-20,59.85,Sell,39 Days,-19.44,Fall by -2.62%,-8.33%,-31.74%,
2001-09-23,49.7,2001-11-11,53.41,Sell,34 Days,-13.51,Fall by -13.38%,-7.46%,-39.21%,
2001-11-11,53.41,2001-12-09,57.13,Sell,19 Days,-7.69,Fall by -5.5%,-6.96%,-46.17%,
2002-05-12,58.74,2002-07-21,67.0,Sell,49 Days,-10.53,Fall by -5.46%,-14.06%,-60.24%,
2003-01-12,64.03,2003-01-26,60.8,Sell,9 Days,-4.76,Fall by 10.14%,5.04%,-55.19%,
2004-03-28,69.07,2004-06-20,73.42,Sell,59 Days,-11.11,Fall by -0.07%,-6.3%,-61.49%,
2004-05-16,69.37,2004-06-27,74.77,Sell,29 Days,-10.53,Fall by 0.17%,-7.78%,-69.27%,
2005-03-27,72.2,2005-04-17,68.75,Sell,14 Days,-18.71,Fall by 4.99%,4.78%,-64.5%,
2005-05-29,74.69,2008-06-29,60.36,Buy,804 Days,20.72,Rise by -1.67%,-19.19%,-83.68%,
2005-08-21,71.48,2005-09-04,68.98,Sell,9 Days,-11.11,Fall by 4.35%,3.5%,-80.18%,
2006-01-08,75.23,2006-04-09,81.74,Sell,64 Days,-10.87,Fall by -6.26%,-8.65%,-88.84%,
2006-04-23,82.03,2006-06-11,78.99,Sell,34 Days,-7.1,Fall by 3.71%,3.71%,-85.13%,
2008-03-30,72.26,2008-06-29,60.36,Buy,64 Days,8.0,Rise by -16.47%,-16.47%,-101.6%,
2009-03-22,44.71,2009-04-19,54.65,Buy,19 Days,6.79,Rise by 28.87%,22.23%,-79.37%,
2011-03-20,71.6,2011-06-12,68.5,Sell,59 Days,-11.63,Fall by 4.33%,4.33%,-75.04%,
2012-04-15,79.56,2012-05-13,76.43,Sell,19 Days,-13.42,Fall by 7.93%,3.93%,-71.1%,
2013-05-12,88.34,2014-11-09,108.33,Buy,389 Days,13.36,Rise by -0.29%,22.63%,-48.48%,
2013-08-25,87.17,2013-10-20,93.0,Sell,39 Days,-13.9,Fall by -9.25%,-6.69%,-55.16%,
2015-08-02,102.36,2015-08-23,99.14,Sell,14 Days,-19.6,Fall by 6.9%,3.15%,-52.02%,
2016-01-17,90.04,2016-02-14,97.25,Sell,19 Days,-27.63,Fall by -11.79%,-8.01%,-60.03%,
2016-11-20,114.09,2018-12-23,93.5,Buy,544 Days,20.08,Rise by 3.51%,-18.05%,-78.07%,
2018-04-15,107.25,2018-04-29,113.99,Sell,9 Days,-16.67,Fall by 1.14%,-6.28%,-84.36%,
2021-01-24,158.99,2021-05-02,203.86,Buy,69 Days,8.07,Rise by 36.8%,28.22%,-56.14%,
2021-10-03,181.49,2021-10-17,193.75,Sell,9 Days,-12.57,Fall by -10.6%,-6.76%,-62.89%,
2023-06-11,170.49,2023-10-29,134.83,Buy,99 Days,20.25,Rise by 10.21%,-20.92%,-83.81%,
2025-01-19,129.73,2025-02-02,114.23,Sell,9 Days,-15.14,Fall by 10.33%,11.95%,-71.86%,
2025-07-06,104.13,2025-08-03,84.5,Buy,19 Days,11.9,Rise by -16.77%,-18.85%,-90.71%,
