Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1987-03-31,0.34,1989-10-31,0.57,675 days,1987-02-28/0.2665,69.01%,69.01%,Rise by 36.98%,69.01%,
Buy,1989-11-30,0.6,1990-05-31,1.01,130 days,1989-10-31/0.5677,67.81%,67.81%,Rise by 74.71%,136.82%,
Buy,1990-06-30,1.06,1991-08-31,1.78,304 days,1990-05-31/1.0139,68.25%,68.25%,Rise by 143.74%,205.06%,
Buy,1991-09-30,1.85,1994-05-31,3.36,696 days,1991-08-31/1.776,81.18%,81.18%,Rise by 38.76%,286.24%,
Buy,1994-08-31,3.63,1995-10-31,6.25,304 days,1994-05-31/3.3594,72.04%,72.04%,Rise by 72.04%,358.28%,
Buy,1996-03-31,6.45,1996-12-31,10.33,196 days,1995-10-31/6.25,60.24%,60.24%,Rise by 97.82%,418.53%,
Buy,1997-01-31,12.75,1998-02-28,21.19,280 days,1996-12-31/10.3281,66.18%,66.18%,Rise by 38.6%,484.70%,
Buy,1998-03-31,22.38,1999-01-31,43.75,218 days,1998-02-28/21.1875,95.53%,95.53%,Rise by 100.28%,580.23%,
Buy,1999-03-31,44.81,2000-04-30,34.88,282 days,1999-01-31/43.75,-22.18%,-22.18%,Rise by 3.28%,558.06%,
Buy,2004-06-30,28.56,2006-05-31,22.65,500 days,2003-09-30/27.8,-20.69%,-20.69%,Rise by -11.9%,537.36%,
Buy,2006-10-31,28.71,2008-10-31,22.33,523 days,2006-01-31/28.15,-22.22%,-22.22%,Rise by 28.21%,515.14%,
Buy,2009-10-31,27.73,2014-08-31,45.43,1259 days,2009-09-30/25.72,63.83%,63.83%,Rise by 10.13%,578.97%,
Buy,2014-09-30,46.36,2017-08-31,74.77,762 days,2014-08-31/45.43,61.28%,61.28%,Rise by -12.3%,640.25%,
Buy,2017-10-31,83.18,2019-06-30,133.96,433 days,2017-08-31/74.77,61.05%,61.05%,Rise by 37.5%,701.30%,
Buy,2019-07-31,136.27,2020-08-31,225.53,283 days,2019-06-30/133.96,65.50%,65.50%,Rise by 24.92%,766.80%,
Buy,2021-01-31,231.96,2023-11-30,378.91,738 days,2020-08-31/225.53,63.35%,63.35%,Rise by 44.99%,830.16%,
Buy,2024-01-31,397.58,2024-01-31,397.58,0 days,2023-11-30/378.91,0.00%,0.00%,Rise by 0%,830.16%,
