Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,136.6406,2001-03-18,115.01,Buy,84 Days,29.16,Rise by -0.56%,-15.83%,-15.83%
2000-12-24,130.9375,2001-02-25,124.96,Sell,44 Days,-20.0,Fall by 12.16%,4.57%,-11.27%
2001-03-25,114.48,2001-04-22,124.5,Sell,19 Days,-19.44,Fall by -6.44%,-8.75%,-20.02%
2001-09-23,97.28,2001-09-30,104.44,Sell,4 Days,-13.51,Fall by -12.71%,-7.36%,-27.38%
2001-11-11,112.72,2002-04-28,107.39,Sell,119 Days,-7.69,Fall by 2.73%,4.73%,-22.65%
2002-05-12,105.72,2002-06-16,101.4,Sell,24 Days,-10.53,Fall by 13.12%,4.09%,-18.56%
2003-01-12,93.06,2003-01-26,86.38,Sell,9 Days,-4.76,Fall by 10.47%,7.18%,-11.38%
2004-03-28,111.03,2004-08-08,106.85,Sell,94 Days,-11.11,Fall by 1.1%,3.76%,-7.62%
2004-05-16,110.04,2004-11-07,117.28,Sell,124 Days,-10.53,Fall by 2.9%,-6.58%,-14.2%
2005-03-27,117.14,2005-09-11,124.6,Sell,119 Days,-18.71,Fall by -1.57%,-6.37%,-20.57%
2005-05-29,120.25,2007-02-04,144.81,Buy,439 Days,20.72,Rise by 2.9%,20.42%,-0.14%
2005-08-21,122.47,2005-10-16,118.67,Sell,39 Days,-11.11,Fall by 3.54%,3.1%,2.96%
2006-01-08,128.44,2006-06-25,124.44,Sell,119 Days,-10.87,Fall by 1.04%,3.11%,6.07%
2006-04-23,131.15,2006-05-21,127.1,Sell,19 Days,-7.1,Fall by 5.12%,3.09%,9.16%
2008-03-30,131.51,2008-10-05,110.34,Buy,134 Days,8.0,Rise by 8.48%,-16.1%,-6.94%
2009-03-22,76.71,2009-05-10,92.98,Buy,34 Days,6.79,Rise by 21.21%,21.21%,14.27%
2011-03-20,127.76,2011-05-01,136.43,Sell,29 Days,-11.63,Fall by 0.74%,-6.79%,7.49%
2012-04-15,137.14,2012-05-20,129.74,Sell,24 Days,-13.42,Fall by 6.55%,5.4%,12.88%
2013-05-12,163.41,2014-07-06,198.2,Buy,299 Days,13.36,Rise by 4.61%,21.29%,34.17%
2013-08-25,166.62,2013-11-10,177.29,Sell,54 Days,-13.9,Fall by -6.94%,-6.4%,27.77%
2015-08-02,210.5,2015-08-23,197.83,Sell,14 Days,-19.6,Fall by 8.51%,6.02%,33.79%
2016-01-17,187.81,2016-03-06,200.43,Sell,34 Days,-27.63,Fall by -8.22%,-6.72%,27.07%
2016-11-20,218.5,2017-12-03,264.46,Buy,269 Days,20.08,Rise by 3.99%,21.03%,48.1%
2018-04-15,265.15,2018-07-29,281.42,Sell,74 Days,-16.67,Fall by -2.31%,-6.14%,41.97%
2021-01-24,382.88,2021-11-07,468.53,Buy,204 Days,8.07,Rise by 10.25%,22.37%,64.34%
2021-10-03,434.24,2021-11-07,468.53,Sell,24 Days,-12.57,Fall by -4.42%,-7.9%,56.44%
2023-06-11,429.9,2024-03-24,521.21,Buy,204 Days,20.25,Rise by 6.29%,21.24%,77.68%
2025-01-19,597.58,2025-03-09,575.92,Sell,34 Days,-15.14,Fall by 15.45%,3.62%,81.3%
2025-07-06,625.34,2025-07-06,625.34,Buy,0 Days,11.9,Rise by 0%,0.0%,81.3%
