Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2002-10-31,2.24,2003-04-30,1.28,129 days,2002-03-31/2.0469,-42.56%,-42.56%,Rise by -14.25%,-42.56%
Buy,2003-10-31,2.64,2004-11-30,4.5,282 days,2002-11-30/2.6016,70.42%,70.42%,Rise by 70.42%,27.86%
Buy,2005-02-28,4.77,2005-04-30,3.7,44 days,2004-11-30/4.5,-22.36%,-22.36%,Rise by -10.82%,5.50%
Buy,2005-06-30,4.85,2008-10-31,3.66,871 days,2005-02-28/4.7656,-24.43%,-24.43%,Rise by 4.2%,-18.93%
Buy,2009-07-31,5.38,2010-12-31,9.51,370 days,2008-08-31/5.16,76.81%,76.81%,Rise by 39.3%,57.88%
Buy,2013-11-30,6.75,2019-03-31,10.93,1389 days,2013-02-28/6.7413,61.87%,61.87%,Rise by 29.29%,119.74%
Buy,2019-07-31,11.32,2020-03-31,8.21,174 days,2019-03-31/10.93,-27.47%,-27.47%,Rise by -11.04%,92.27%
Buy,2020-07-31,12.85,2021-06-30,21.19,238 days,2019-08-31/11.49,64.90%,64.90%,Rise by 85.37%,157.17%
Buy,2021-07-31,22.12,2022-09-30,16.97,304 days,2021-06-30/21.19,-23.28%,-23.28%,Rise by 14.42%,133.89%
Buy,2024-01-31,19.86,2024-01-31,19.86,0 days,2023-01-31/18.8,0.00%,0.00%,Rise by 0%,133.89%
