Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2009-11-29,24.58,2010-09-26,30.75,Buy,214 Days,0.0,Rise by 7.57%,25.1%,25.1%
2011-03-20,27.27,2011-04-03,30.15,Sell,9 Days,-11.63,Fall by -1.54%,-10.56%,14.54%
2012-04-15,22.82,2012-05-06,21.38,Sell,14 Days,-13.42,Fall by 11.39%,6.31%,20.85%
2013-05-12,25.58,2013-06-23,21.74,Buy,29 Days,13.36,Rise by -10.28%,-15.01%,5.84%
2013-08-25,19.73,2013-09-01,18.91,Sell,4 Days,-13.9,Fall by -12.21%,4.16%,10.0%
2015-08-02,30.66,2015-08-23,27.85,Sell,14 Days,-19.6,Fall by 15.1%,9.17%,19.16%
2016-01-17,24.94,2016-02-14,23.65,Sell,19 Days,-27.63,Fall by 6.54%,5.17%,24.33%
2016-11-20,27.19,2017-04-09,32.75,Buy,99 Days,20.08,Rise by 20.45%,20.45%,44.78%
2018-04-15,35.82,2018-09-30,34.2,Sell,119 Days,-16.67,Fall by 2.82%,4.52%,49.3%
2021-01-24,43.85,2021-09-26,52.68,Buy,174 Days,8.07,Rise by 8.71%,20.14%,69.44%
2021-10-03,52.14,2021-11-28,49.38,Sell,39 Days,-12.57,Fall by 5.29%,5.29%,74.73%
2023-06-11,43.38,2024-06-09,52.1,Buy,259 Days,20.25,Rise by 5.95%,20.1%,94.84%
2025-01-19,49.71,2025-03-02,47.57,Sell,29 Days,-15.14,Fall by 4.3%,4.3%,99.14%
2025-07-06,54.46,2025-07-06,54.46,Buy,0 Days,11.9,Rise by 0%,0.0%,99.14%
