Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2015-08-02,23.56,2015-10-25,25.6,Sell,59 Days,-19.6,Fall by -4.84%,-8.66%,-8.66%,
2015-11-01,25.66,2016-02-07,21.38,Buy,69 Days,19.8,Rise by -10.33%,-16.68%,-25.34%,
2016-01-17,21.97,2016-02-28,24.09,Sell,29 Days,-27.63,Fall by -3.19%,-9.65%,-34.99%,
2016-11-20,27.1,2017-07-09,32.57,Buy,164 Days,20.08,Rise by 8.19%,20.18%,-14.8%,
2018-04-15,31.06,2018-07-01,28.893,Sell,54 Days,-16.67,Fall by 6.98%,6.98%,-7.83%,
2021-01-24,22.25,2021-03-14,27.68,Buy,34 Days,8.07,Rise by 26.11%,24.4%,16.58%,
2021-10-03,24.89,2021-10-10,23.98,Sell,4 Days,-12.57,Fall by 11.29%,3.66%,20.23%,
2023-06-11,19.47,2023-10-15,15.9,Buy,89 Days,20.25,Rise by 11.92%,-18.34%,1.9%,
2025-01-19,26.19,2025-02-23,24.65,Sell,24 Days,-15.14,Fall by 12.07%,5.88%,7.78%,
2025-07-06,24.12,2025-07-06,24.12,Buy,0 Days,11.9,Rise by 0%,0.0%,7.78%,
