Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-03-11,41.41,2013-02-03,41.9,Buy,234 days,Rise by -10.830000%,1.17
2012-05-20,37.69,2012-07-15,39.36,Sell,39 days,Fall by -4.590000%,-4.43
2013-09-29,45.0,2013-11-24,46.47,Buy,39 days,Rise by 3.600000%,3.28
2014-02-02,43.22,2014-03-16,46.16,Sell,29 days,Fall by -17.250000%,-6.79
2015-01-11,44.3,2015-02-08,43.29,Sell,19 days,Fall by 10.410000%,2.28
2015-01-18,41.93,2015-02-08,43.29,Sell,14 days,Fall by 8.990000%,-3.24
2015-05-10,46.01,2015-06-21,43.14,Sell,29 days,Fall by 10.320000%,6.24
2015-08-23,38.16,2015-10-11,40.98,Sell,34 days,Fall by 10.800000%,-7.39
2016-06-26,42.5,2016-09-04,45.27,Sell,49 days,Fall by -14.800000%,-6.52
2017-05-07,46.95,2017-06-11,48.79,Sell,24 days,Fall by -18.830000%,-3.92
2017-08-06,50.76,2017-09-03,54.5,Sell,19 days,Fall by -9.910000%,-7.37
2017-09-10,54.47,2017-10-15,56.91,Buy,24 days,Rise by 7.180000%,4.48
2018-04-01,56.85,2018-05-13,58.38,Sell,29 days,Fall by 14.230000%,-2.69
2018-04-15,55.44,2018-05-13,58.38,Sell,19 days,Fall by 12.050000%,-5.3
2018-06-10,58.16,2018-09-23,61.62,Sell,74 days,Fall by 10.590000%,-5.95
2018-09-23,61.62,2019-08-04,56.98,Buy,224 days,Rise by -10.450000%,-7.53
2018-10-14,56.99,2018-11-18,55.18,Sell,24 days,Fall by 14.440000%,3.18
2018-10-21,56.4,2018-11-25,53.69,Sell,24 days,Fall by 13.550000%,4.8
2018-12-16,52.0,2019-01-13,51.86,Sell,19 days,Fall by -4.480000%,0.27
2019-03-10,55.83,2019-06-23,57.93,Sell,74 days,Fall by 2.110000%,-3.76
2019-07-07,59.41,2021-02-14,59.39,Buy,419 days,Rise by -2.560000%,-0.03
2020-03-08,48.78,2020-03-29,40.5,Sell,14 days,Fall by 20.250000%,16.97
2021-01-10,58.32,2021-03-07,62.82,Buy,39 days,Rise by 25.220000%,7.72
2021-02-28,60.37,2021-03-28,65.93,Buy,19 days,Rise by 20.970000%,9.21
2021-05-16,72.41,2022-01-23,79.69,Buy,179 days,Rise by -10.440000%,10.05
2021-05-23,73.03,2022-01-23,79.69,Buy,174 days,Rise by -11.200000%,9.12
2021-10-10,69.2,2021-11-14,74.44,Buy,24 days,Rise by 22.230000%,7.57
2022-01-16,81.64,2023-03-19,56.72,Buy,304 days,Rise by -10.190000%,-30.52
2022-05-01,72.24,2022-05-29,75.61,Sell,19 days,Fall by 10.080000%,-4.67
2022-06-19,66.35,2022-07-31,64.97,Sell,29 days,Fall by 9.840000%,2.08
2022-06-26,64.96,2022-07-31,64.97,Sell,24 days,Fall by 7.910000%,-0.02
2022-11-06,65.26,2022-12-11,66.35,Buy,24 days,Rise by 6.790000%,1.67
2022-11-20,66.79,2024-10-20,56.35,Buy,499 days,Rise by 4.340000%,-15.63
2023-03-05,65.49,2023-04-09,59.07,Sell,24 days,Fall by 12.200000%,9.8
2023-10-29,54.9,2023-11-05,59.23,Sell,4 days,Fall by -8.120000%,-7.89
2023-12-24,64.18,2024-10-20,56.35,Buy,214 days,Rise by -11.450000%,-12.2
2024-01-07,64.42,2024-10-20,56.35,Buy,204 days,Rise by -11.780000%,-12.53
2024-01-28,61.15,2024-10-20,56.35,Buy,189 days,Rise by -10.610000%,-7.85
2024-02-25,60.44,2025-05-18,64.31,Buy,319 days,Rise by -10.260000%,6.4
2024-09-01,59.92,2024-10-06,63.71,Buy,24 days,Rise by -13.280000%,6.33
2024-09-15,62.2,2025-05-25,67.7,Buy,179 days,Rise by -11.590000%,8.84
2024-09-22,64.56,2025-06-22,70.88,Buy,194 days,Rise by -12.240000%,9.79
2025-01-05,53.81,2025-02-09,57.96,Buy,24 days,Rise by 39.420000%,7.71
2025-05-25,67.7,2025-06-22,70.88,Buy,19 days,Rise by 21.310000%,4.7
