Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2004-06-30,5.14,2004-09-30,2.2,66 days,2004-03-31/4.8743,-57.17%,-57.17%,Rise by -69.86%,-57.17%,
Buy,2008-03-31,4.95,2008-06-30,3.72,65 days,2006-03-31/4.1414,-24.76%,-24.76%,Rise by -13.74%,-81.93%,
Buy,2009-03-31,6.13,2010-03-31,10.53,261 days,2004-06-30/5.1429,71.81%,71.81%,Rise by 512.05%,-10.12%,
Buy,2010-06-30,15.52,2010-12-31,25.1,132 days,2010-03-31/10.5343,61.71%,61.71%,Rise by 141.78%,51.59%,
Buy,2011-03-31,33.97,2011-09-30,16.18,131 days,2010-12-31/25.1,-52.36%,-52.36%,Rise by -70.86%,-0.77%,
Buy,2013-09-30,44.17,2015-06-30,93.85,456 days,2011-06-30/37.5271,112.46%,112.46%,Rise by 45.91%,111.69%,
Buy,2015-09-30,103.26,2017-09-30,181.35,522 days,2015-06-30/93.8486,75.62%,75.62%,Rise by -11.41%,187.31%,
Buy,2017-12-31,191.96,2018-06-30,391.43,129 days,2017-09-30/181.35,103.91%,103.91%,Rise by 95.61%,291.22%,
Buy,2020-06-30,455.04,2022-06-30,174.87,522 days,2018-06-30/391.43,-61.57%,-61.57%,Rise by 34.13%,229.65%,
Buy,2024-03-31,607.33,2025-06-30,1339.13,325 days,2023-12-31/486.88,120.49%,120.49%,Rise by 84.23%,350.15%,
